,F1_sd,F2_sd,F3_sd,F4_sd,F5_sd,Ciudades,cluster
0,-0.5270033724003694,-0.27728757209231325,-0.17906294662670383,0.6263647103619966,-0.261182555311276,Albacete,1
1,-1.2818311002379157,0.24782220224885637,-0.4324055256613509,-1.0913876385910897,0.19434584415716902,Alcalá de Henares,1
2,-1.804695288313058,0.22453925408339653,-0.7768857893607214,1.079440658315232,3.665676406493037,Alcobendas,1
3,-1.226756280780595,-0.21501431307562371,-0.6735192190708877,-1.1613551252268102,0.3723464372267716,Alcorcón,1
4,0.3795761941989922,-1.0717555530316132,-0.22300936491237536,2.229792540289704,-1.4504051556042477,Algeciras,0
5,-0.8007252715531293,-1.0012672728079222,0.3767927068364387,0.9283748771825644,-0.805392253835903,Alicante/Alacant,0
6,1.1758799657625942,-0.38052347100220846,0.21495404318002484,0.6454046053189978,-1.0880240198926554,Almería,0
7,-0.5721905250449102,-0.23781494500373457,-0.6728692047076328,0.3473494052978623,0.17265401561105262,Ávila,1
8,-0.8593295692795356,-1.0052111572772204,-0.08726603222893657,2.8145283718538727,-0.7422307530692698,Badajoz,0
9,1.9407250784181844,0.1224747652342403,-0.020968628654183752,-0.44754295913715336,-0.2560785956533662,Badalona,0
10,0.9921184010005254,-0.8536361365193607,3.263561844417656,-0.982571355967053,2.4317941591933563,Barcelona,2
11,-1.670297392527129,-0.19951932704388756,-0.45351931334392487,-1.1197564348912499,0.9459039037843797,Burgos,1
12,-0.4767164521499474,1.0533217086908238,-0.4856967006654287,0.24043589808933913,-0.07871599754100247,Cáceres,1
13,0.6725321005478356,0.34899076707493665,-0.6569904512068626,-1.6108252940046155,0.03739908467644427,Cádiz,1
14,0.47227944834044044,-0.10161323081126235,0.6404143055162713,1.1665694114157026,-1.1779813088633146,Cartagena,0
15,0.18522389030869843,1.1258361664929144,-0.19662853403685124,-0.15083571015489186,-0.09785584625816396,Castelló de la Plana,1
16,0.7174518901723365,1.5302023448291242,-0.7013817189182845,0.16437795661178728,-0.3702796929990969,Ceuta,1
17,0.2002280292370871,-0.01910153736664335,-0.6547030667783562,0.03864351289982099,0.40935014474661724,Ciudad Real,1
18,-0.4850054835703689,-0.9957323512062352,0.7103987116510566,1.979857928190147,-0.7320228337534503,Córdoba,0
19,0.10862346370239767,-0.39122136779024835,-0.015270158777742925,-0.42861190388425513,1.054363046514962,"Coruña, A",1
20,-0.048961908972182985,0.20690548375341875,-0.6987253442436512,-0.3828834122867301,0.14139226270635538,Cuenca,1
21,-0.2837848275586043,-0.19796894599320006,-0.11215963336950997,1.1956350562126263,-1.2405048146727091,Dos Hermanas,0
22,-0.486820685153359,-0.8778596493966765,0.06733117112115983,1.5856050796851835,-1.9767509953261904,Elche/Elx,0
23,-0.5554672100224375,-0.29431527606551433,-0.4001944381347675,-1.3095324920293017,-1.1058878786953397,Fuenlabrada,1
24,-0.5060118188949714,0.08104320895810514,-0.34445396238424686,-0.5948864486549863,0.44635385226646296,Getafe,1
25,-0.970408325673572,-0.7526834943147527,0.015024945063092238,0.02337192305702116,0.5765048235431616,Gijón,1
26,0.6936458484868835,-0.9072105970161017,-0.4089842813006433,0.44541715779642344,1.1558042447159182,Girona,1
27,-0.016499478400743176,0.032805449464310577,0.11822515914122253,-0.42873468595110065,0.1994498038150788,Granada,1
28,-0.6053276418958998,-0.4749994629002671,-0.6586843968367773,-0.21202649509170252,0.36724247756886186,Guadalajara,1
29,0.9252967275128113,-0.9017663021784863,-0.29868408009837283,-1.4475635056331344,-0.7734925059739671,"Hospitalet de Llobregat, L'",1
30,-0.014154192130789528,0.7255645364883867,-0.4519110261369157,-0.9881322232334753,-1.0388984081852741,Huelva,1
31,-0.057369104081848955,-0.138112968176466,-0.8212360488753252,-1.1385918927856673,0.44124989260855324,Huesca,1
32,0.6909725235908422,-0.05352805324404757,-0.3209225646682117,-0.12120953822734719,-0.28287438385739244,Jaén,0
33,-0.13683298387148107,1.0356873707561134,0.18041104905812902,0.8080168304036567,-1.8434100492632983,Jerez de la Frontera,0
34,1.7742874859211193,-0.3895880280041724,0.8496334658217499,0.3250370137801475,-0.2739424544560504,"Palmas de Gran Canaria, Las",0
35,-1.267251966779617,3.7353570340890574,-0.5302590481747703,-1.2121021774536542,-0.22609283266314645,Leganés,3
36,-0.4170840819872585,-0.5160766971758123,-0.3986468163558895,-0.8555852961738125,0.954197838228483,León,1
37,-0.7101578939704746,-0.22722128309075573,-0.47952066032994145,-0.7050181366561463,0.23262554159149218,Lleida,1
38,-1.0156304102247697,0.2678159219064543,-0.5980205908230251,-1.4251679295742403,0.5439670807239869,Logroño,1
39,1.1434784797558015,-0.044064213168384145,-0.28003828160329225,-0.5595726379741817,0.03420910989025067,Lugo,0
40,-0.8480914758807149,0.847578581945909,5.897654718232715,-1.0790766432890413,2.6289346009801196,Madrid,2
41,0.16791986822948662,-0.5799020727580432,1.2495334635941338,0.5650130269685895,-1.0797300854485523,Málaga,0
42,-1.1296497891125257,-1.1606758893038276,0.09211703579956174,1.7383015151084868,-1.8791377668686664,Marbella,0
43,1.600273973017047,-0.27385574307859956,-0.374907555253212,0.027061567231346048,-0.47044490128557576,Mataró,0
44,0.8925428366847137,3.1076725912306635,-0.6184306719253435,-0.15037553743952023,-0.8124101983655289,Melilla,3
45,-0.45835269684588864,0.3082439865470605,-0.4438038545427393,-0.5424536903071204,-0.5578502104272802,Móstoles,1
46,0.33145375461779886,0.11677619043867452,1.529893258411739,0.9078296722837781,-0.7403167681975538,Murcia,0
