,F1,F2,F3,F4,F5,Ciudades,Clusters
0,-0.7449466496211394,0.44409899665607183,0.16683762806536365,-0.7244666399988691,-0.03323119119204101,Albacete,2
1,-1.3907043804991417,0.14403944379248956,-0.18297316829501872,1.185869176114419,-0.2805956321018157,Alcalá de Henares,0
2,-2.1248778130610773,0.10353358288732104,-1.2533574422190932,-1.0781026302248842,-0.2805956321018157,Alcobendas,1
3,-1.0629181297233876,-0.03481890336655953,-0.6753984864027256,1.305854554959429,0.0432101068818054,Alcorcón,0
4,-0.05574307156003417,0.6480445445525109,-0.18260563918138045,-1.8511740736976645,-1.9544745878100958,Algeciras,4
5,-0.6384610778922262,1.3206567110667558,0.9898092627381145,-0.9640220633967247,-0.3723956600246825,Alicante/Alacant,2
6,1.253853961644003,0.30081590016793963,0.6177422425601068,-0.7400621519702927,0.0884466147326676,Almería,2
7,0.25770543999393514,-0.5569956585233563,-1.1989088659824025,-0.48730056255323456,0.8309878272908197,Ávila,3
8,-1.2483999779143027,0.5315362157198276,0.16590031924530518,-2.195076762505252,-2.261440857654423,Badajoz,4
9,1.7848743645888479,0.18060960064585377,0.38553968968329805,0.307079628571573,0.7907957170204397,Badalona,2
10,1.4840815490937462,1.5175204934042594,2.2597407749240235,1.0119942623661966,-0.7337811799952157,Barcelona,2
11,-1.7855897727442092,0.12280723544923423,-0.14700084235915883,1.233666911773408,-1.606847097030091,Burgos,0
12,-0.47739930142243325,-1.8874782223959918,-0.5596229572927653,-0.39171987222599264,0.5783469146243423,Cáceres,3
13,1.2372157979720269,0.28417605538943524,-0.7354146158137131,2.370173799432799,-0.9963931096690467,Cádiz,0
14,0.2982972014031349,-1.016632700932349,0.9646731919162154,-1.1423302600135619,-0.5632346856997995,Cartagena,1
15,0.3708027259765679,-1.1635954390127516,0.19649257756382754,-0.014787630112195147,1.5165258846102054,Castelló de la Plana,3
16,0.6988598795538723,-0.11283342025373624,-1.5236277623514083,-0.3219503689473722,1.7602567121853017,Ceuta,3
17,0.34392961807676053,-0.9828971929005855,-1.0731134822493433,-0.20310469765967545,0.002451473032926129,Ciudad Real,3
18,-0.938795262285005,1.8896478177801381,1.1400277810105826,-1.6953553947277287,-1.7688912042913834,Córdoba,4
19,0.30410605133655133,0.41116035880964275,0.5552688369083728,0.2853944464073421,1.1294599648940788,"Coruña, A",2
20,0.2692269208438076,0.3308582212349242,-1.3560662646354305,0.23371397084239412,1.3275568749038476,Cuenca,3
21,-0.9004548983181717,-0.7442100432090706,-0.13275627947471,-1.1635129683193641,-0.9900458835740762,Dos Hermanas,1
22,-0.7280957818688817,0.23165533827070284,0.5662853117273341,-1.4369173830554895,-1.3016427750409894,Elche/Elx,4
23,-0.87555627843278,-0.5600785639474747,-0.1976660960109505,1.5873816936806724,-1.3898570718966183,Fuenlabrada,0
24,-0.5637309121587433,-0.14849026285806652,-0.14057055322485673,0.48217141356845783,-0.49029646789032233,Getafe,3
25,-1.0483826602203095,-0.4613370325036501,0.6093297934483811,-0.1883540689811923,-0.5480543989477035,Gijón,0
26,0.5142795230337266,1.5035739113539912,-0.5036677583004681,-0.5725844352241827,0.43948242647120134,Girona,2
27,0.4486154567528056,-0.3624581677708482,0.6954259783971872,0.2855345342723785,0.7694343902467148,Granada,2
28,-0.5786310499069754,0.01700173641059139,-1.0293649705919516,0.0486749654229399,0.6474717211767362,Guadalajara,3
29,1.1587694877706491,0.21033407621533726,0.15529793043598572,1.897116785949764,-1.1226215228404448,"Hospitalet de Llobregat, L'",0
30,0.2386974815725264,-1.3572517024905777,-0.2988325528936806,1.0205473806667695,0.7077511970678096,Huelva,3
31,-0.16567064183350677,0.5802055951048793,-1.7088092711576783,1.2660321857557246,-0.7962690750833585,Huesca,3
32,0.6813732302697676,0.14774801712504088,-0.28083297559392423,-0.04502633158017334,1.3803499952330023,Jaén,2
33,-0.42834132847196194,-0.80406782986962,0.5452067642032273,-0.8704881937005178,0.25352453751878495,Jerez de la Frontera,1
34,1.7817842146930527,1.0376826035865683,1.2839325047964312,-0.46758422353572576,0.462248512787843,"Palmas de Gran Canaria, Las",2
35,-1.243834598799814,-2.0645559437901526,-0.3635634745944386,1.3976375662843783,0.8068384590288535,Leganés,3
36,-0.08015958393776411,-0.6024832522581283,-0.13473123171680743,0.8250751881045204,0.39105287461840216,León,3
37,-0.5235739205924828,0.1374208141506346,-0.3523129156398397,0.6212495455490066,0.2418444131475223,Lleida,3
38,-0.6741500754471417,0.6537957883421289,-0.47674086704940777,1.842731457943064,-0.47327312591895576,Logroño,0
39,1.183474941190563,0.8363936782263408,-0.16636177989772377,0.43913278342091494,0.8570486271024126,Lugo,2
40,0.21998025895094211,-0.0661627477549486,2.63535872014755,1.1654661717635912,0.9102534777207631,Madrid,2
41,0.3274887222316799,1.1269087874118737,1.5711834629283934,-0.6737268999297689,0.6669300426240862,Málaga,2
42,-1.2074033096674723,0.46085166896773133,0.4409386640485753,-1.5389800585374322,-1.637222967110187,Marbella,4
43,1.3943402171226067,-0.26964344382364613,-0.35023268050444645,-0.1919243578742445,1.3584140877888666,Mataró,2
44,0.9757276414628856,-0.8339679284543103,-1.3989296901805277,-0.015259700702673748,1.3349783421892425,Melilla,3
45,-0.49150005288814663,-0.5883131356713718,-0.19608409558535025,0.4185224326001097,1.2228448968694352,Móstoles,3
46,-0.3164747348418617,-0.23852111097767215,1.6151572315928517,-0.9482271611993387,-0.06487067235908611,Murcia,1
47,0.6398694059536992,1.9099176496383652,0.2907012481942092,-1.8401338881852316,-1.9709416199188177,Ourense,4
