,F1,F2,F3,F4,F5,Ciudades,cluster
0,-0.33900353740662076,-0.17030811087890324,0.737639187841287,0.6580193548605959,-0.9684412691083234,Albacete,3
1,0.3531227533343935,-0.3123258730951821,0.16201663928416546,-0.7887948958496328,1.132315831517832,Alcalá de Henares,1
2,0.21076961507210004,-0.44414509805786395,4.40344925522317,0.6506930921045199,-1.2082335309113996,Alcobendas,3
3,-0.1984951054893508,-0.5253883267951793,1.2142539892478919,-0.9955890233565763,-0.36324518059844296,Alcorcón,3
4,-0.9882713677847803,-0.26697296737737275,-1.088169166989087,1.482223042006724,-0.05826689535100611,Algeciras,0
5,-0.9535193931054489,0.31679290831313095,0.6035898381357544,1.5617314547224175,-0.7391106039094157,Alicante/Alacant,0
6,-0.3866156157605104,0.05176913273254639,-1.3285513927881554,0.40498727008725827,0.32354574814717546,Almería,0
7,-0.2687614597480237,-0.6046954318953283,-1.3285513927881554,-0.25458754994315547,-0.37095907599527456,Ávila,1
8,-0.9034850626461539,-0.06982544371025663,-0.15326165405663658,2.2592995366799014,-0.14568884827946368,Badajoz,0
9,-0.10826518854949514,-0.13248174032822674,-1.0183068410116833,-0.3916480614998677,2.270703809393758,Badalona,2
10,-0.7350915085433047,3.126734978110207,-0.31235710003869643,0.5116308188553222,0.6114978112384672,Barcelona,0
11,0.023400897751726178,-0.35903431386438106,1.0901581877117683,-0.8840637367894572,-0.3297946719171424,Burgos,3
12,1.3248913153763995,-0.44633340718782205,-0.5274974100825115,-0.4082183008795647,-0.24057061018446338,Cáceres,1
13,0.05456639398498867,-0.5844701591331182,-0.4017669598071686,-1.2984032605463298,-0.8087893768420138,Cádiz,1
14,0.10706670538876949,0.43255197406058243,-0.9147185013560524,0.44765987388274264,-0.6104233800013864,Cartagena,0
15,1.0336587950187723,-0.21621304049163162,-0.7050664089624544,-0.5331917996522467,0.6073769946202627,Castelló de la Plana,1
16,1.207641915038508,-0.6131370790969227,-1.5868305964723872,-0.30545215993732483,-0.09402022030483165,Ceuta,1
17,-0.1045441765987389,-0.5869273393418053,-0.1591200817074032,-0.42100277237721756,0.6660344494832612,Ciudad Real,1
18,-0.9502621440862659,0.6402558280689538,0.5167796587000836,3.0644293772668956,-0.16485967354228792,Córdoba,0
19,-0.44209853465382665,-0.09044129338495147,-0.44264904562549673,-0.316908506781715,-0.29152010920742666,"Coruña, A",1
20,0.06669118249894955,-0.6393529997542607,-0.892578425450215,-0.4556719327423955,-0.09395261189633569,Cuenca,1
21,0.013760453179284284,-0.11858797910889667,-0.7550356575444508,0.47725732807663523,0.24018627209778567,Dos Hermanas,0
22,-0.8642295378236071,0.04018681111965033,0.34429376039793574,1.3161824776837698,-0.6955072204309223,Elche/Elx,0
23,-0.2881359709376672,-0.33390873794554543,1.0815755610783133,-1.1579785307182822,0.5623834122914028,Fuenlabrada,1
24,0.11621574431893783,-0.28079512030475584,-0.4312072049732876,-0.5502711602529079,0.40624159279092464,Getafe,1
25,-0.4295777327002762,0.0054086469454370885,1.1069295099769416,-0.20370231128522806,-1.1654616404898108,Gijón,3
26,-1.0254456766561169,-0.41911844893570005,0.014719600855785716,0.6588923200592722,-0.48242052939998,Girona,0
27,0.01299561175617825,0.01380255675277304,-0.8318032595508836,-0.4563373864809069,-0.54153028370212,Granada,1
28,-0.4178942292611277,-0.5674594621170941,-0.14311145581262488,-0.3705722599299137,0.593806045573618,Guadalajara,1
29,-0.8612333671620843,-0.27019326032745555,-0.7533920165592467,-1.1945302437336818,1.0307188414159743,"Hospitalet de Llobregat, L'",1
30,0.8197139488831049,-0.4165449633224552,-0.6251648436625155,-1.175476969651281,0.04341548051534312,Huelva,1
31,-0.29382559353285576,-0.7093012834917173,0.8733374102952883,-0.9687733524237465,0.11064773937555468,Huesca,1
32,-0.13990988750890984,-0.3618830693398099,-0.9024033133171042,-0.2917941294163669,-0.1238348187591108,Jaén,1
33,1.027561265526943,0.12903604947493003,-0.7321915319332296,0.26078249007238713,0.07583780333163191,Jerez de la Frontera,1
34,-0.5264478300558656,0.5990111145853314,-1.3573994259631077,0.8484316444964661,-0.7761274387645918,"Palmas de Gran Canaria, Las",0
35,3.730743454461729,-0.40784943964977755,0.4326620743366981,-1.3790028611544105,-0.07652510739922119,Leganés,1
36,-0.20897672387156566,-0.40303961450596953,-0.1596471226598915,-0.9255418829600699,-0.8879647865604972,León,1
37,-0.18027456583500698,-0.4166927218046461,0.19778499783328712,-0.6514312154068506,-0.44494085257085747,Lleida,1
38,0.22360549840934632,-0.4948855334895478,1.742364193246124,-0.9704376156754547,-0.8212286928103177,Logroño,3
39,-0.242433441966981,-0.36634787959438586,-0.07341342510589906,-0.32815692001997016,1.7499795279759325,Lugo,2
40,0.4945546590129521,6.478897758192134,-0.07341342510589906,-0.28630520931857417,-0.5554388752162414,Madrid,0
41,-0.7008791218290051,1.1511252149815128,-0.07341342510589906,1.7744906979280066,-0.8187287656755018,Málaga,0
42,-0.9104021709262016,0.0625201935456521,2.9282047071810027,1.467436197586069,-1.1230657508561748,Marbella,3
43,-0.43501776007991694,-0.38354671468218454,-0.9419920013401474,-0.24588904329953812,2.4949820776839617,Mataró,2
44,2.5779942687327275,-0.560454053366666,-1.6680990043222155,-0.5748322693695681,-1.6072067748400438,Melilla,1
45,0.2709628936634001,-0.3535515546413003,0.6269671525379802,-0.7055961656555655,0.7898935551251726,Móstoles,1
46,0.1043649093169298,1.319153396909137,0.6269671525379802,0.8952843361741087,-0.0903997105353207,Murcia,0
