USO_AG,Albacete_class.shp,Alcala_class.shp,Alcobendas_class.shp,Alcorcon_class.shp,Algeciras.shp,Alicante_class.shp,Almeria_class.shp,Avila_class.shp,Badajoz_class.shp,Badalona_class.shp,Barcelona_class.shp,Burgos_class.shp,Caceres_class.shp,Cadiz_class.shp,Cartagena_class.shp,Castello_de_la_Plana_class.shp,Ceuta_class.shp,Ciudad_Real_class.shp,Cordoba_class.shp,Corunia_class.shp,Cuenca_class.shp,doshermanas_class.shp,Elche_class.shp,Fuenlabrada_class.shp,Getafe.shp,Gijon_class.shp,Girona_class.shp,Granada_class.shp,Guadalajara_class.shp,Hospitalet_de_Llobregat_class.shp,Huelva_class.shp,Huesca_class.shp,Jaen_class.shp,Jerez_de_la_Frontera_class.shp,Las_Palmas_Gran_Canaria_class.shp,Leganes.shp,Leon_class.shp,Lleida_class.shp,Logronio_class.shp,Lugo_class.shp,Madrid_class.shp,Malaga_class.shp,Marbella_class.shp,Mataro_clas.shp,Melilla_class.shp,Mostoles_class.shp,Murcia_class.shp,Ourense_class.shp,Oviedo_class.shp,Palencia_class.shp,Palma_class.shp,Parla_clas.shp,Pontevedra_class.shp,Sabadell.shp,Salamanca_class.shp,Santander_class.shp,Santa_Coloma.shp,Santa_Cruz_Tenerife_class.shp,San_Cristobal_de_la_Laguna_class.shp,Segovia_class.shp,Sevilla_class.shp,Soria_class.shp,Tarragona_class.shp,Terrasa_clas.shp,Teruel_class.shp,Toledo_class.shp,Torrejon_clas.shp,Valencia_class.shp,Valladolid_class.shp,Vigo_class.shp,Zamora_class.shp,Zaragoza_class.shp
COM,0.3094350793121428,1.056989999484361,0.4000704351021774,1.2123141717999613,0.5808654510883788,0.7840104022525598,0.7437849649252994,0.19102437618076107,0.8914768716193181,0.9574679292182342,1.197285638614105,0.47289095457351976,0.27733274391284807,0.7418325462001781,0.7654932297622526,0.799964569995131,0.5317463419777634,0.3986437283727404,0.4190515589981901,0.6007814789137557,0.7775900910162585,0.6049269239781272,1.6327308122738575,1.576371498700679,0.9225803201664761,0.3904239765917029,1.5452849996535158,0.7867459794985173,0.788623719091343,0.8485405087948097,0.7962439461766441,0.8664361982240669,0.7687656046290737,0.6847353913263955,1.3921374240603048,0.31666040146829416,1.536103836810647,0.39000468376613817,0.896323082879414,1.2360740271210542,0.5299871951740706,4.366035780664235,0.370369844469344,0.739202698958174,0.701533709327426,0.49716153378059497,0.48309481875887933,0.14334870225208712,0.32006138373705295,0.8297160965310472,0.5590577473279715,1.229582923472202,0.4004131059738252,0.9311141629825896,0.5090526527934527,0.5254088208627913,2.1636801639046697,0.4172245349947197,0.6090294641731173,0.4261642271592516,1.421020054803578,0.5764190911545393,0.38339009876124924,1.4082866586776632,0.3564339533258585,0.19128950177260132,0.25047932575582965,1.571719180857205,0.4047415614025385,0.27614743466592045,0.7500988375697947,0.47747436154383355
ED_SING,4.773524208289672,7.641038165672298,5.443737639062469,4.340486426890234,1.0307830086034628,2.0639677403406673,3.990144484128846,0.6755180919286127,1.2929157666231823,6.537693388017994,3.1850970287272933,4.934768541619157,3.581233712326705,7.077958913622504,2.296661074548963,6.634019632297683,12.07850293447279,2.1233274543755623,2.7867196878690113,3.8864457824872494,5.257041959252693,3.224789855387423,1.129543959575569,3.1035630452250165,5.944779957223111,1.4723365814441294,2.764197400072023,5.630481124212121,2.7740026352321734,2.0745614383524935,4.437725226662824,4.857702027511592,5.593192568715339,10.093770517305414,4.040704584481177,11.373995366789375,2.3272738700841056,5.057682041881942,9.454684056982535,5.376580908674138,5.121423640100005,0.11928473368074399,0.5861503185359923,2.8610538383474626,19.482011516531266,6.841902667279262,2.168787271623358,1.35272806155619,1.1331795724390328,3.119009650676401,3.761801810522656,2.8047019975180483,0.8754745475565645,1.6825268608171449,4.694097931237585,4.698164255835487,1.9325163175902882,1.676589422281984,2.571778490705752,11.402909015745784,8.477872682505861,1.7816549325681323,6.726364488402287,2.9493239076068574,1.9406503245692586,10.147517597376071,60.143145272378426,3.2833852956217315,4.732782985140397,2.100288528008082,2.9703844089731137,4.503548557849337
EQUIP,8.356959055588211,13.084974076415618,8.271132912957714,21.053763486769512,6.748392000321672,7.891927216168751,13.395881412670205,29.369607066114106,8.14657481764113,12.45607685698693,12.524257257664903,8.606481685221071,12.903567209603917,12.336630621227588,7.453819619086861,7.993440747151949,7.293191014262727,20.114111891562203,6.942589133958816,13.761725414198875,7.9743696438020235,10.522283614372048,8.51891433722441,16.34000250925628,9.69623979500421,9.243680287154655,18.396162040542865,20.622948327485272,8.852414620644513,17.510191221212974,15.044140161811162,8.669733167888667,14.367457326974412,8.871908340443449,10.426952809226556,9.641162906911145,16.915373509413712,11.619468202929246,12.137997970882914,9.190762413912847,13.887534884014329,17.19439897988545,11.65021907963251,12.305588761254427,9.877196292218947,17.916722272035358,4.837587904720129,5.467567891154599,14.454606952378896,15.349079499455954,9.648653673490237,10.045347176983666,8.240478319845554,13.304533934220247,19.564523052750673,12.94268574713061,22.681834724665105,8.191863271923543,7.658526568399217,10.52466287219487,13.699583338862098,9.195771449467902,8.589171002191334,6.471150519668798,8.184502070357075,10.42009627710485,4.08604331162859,13.749446690348762,14.76653749289171,9.747733224541317,16.308513609520464,8.799879274627518
IND,19.947443997687586,28.392631300422593,6.526589851527216,15.822040686126948,7.303642363022081,11.947920457445381,5.789273181666274,8.407848535731118,6.061094006304489,18.3052201420592,9.938440272119806,31.25516639407634,17.529719523830813,16.119181840009787,10.88803335509064,12.98004118409423,11.342173452200289,7.355102145606927,15.4020122252565,12.793133747124513,13.971143905926327,15.723129561972291,14.051823174739628,35.480922871191304,28.322847346367432,25.003875004705,12.606798834191682,10.425295874018019,17.699992535542112,31.90405397434167,11.104361397678835,25.681244374568283,14.758028852746644,16.79434893504742,7.142159257530217,14.803152783783318,19.948320302776793,22.992485768794698,27.366314621145555,12.076989474874338,5.698461614745805,6.419821838980811,3.061722657322313,13.64021349589424,9.688141594250151,19.925771741257346,8.2842107033965,7.178337186567978,13.109813069371265,28.218373357781374,8.243966244773583,16.987268849671874,13.96937817947752,15.763775899286081,17.454534278829485,12.09077900091818,7.336594046837011,10.76996053727818,10.231334281160672,15.612535278800571,8.556049434414444,21.390248023368695,12.917286712902943,17.820344466821812,23.07602098856759,9.377424158988434,9.798954619885693,10.030327337034981,25.967144836660662,13.287335328400404,18.74526271355432,24.924197926823943
OCIO,0.48597466099887815,0.5587142654798124,0.21888448943320118,0.23375968821876097,0.4346292597894791,1.606111602990733,0.6924029328857315,0.1317878047719938,0.17376162558728364,0.1972317065400757,1.4323143676187489,0.18371720004705275,0.8957679486223262,1.1377555276181281,0.6297455057643834,0.4567263172535685,1.2383137353859484,0.47038500830339713,0.7644562694270581,0.5046664580662777,0.29606525120136545,0.16764414808118322,0.6272024167703714,0.8668791813239599,0.2725689230482974,0.35239768313027753,0.7137875608852149,0.9366937593994618,1.190103527352413,0.33496617392781813,0.4192061038890146,0.18617613796590093,0.33929751536603875,0.5940379597819309,0.3449802436148774,0.28814206959508193,0.43045250103892574,0.19011328410488984,0.19574301598324112,0.424549188208106,0.6350641156278223,0.8159370385613657,1.585354835809421,4.3473895524577095,0.375263608744781,0.36632257104012805,0.20325025338383626,0.09800385489883834,0.26435920459921164,0.15860270510477686,1.8246062190376042,0.1990954385845674,0.6338538711625081,0.7271381242313792,0.7457830940378812,0.5744032148172995,0.2789540395949731,0.23317349391724454,0.35132669297595176,1.4981897282215157,1.272294248844589,0.3803521242232263,0.6418095988249812,0.30183758693660734,0.6117961591365345,1.0350637516764758,0.19582947621279687,0.5895331359650974,0.5830889373270571,0.3590528302685034,0.2852956010841484,0.19190420794045052
OFI,0.38484410515635575,1.2870490202031022,2.4515011418126944,0.21790177775590633,0.17854206676840195,0.2849135561879039,0.5148022567707988,0.44812526332787217,0.2857098548789066,0.3578876076387135,1.8626325932997723,0.08165176383774693,0.2582833475857372,0.9083807533345322,0.07217224744654813,0.08610222642256711,0.36160911080158425,0.9010837769204882,0.23065578082156016,0.4673876046851496,0.46944261534114506,0.12540588604709418,0.11211592179142056,0.1545035281774755,0.1775147902367936,0.2889285411122916,0.41855879279640423,0.6568383953030054,0.3208576417887243,0.6837284831190426,0.21689949095986855,0.4493897328541336,0.34324480604135965,0.39219500099131266,0.5792318027882778,0.27355759035678723,0.8385253986698739,0.40546509621880245,0.13882805868356823,0.40721133865548875,2.1405970978526527,4.041965364802145,0.11603951769551912,0.33271195069259385,0.15405403032266257,0.792309060967807,0.31436745667482774,0.17113861181683465,0.3249334536323569,0.16292183209030656,0.4915228058550738,1.0487513406767712,0.25178107587465454,0.40046432263320914,0.28169031014049584,0.475450420626796,0.24674632339221625,0.3412085455203399,0.15999680831569926,0.1132645628998945,1.5401327091670292,0.5343163758752715,1.3602321806734243,0.28988582225461457,0.06954371676318122,0.3928584196443514,0.18792406785447313,0.5523073611790316,0.3354367739956482,0.2601977460984233,0.1339403388454432,0.172055292391064
OTROS,0.0333582171170752,,0.09127269904386258,,,0.0007846419935078538,,,,,0.16659837107595082,0.024862741489686015,0.0011082161572996997,,,0.23141972476247177,0.06408841215368292,,0.03625925114186435,1.0738682979464416,,,0.00026232152674492945,,,0.0005751619997078292,0.4728365405258242,0.0003614938109957781,,0.16510507566504404,0.028784857455720618,,0.011101303719890725,0.44805737571518045,,,,0.767298021039175,,0.08301243373239553,0.026608722843443882,,,,,8.42780792418669e-06,2.6637709917237253,,,,0.48693229071291066,,,,,0.092593868206941,,,,,,,,,,,,0.5621873840664772,,,,0.025253660080666797
RES_PLU,11.674265276785707,9.497243308807848,7.257123472856733,15.072740511480603,5.3978941678998416,17.21024873483096,15.72174586463872,8.231969098580018,7.408577508568685,23.749976990353716,30.85483565600064,8.86810814754086,10.24340244569277,31.242100522351368,8.32174123323223,13.27251668368659,11.123541060572997,16.886938046259637,9.336829238955586,14.775440371972554,12.973963315745607,3.984063294406133,11.325714286762013,11.430145315007138,10.035392676931513,12.199792074031969,17.421414721574315,21.870351432083,10.13440304572311,27.263301735718297,11.289212152727957,12.862174015937983,13.462913878291877,8.652016296949556,18.033225225247087,8.673626649146767,18.35202721397218,15.109458619991031,24.914280706997154,19.447535728224484,33.109664898673756,14.19281386551529,12.478924751988089,18.935041679796665,12.966970731367706,15.214410451844653,9.092171290255832,9.447169315328342,23.861749615110313,14.011419826359555,16.113491641278213,12.792160056817615,11.89354957709655,18.024744968408886,18.923430715127417,21.52802760243612,38.26801474426173,18.207470824454518,12.370520573767136,17.313785932812753,27.25756772535865,13.294225819309496,8.684604722282689,15.559825442661316,8.195650776361804,5.405087140370793,6.341983159004353,30.445453015030623,14.565101027084031,7.613302591781099,14.450202541531572,14.755818987681682
RES_UNI,23.600765526069694,6.346373609425599,20.74511313418756,5.279852596232151,28.60928873465766,25.902110525178056,21.244520376912035,15.159076856878674,45.58546885965869,14.26550781331384,7.468850690404873,5.3446180142541815,18.13773301975134,1.3585370746758256,21.74144938321603,12.48115192080411,16.534559666550113,16.539549026621494,40.98222142227977,10.86098771627647,10.102107114067243,24.968864426753527,34.072644544402344,4.580074477245951,10.909260751354791,16.587738456479574,24.600353625760217,14.141543761017742,11.737312507257663,3.580759812337265,5.25966303912099,5.089370355984216,15.026880564219283,26.536844328381342,17.665816594304353,3.7441906184978753,8.800594440124296,9.750249941796657,3.5993311282804656,9.839292560079706,9.287058533582767,26.800570775066113,29.68149688010822,18.064633762495482,15.74527298969669,12.795374315001991,18.17928619995625,31.162261826652287,9.657266924691772,13.997198495887023,19.621182437680705,7.5718004455594565,22.51374439468239,16.047760896887453,4.708274855872611,15.223960853998737,15.76418167625796,16.584969734049444,31.840560734557577,10.873882540203224,18.103847007135137,9.227326605250843,15.922272090150663,20.819872190117216,15.786789542877802,23.896807906662467,2.4726085760414547,5.843496141361769,11.628702387797532,30.742779848818806,13.501301606785903,9.013280204016155
SIN_EDIF,30.433429872994676,32.13498625408877,48.59457422401636,36.76714065472592,49.71596294784901,32.30800512261147,37.9074445254021,37.385042906486845,30.15442068911833,23.172937565871283,31.369688124473903,40.22773455734039,36.171851832516246,29.077622200960086,47.83088435185209,45.06461699353171,39.43227427162211,35.210858921977554,23.099205431291644,41.27556312832871,48.17827610364734,40.67889228900218,28.529048224933636,26.467537573872203,33.718815439667374,34.460252233350694,21.060605483997946,24.928739853171866,46.50228976736796,15.63479157653058,51.403763623516994,41.33777398906517,35.329117579296074,26.932085854058002,40.37479205874716,50.885511613451364,30.851328927109474,33.717774339477415,21.296497358165134,41.917991926517445,29.56359929738534,26.049171622843843,40.46972211443859,28.774164260103248,31.009555527540368,25.65001695898492,53.77347310950667,44.97944454977284,36.8740298240401,24.153678536113564,39.24878512932104,47.3212917707158,41.221326928330434,33.11794083053301,33.1186131092104,31.848526215167034,11.32747796349605,43.57753963558004,34.20692638594488,32.234605841962136,19.671632798908607,43.61968557878189,44.774869105810424,34.3794734052551,41.778612468040905,39.13385524640395,16.52303219123837,33.372144458534336,27.016463997700424,35.613162467417446,32.85500034213521,37.13658752704536
