,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,SIN_EDIF
0,Albacete_class.shp,0.3095383357822535,4.775117102220224,8.359747718382549,19.95410032979936,0.4861368275773074,0.3849725251271286,11.678160903055028,23.60864094777544,30.443585310280696
1,Alcala_class.shp,1.056989999484361,7.641038165672298,13.084974076415618,28.392631300422597,0.5587142654798124,1.2870490202031022,9.497243308807848,6.346373609425599,32.13498625408877
2,Alcobendas_class.shp,0.4004359237777506,5.448710824495081,8.27868909594103,6.532552288317215,0.2190844537273036,2.453740737211086,7.263753296542376,20.76406505679612,48.63896832319203
3,Alcorcon_class.shp,1.2123141717999613,4.340486426890234,21.053763486769512,15.822040686126948,0.2337596882187609,0.2179017777559063,15.072740511480603,5.279852596232151,36.76714065472592
4,Algeciras.shp,0.5808654510883788,1.0307830086034628,6.748392000321672,7.303642363022081,0.4346292597894791,0.1785420667684019,5.3978941678998416,28.60928873465766,49.71596294784901
5,Alicante_class.shp,0.7840165539756784,2.0639839352253624,7.891989140029668,11.948014206582236,1.606124205315716,0.2849157917568521,17.210383774729298,25.90231376560916,32.30825862677602
6,Almeria_class.shp,0.7437849649252994,3.990144484128846,13.395881412670205,5.789273181666274,0.6924029328857315,0.5148022567707988,15.72174586463872,21.244520376912035,37.9074445254021
7,Avila_class.shp,0.191024376180761,0.6755180919286127,29.369607066114103,8.407848535731118,0.1317878047719938,0.4481252633278721,8.231969098580018,15.159076856878674,37.385042906486845
8,Badajoz_class.shp,0.8914768716193181,1.2929157666231823,8.14657481764113,6.061094006304489,0.1737616255872836,0.2857098548789066,7.408577508568685,45.58546885965869,30.15442068911833
9,Badalona_class.shp,0.9574679292182342,6.537693388017994,12.45607685698693,18.3052201420592,0.1972317065400757,0.3578876076387135,23.74997699035372,14.26550781331384,23.172937565871283
10,Barcelona_class.shp,1.1992836255989334,3.190412203488915,12.545157285351216,9.955025181913072,1.4347045620488743,1.8657408872263892,30.906325090160287,7.481314438394307,31.422036725818003
11,Burgos_class.shp,0.4730085574683871,4.93599576548627,8.608622024660885,31.262939217836145,0.1837628885389841,0.0816720697533189,8.870313550668287,5.345947163277562,40.23773876231015
12,Caceres_class.shp,0.2773358173931864,3.581273400577168,12.903710210605364,17.529913793167832,0.8957778757774792,0.258286209955248,10.24351596599178,18.13793402726683,36.17225269926512
13,Cadiz_class.shp,0.7418325462001781,7.077958913622504,12.336630621227588,16.119181840009787,1.137755527618128,0.9083807533345322,31.242100522351368,1.3585370746758256,29.07762220096009
14,Cartagena_class.shp,0.7654932297622526,2.296661074548963,7.453819619086861,10.88803335509064,0.6297455057643834,0.0721722474465481,8.32174123323223,21.74144938321603,47.83088435185209
15,Castello_de_la_Plana_class.shp,0.8018201399561075,6.649407673233415,8.011982053969263,13.010149235646551,0.4577857237153925,0.0863019461488093,13.303303151223467,12.51010276619314,45.16914730991387
16,Ceuta_class.shp,0.5320873483105664,12.086248819430104,7.2978681020504,11.349447132655827,1.2391078599382543,0.3618410089587467,11.13067453314328,16.545163198932542,39.457561996580274
17,Ciudad_Real_class.shp,0.3986437283727404,2.1233274543755623,20.114111891562203,7.355102145606927,0.4703850083033971,0.9010837769204882,16.886938046259637,16.539549026621494,35.210858921977554
18,Cordoba_class.shp,0.4192035590694687,2.787730498071465,6.945107377885036,15.407598905238482,0.7647335560877261,0.2307394452164845,9.340215931307313,40.997086658892265,23.107584068231763
19,Corunia_class.shp,0.6073031145331688,3.928634139048796,13.911112440590054,12.932006464838802,0.5101447407104079,0.4724612159028223,14.935831531827535,10.978886497844345,41.72361985470406
20,Cuenca_class.shp,0.7775900910162585,5.257041959252693,7.974369643802023,13.971143905926327,0.2960652512013654,0.469442615341145,12.973963315745609,10.102107114067245,48.17827610364734
21,Elche_class.shp,1.6327350952894872,1.1295469226203017,8.518936684229182,14.051860035793409,0.6272040620616427,0.1121162158963898,11.32574399662658,34.072733924518175,28.52912306296482
22,Fuenlabrada_class.shp,1.576371498700679,3.1035630452250165,16.34000250925628,35.480922871191304,0.8668791813239599,0.1545035281774755,11.430145315007138,4.580074477245951,26.467537573872203
23,Getafe.shp,0.922580320166476,5.944779957223111,9.69623979500421,28.322847346367432,0.2725689230482974,0.1775147902367936,10.035392676931512,10.909260751354791,33.718815439667374
24,Gijon_class.shp,0.3904262221749698,1.4723450498133608,9.243733453596835,25.004018818319647,0.3523997099994965,0.2889302029290245,12.19986224300361,16.587833863396533,34.460450436766536
25,Girona_class.shp,1.5526263845374535,2.7773296294107266,18.483559061776614,12.6666915804598,0.7171786435728748,0.4205472940729738,17.504180884917943,24.71722570067725,21.16066082057435
26,Granada_class.shp,0.7867488235468225,5.630501478126493,20.62302287843662,10.425333560953616,0.9366971455016704,0.6568407697417361,21.870430492335668,14.141594882008013,24.92882996934936
27,Guadalajara_class.shp,0.788623719091343,2.7740026352321734,8.852414620644513,17.699992535542112,1.190103527352413,0.3208576417887243,10.13440304572311,11.737312507257665,46.50228976736796
28,Hospitalet_de_Llobregat_class.shp,0.8499438091640401,2.077992309126792,17.539149246847987,31.95681630007404,0.3355201347000862,0.6848592204531707,27.308389272489546,3.5866816057162465,15.660648101428077
29,Huelva_class.shp,0.7964732098547737,4.4390029873451855,15.048471842980426,11.107558692615314,0.4193268065125428,0.2169619431459362,11.292462672011336,5.26117746155379,51.41856438398069
30,Huesca_class.shp,0.8664361982240669,4.857702027511592,8.669733167888667,25.681244374568283,0.1861761379659009,0.4493897328541336,12.862174015937985,5.089370355984216,41.33777398906517
