"","row.names.tabla.","COM.rescaled","ED_SING.rescaled","EQUIP_EDU.rescaled","EQUIP_OTR.rescaled","EQUIP_SANI.rescaled","HOS_REST.rescaled","IND.rescaled","IND_MX.rescaled","OCIO_ESP.rescaled","OFI.rescaled","RES_PLU.rescaled","RES_PLU_MX.rescaled","RES_UNI.rescaled","RES_UNI_MX.rescaled","SIN_EDIF.rescaled"
"1","Albacete_class.shp",0.0709003627315,0.0775665358916047,0.122986114583262,0.325541507862539,0.0768878093988325,0.104484075870968,0.390149368937184,0.382940705885985,0.0656727529011187,0.0952477516027851,0.305159920049292,0.291354941271708,0.604361854097518,0.0308008043273786,0.288209353015027
"2","Alcala_class.shp",0.242093079745386,0.125313690031056,0.18887987675459,0.529721650870755,0.103950437770397,0.118558032108507,0.473041751502675,0.739041820414438,0.080517456205876,0.318439541645593,0.308455916357631,0.16340090247345,0.159761835917983,0.0122620600023547,0.313710422166557
"3","Alcobendas_class.shp",0.0917197857074879,0.0887892793762452,0.105598857203197,0.397657871547061,0.0226566987665263,0.051266890896411,0.000195995512911949,0.258290286606987,0.0157272386577842,0.607104088535207,0.275922465245717,0.0761612868814266,0.507828990751915,0.0620818463508236,0.562535188014366
"4","Alcorcon_class.shp",0.277672237910086,0.0703258888288725,0.263697354035241,0.918801635410399,0.19469117483368,0.0467703637831149,0.189302174356935,0.482836110310192,0.0430804699284219,0.0539112949656557,0.487985922822435,0.261225059755533,0.136340625214513,0.00514406665841735,0.383546781271191
"5","Algeciras.shp",0.133044041419624,0.0151863736468188,0.0775248397758905,0.310113898300058,0.0618101063660671,0.0969990102668547,0.104366414816163,0.125513553818112,0.0468113162229921,0.044177073184563,0.146964942636977,0.127451408631726,0.683687749248162,0.109165369035003,0.578773961612722
"6","Alicante_class.shp",0.179580734929544,0.032399342746362,0.112620299156765,0.314918431435255,0.0725266436447257,0.10896074491462,0.205102332844995,0.227185738593118,1,0.0704943393520691,0.359475894941943,0.539459340873448,0.638594085179402,0.0699222730930239,0.316322718243417
"7","Almeria_class.shp",0.170368080910666,0.0644894387002893,0.14564233890934,0.522711266487726,0.270067775035337,0.16587545796986,0.0792490091034332,0.0791413518452431,0.0369736242833754,0.127371778304316,0.432645254339054,0.36559846505352,0.522941509400013,0.058569162022152,0.400736347566348
"8","Avila_class.shp",0.0438150059042789,0.00928498573187054,1,0.08013268157103,0.0529765799213981,0.0288256998141492,0.0419598569541294,0.298237361117819,0.016340303001488,0.111040407340808,0.20797904018009,0.213085120958173,0.353073965634115,0.0695834346000832,0.392932569396512
"9","Badajoz_class.shp",0.204188619463815,0.0195537102130678,0.115712868679424,0.313234309303479,0.0921846215527724,0.0409814335102509,0.0810755559654134,0.0920519840181052,0.0114194908323413,0.0706877359778539,0.185951022104576,0.19415632377058,1,0.305826906763539,0.283849445116936
"10","Badalona_class.shp",0.21929311735503,0.106931020439317,0.152768183817113,0.550403206636584,0.115459984044294,0.0301683170187543,0.346244323790306,0.360787423135591,0.0671775140697665,0.0885624251777536,0.68928702562899,0.508736063917627,0.343443032925365,0.0506946388408252,0.17859281062851
"11","Barcelona_class.shp",0.274694951317614,0.0511647574832026,0.16561537319032,0.514552536963338,0.135359327850506,0.235707590934401,0.188161843848901,0.138561413287526,0.434582683512927,0.461609015589254,0.690607921493997,0.913768475206931,0.150961998847245,0.0695982729014429,0.302971458490502
"12","Burgos_class.shp",0.10834210758076,0.0802472411433037,0.108561435849997,0.235259866206879,0.264358939145551,0.0298952052822516,0.419531500078973,1,0.0566368634916954,0.0202085296903135,0.232360267090906,0.22060004654011,0.127985189021611,0.0200588233721762,0.435872119794507
"13","Caceres_class.shp",0.0635274982726935,0.0576773452419207,0.203502249675792,0.469923454356684,0.122623308946757,0.222791127239603,0.203380991353326,0.559518370976744,0.0206892477880681,0.0639050085732754,0.287779354580929,0.23102930867818,0.443922183693349,0.0537615887250857,0.374577638178219
"14","Cadiz_class.shp",0.16989588519118,0.115932820258897,0.257354213206572,0.346853155288203,0.0725143459971385,0.224372537284248,0.239548599754068,0.414390167696628,0.22042484482704,0.224756366419679,0.907475242536353,0.668292533401569,0.0209309439484342,0.0222022881043671,0.267620098776599
"15","Cartagena_class.shp",0.175337050091487,0.036275813701998,0.0629114429892476,0.37935298762692,0.0847496572328092,0.116870530831743,0.0884378278418229,0.364291148825682,0.146300816294775,0.0178557320452959,0.201281051685116,0.227345975283154,0.499105354432637,0.113151825046196,0.550350638018848
"16","Castello_de_la_Plana_class.shp",0.183656234571485,0.108792673384886,0.0983316847306127,0.338752608445452,0.09440310890323,0.0916605260565512,0.14265149968997,0.396745964175611,0.0841256438667208,0.0213512883467337,0.384246695880763,0.287228546487188,0.29897946290237,0.0477049876357128,0.510218982905798
"17","Ceuta_class.shp",0.121862804279941,0.199370063038477,0.0973961334090333,0.190040188423226,0.221147872561785,0.275584496981187,0.115002532278219,0.346067553621449,0.136644836769012,0.0895211668185565,0.315847314508983,0.247198678929228,0.382010966027841,0.0828782986048042,0.424106597992233
"18","Ciudad_Real_class.shp",0.0913018307902732,0.0333881594588847,0.195366481810393,0.833278630172224,0.408289005433492,0.0862012801360013,0.0599427035282969,0.204571651199066,0.112916963503442,0.222945935887408,0.393762618534758,0.479262991414808,0.423511880834373,0.0214163856989819,0.360082091819256
"19","Cordoba_class.shp",0.0960183114529725,0.044457100634631,0.135966001271269,0.207693507448634,0.0499908755385185,0.1851251936622,0.231071587967616,0.386891957662595,0.0344490158579062,0.0570896690237174,0.237658157674734,0.240840037020835,0.960046147870643,0.185475187358858,0.177607884771718
"20","Corunia_class.shp",0.139101076833731,0.0634646639107851,0.128102227828374,0.684085175957845,0.159162991697236,0.0335861651408526,0.193212373318394,0.305602646657791,0.32099789023421,0.116895105080582,0.325460822237494,0.451706533573224,0.254075510582098,0.0541229679929125,0.458275371969208
