"","F1","F2","F3"
"Albacete",-0.889664245302843,-0.745338311538769,0.443011773424087
"Alcala",-1.25809792604384,1.34020004911142,0.696214299527291
"Alcobendas",-1.98739372857873,2.12602120295274,-0.748137233970934
"Alcorcon",0.0608775317569886,0.0945232781792343,-0.170494744961752
"Algeciras",-2.10982939330399,-0.70164219638365,-0.429938956922082
"Alicante",0.209721548567713,-0.320248913807346,-0.122231684856717
"Almeria",0.524084513752578,-0.0604442720279869,-0.506662419064067
"Avila",-1.60799310446005,-0.7993062490903,-0.620565617744488
"Badajoz",-1.61601335566251,-0.192684857264454,-0.501083061043638
"Badalona",1.40743975955709,-0.0184926264321481,0.30889971154576
"Barcelona",2.99164289490651,2.28101747379825,-0.173977991024788
"Burgos",-0.740146808232941,-0.958089239436217,0.532762237786947
"Caceres",-1.01224879564402,-0.952514146263276,-0.127489683245563
"Cadiz",2.61521417374266,0.463060639354418,-0.017012344716367
"Cartagena",-1.46505333039903,-0.626346194824365,-0.478594313835863
"Castello_de_la_Plana",-0.564627322670891,-0.564695717703868,-0.31299358869763
"Ceuta",-0.501872658925029,-0.51424556233035,-0.397449942540149
"Ciudad_Real",1.30395095689157,0.0491978040231737,-0.565635332980286
"Cordoba",-1.41097749795905,-0.822271797842183,-0.0429061691150132
"Corunia",0.0724567927082271,-0.277781291043947,-0.158550676954958
"Cuenca",-0.544422822936763,-0.0812816763821151,0.178012956147121
"doshermanas",-2.43240829779565,-0.744324456551645,0.213060216867116
"Elche",-0.969367020844695,0.448314617637108,0.0760843205602113
"Fuenlabrada",-0.887497174398373,0.438586452050813,1.3188242063971
"Getafe",-1.2281496184362,-0.300614969408166,0.28290130141763
"Gijon",-0.673523192000518,-0.778443209567123,1.04454285345592
"Girona",0.814628460752774,0.766165046514014,0.0208040063802775
"Granada",1.58129141144787,0.179902664988797,-0.209645309028679
"Guadalajara",-0.988371657735453,-0.266790693730096,0.210445728459475
"Hospitalet_de_Llobregat",2.2000116548622,0.291868807654872,0.651633011628011
"Huelva",-0.478714302545583,-0.39631881846566,-0.474196490072618
"Huesca",-0.422852112515818,-0.00343087397902053,1.39335881372704
"Jaen",-0.181879275897497,-0.260117480313022,0.137604279376048
"Jerez_de_la_Frontera",-1.4483974969526,-0.287863192186485,-0.170220479821668
"Las_Palmas_Gran_Canaria",0.501224061272155,0.789163638034392,-0.469467936861485
"Leganes",-1.31186429358571,-0.885840319752015,-0.309880505148194
"Leon",0.775946784255006,1.30514045141437,0.0239518349274907
"Lleida",-0.233067711046872,-0.615481416596775,0.454082524205478
"Logronio",2.19924582277876,-0.383233855942024,0.574170075494298
"Lugo",0.657810690560888,0.377214814258149,-0.322065199222105
"Madrid",3.35599087109793,1.86103134023122,-0.705105764876782
"Marbella",-0.974704818445606,-1.03305285920111,-0.692971563116695
"Mataro",0.698673831743066,-0.309173999270488,-0.0618047431294524
"Melilla",-0.671819611019647,-0.592294011060886,-0.244707085801765
"Mostoles",-0.0240441810171346,0.0199006751239507,-0.00200964468478429
"Murcia",-1.52536260198985,-0.608224881569075,-0.309773262039378
"Ourense",-1.32328205103493,-1.22677177551709,-0.63088528443016
"Oviedo",2.61062655607145,-0.813195272903934,-0.15897204484057
"Palencia",1.31577419614677,-0.429436690293839,0.967493329922013
"Palma_Mallorca",0.115966919306826,-0.302691688533714,-0.451483640367663
"Parla",-0.688628982034811,1.22511680185354,0.555160597233287
"Pontevedra",-0.815574601396297,-0.816302979105367,0.154531686711719
"Sabadell",0.376381712426646,0.00726633072851429,0.391268637573807
"Salamanca",0.878150520750928,-0.648381289573445,-0.177694688336074
"San_Cristobal_de_la_Laguna",-0.926115057298577,-0.693220039693649,-0.170972814139055
"Santa_Cruz_Tenerife",0.445833940512644,-0.677022400196006,-0.141803284687191
"Santander",1.31275400993009,-0.369074719146425,-0.148663872400101
"Segovia",0.620408668120533,-0.971027464201939,0.331569325910175
"Sevilla",2.02816663601048,2.10714322004055,-0.38926655184122
"Soria",-0.206691112457706,-0.231524367952654,0.750052913271406
"Tarragona",-1.49200203734163,0.644766585934853,-0.02996922287813
"Terrasa",-0.37836127161585,0.421566397211652,0.401156995689708
"Teruel",-1.09524372546172,-1.11156515849477,0.892157131436864
"Toledo",-1.18078736512502,-0.874061043762185,-0.316893985386333
"Torrejon",-2.03914434154037,-1.07819363251942,-0.524859990524538
"Valencia",3.01311592375482,0.9792609220615,-0.433255585406354
"Valladolid",-0.0507288921301386,-0.699415393135573,0.857831994328205
"Vigo",-1.54937070755383,-0.951375770576433,-0.344079074955173
"Zamora",0.160024696806878,-0.561992831935719,0.332346430836804
"Zaragoza",-0.18744868226737,-0.831876133258538,0.376613909937807
