"","COM","ED_SING","EQUIP_EDU","EQUIP_OTR","EQUIP_SANI","HOS_REST","IND","IND_MX","OCIO_ESP","OFI","RES_PLU","RES_PLU_MX","RES_UNI","RES_UNI_MX","SIN_EDIF"
"Albacete_class.shp",-1.17265503218003,1.56341361771881,1.23188752765476,1.43237846243976,-0.2965331277298,-0.894861976460861,2.60007127521317,1.87016368145461,-2.55760638320628,-0.954597143128831,1.8796267770266,1.63456141754281,3.12765762030199,-0.238044775137483,3.41587422460788
"Alcala_class.shp",0.0553916974485437,2.0335379271022,1.66092730849246,1.91924017015698,0.00503375934845104,-0.768494089109277,2.76434751786001,2.52763802907242,-2.35381649456015,0.252354083207939,1.89036974620159,1.0562258696849,1.79716868633222,-1.15907563661487,3.46994528247958
"Alcobendas_class.shp",-0.915192460195345,1.69538227870354,1.079463617496,1.63248050497761,-1.51842490681737,-1.6068515100582,0.768046941309185,1.47636761348955,-3.98689634732566,0.897621705010148,1.77891071302875,0.292872451598831,2.95362926409267,0.462868037607278,3.88442572428962
"Alcorcon_class.shp",0.192510835994382,1.46798510695528,1.99461812753467,2.46995873936116,0.632534118051701,-1.69864690240722,2.03338094597164,2.10196079912199,-2.97922074225248,-1.52373854158157,2.34907736856237,1.52540149785227,1.63864085719112,-2.02774163397069,3.60460291794477
"Algeciras.shp",-0.543250369904251,0.0303185135877865,0.770414466465024,1.38382813247654,-0.514813581777117,-0.969195877227385,1.6441537476909,0.754697270469233,-2.8961655294233,-1.7228726033595,1.14898488267445,0.807754347368222,3.25098581201011,1.02727830033297,3.90632853466149
"Alicante_class.shp",-0.243305698229824,0.724633832043253,1.14383804438258,1.39920214607441,-0.354926473404616,-0.85290897327847,2.09162915754737,1.34805143377822,0.165464776227475,-1.25554613792081,2.04343793309182,2.25058658157836,3.18275352363532,0.581798661429201,3.47532268057053
"Almeria_class.shp",-0.295969303555651,1.38382963868549,1.40096995092592,1.90591772849817,0.959792479845727,-0.43265939866207,1.49249738426859,0.293519036683263,-3.13208570152002,-0.663968353412416,2.22870892797097,1.86155480532081,2.98295412666519,0.404622733410202,3.6351418282017
"Avila_class.shp",-1.65395422254263,-0.390737838678767,3.32757134720396,0.0305722690930041,-0.669030538686915,-2.18262930835608,1.21395011501316,1.62017320245293,-3.94865586995201,-0.801184386470106,1.49622811605953,1.32171087897159,2.59016207492401,0.576940951091021,3.62139314718846
"Badajoz_class.shp",-0.114886409930278,0.256909491128352,1.17092792077772,1.39383999111493,-0.115087144089802,-1.83077752931686,1.50433573895861,0.444636980325157,-4.30696888513011,-1.25280645944109,1.3842741268201,1.22868279139952,3.63123978454785,2.05743369843129,3.40632981715317
"Badalona_class.shp",-0.0435213114838233,1.87758076710437,1.44873770218103,1.95753960121954,0.110043545138141,-2.13710438389886,2.50073040453866,1.81057244848739,-2.53495192327771,-1.02737087903885,2.69444857698352,2.19194850777163,2.56250576046261,0.26023458292015,3.14298435035771
"Barcelona_class.shp",0.181730632232422,1.16013116150328,1.52948413913912,1.89018615132665,0.269052463900028,-0.0813046369047379,2.02904280758021,0.853597163763607,-0.667904280381175,0.623639694538788,2.69636306514252,2.77759639414522,1.74051264744485,0.577154173096733,3.44753028797501
"Burgos_class.shp",-0.748636698370137,1.59655541423679,1.10713230998739,1.10757920543505,0.938427331376161,-2.1461985431595,2.6614348602891,2.83003879816027,-2.70563043110846,-2.50497377446053,1.60707985239455,1.35637048197088,1.57539905202166,-0.666916453912734,3.69480461487785
"Caceres_class.shp",-1.28245772597841,1.27571572695353,1.73549312796126,1.79945830697573,0.170236661043916,-0.137661968863785,2.08544553160624,2.24935988102331,-3.71267636796222,-1.35368081189669,1.82098486638174,1.40256374404918,2.81913379068585,0.318973668654857,3.588290237683
"Cadiz_class.shp",-0.298744772424808,1.95699056248242,1.97026946569064,1.49578999537806,-0.355096048193743,-0.130588868953847,2.20795383467037,1.94909148324112,-1.34673370575351,-0.0960615520137375,2.96945709461583,2.46474516611057,-0.235286858733727,-0.565390227969912,3.36997880689328
"Cartagena_class.shp",-0.267220459719828,0.831454478496176,0.56154413889959,1.58535562600682,-0.199178764500382,-0.782829904239283,1.55068061470734,1.82023692650902,-1.75662561514897,-2.62875397197447,1.46349300828473,1.38649214156005,2.93630171015972,1.06314492208869,3.86767034627368
