USO,Albacete_class.shp,Alcala_class.shp,Alcobendas_class.shp,Alcorcon_class.shp,Algeciras.shp,Alicante_class.shp,Almeria_class.shp,Avila_class.shp,Badajoz_class.shp,Badalona_class.shp,Barcelona_class.shp,Burgos_class.shp,Caceres_class.shp,Cadiz_class.shp,Cartagena_class.shp,Castello_de_la_Plana_class.shp,Ceuta_class.shp,Ciudad_Real_class.shp,Cordoba_class.shp,Corunia_class.shp,Cuenca_class.shp,doshermanas_class.shp,Elche_class.shp,Fuenlabrada_class.shp,Getafe.shp,Gijon_class.shp,Girona_class.shp,Granada_class.shp,Guadalajara_class.shp,Hospitalet_de_Llobregat_class.shp,Huelva_class.shp,Huesca_class.shp,Jaen_class.shp,Jerez_de_la_Frontera_class.shp,Las_Palmas_Gran_Canaria_class.shp,Leganes.shp,Leon_class.shp,Lleida_class.shp,Logronio_class.shp,Lugo_class.shp,Madrid_class.shp,Malaga_class.shp,Marbella_class.shp,Mataro_clas.shp,Melilla_class.shp,Mostoles_class.shp,Murcia_class.shp,Ourense_class.shp,Oviedo_class.shp,Palencia_class.shp,Palma_class.shp,Parla_clas.shp,Pontevedra_class.shp,Reus_class.shp,Sabadell.shp,Salamanca_class.shp,San_Cristobal_de_la_Laguna_class.shp,Santa_Coloma.shp,Santa_Cruz_Tenerife_class.shp,Santander_class.shp,Segovia_class.shp,Sevilla_class.shp,Soria_class.shp,Tarragona_class.shp,Telde_class.shp,Terrasa_clas.shp,Teruel_class.shp,Toledo_class.shp,Torrejon_clas.shp,Valencia_class.shp,Valladolid_class.shp,Vigo_class.shp,Zamora_class.shp,Zaragoza_class.shp
COM,0.30954403911728473,1.0569545367500437,0.400439550459017,1.2122896383304982,0.5808571787164025,0.7840317892957702,0.7438102600627993,0.19129202713888843,0.8914674045132367,0.9574121450180294,1.1992910817245603,0.4730109676819888,0.2773547907305701,0.7417487049756982,0.7655042886608042,0.8018250333883653,0.5320409765743023,0.3986147933428899,0.4192064890511405,0.6073016306465183,0.7776035107274636,0.6049108148734252,1.6327307131921622,1.5763750653075737,0.9225732443768601,0.3904054569552938,1.5526649614457935,0.7867393846388349,0.7886345383434636,0.8500005695527805,0.7965311547466559,0.8664414937077272,0.7688569273710472,0.6878015522601364,1.392163919120519,0.3166574844186018,1.5361122822951823,0.3929968873504123,0.8962966637210085,1.2371212369425235,0.5301164324090116,4.365901538266243,0.37036714877845367,0.739247223254962,0.7015140660667109,0.4971577444060485,0.49632078322055023,0.14335059855580592,0.3200530062266366,0.8297366140237933,0.5617866229341093,1.2296236779511396,0.4004018792334825,0.43822231699497827,0.931066339051867,0.5090594538916628,0.6090500667338061,2.163694750362565,0.41721210675976,0.525893238504306,0.42617647435020756,1.4209548554277105,0.576406637424154,0.3833905775895403,0.7348014528116495,1.4082873461403105,0.35645482632624237,0.19129456802998573,0.2504810461745586,1.580610393283495,0.4047456735120907,0.27615438338400844,0.7500865812139088,0.47759725611054005
ED_SING,4.77509376770947,7.641072149258671,5.4487285028441255,4.340480725212581,1.03078279642424,2.063975179511608,3.990153249312799,0.6765575093920556,1.2929280971388033,6.53766956852053,3.190351741791823,4.936000633214147,3.5812637333967037,7.077994215987443,2.2966567504249524,6.649413545681021,12.086236764121516,2.123328033019597,2.787730855504856,3.928642147755404,5.257076884272714,3.2247823355088876,1.1295430991849802,3.1035589610038157,5.944772847906907,1.4723475986349384,2.7772993370144854,5.630499208796464,2.7740057800838973,2.077969765458165,4.439009299105879,4.857762121629658,5.593794876220331,10.139193350429627,4.040699020032293,11.374022185555628,2.3272608072429715,5.096824776928503,9.454445426946336,5.381070762489926,5.122789435538696,0.11923490182388598,0.5861469400316968,2.8610409560382797,19.48215100470922,6.841905741581276,2.228160849262371,1.3527350443876043,1.1331675966896062,3.1190131410075055,3.7802130729108865,2.804689048816985,0.8755170618378695,7.570000964393414,1.68250164786023,4.694097740835687,2.571795345268982,1.9325462995842029,1.6766068242284926,4.702533430300598,11.402963311336599,8.477933430641144,1.781677175184554,6.72637464231277,1.0073469875399808,2.949307559429885,1.9406611769010644,10.147536177316578,60.14330128802933,3.301966102810482,4.732780529547844,2.100295771499942,2.9704231758743727,4.504670609301856
EQUIP_EDU,3.4276932812001784,5.264190108213342,2.9431004990335614,7.349395964160363,2.1606615895593726,3.1387920686092072,4.059135221854465,27.870571529459014,3.224983775557385,4.257736594588943,4.615795129895981,3.0256692626152435,5.6717240162529565,7.172608983823492,1.7533778722829068,2.7405602453205478,2.714485944494801,5.4449754758300966,3.7894501563535874,3.570282256857999,4.136680358596229,2.930093646947168,4.992758153705876,9.869639675055145,3.707957824853884,4.241832786128382,6.866535440514039,8.011628952030868,3.0920393838650524,5.489684729083844,6.604554044109923,3.178619084224114,4.705977731336956,2.4508966064480253,4.405229550121274,3.382208329696084,8.980955640122644,5.733201759294463,3.4950803627122338,2.610732608677404,6.123963402346553,2.4867050817643137,0.6245359302932286,3.142726270528372,3.3918527678966517,9.156273543097019,1.5193597767823763,2.2624223209872794,5.31436687671666,5.929080377175304,4.363586480721094,3.6274331102405992,4.471562534412878,2.072747319665877,3.8080588111391735,9.029720787640883,4.546340053807963,5.921873558937392,3.281025616852193,4.1090270266759275,3.4420649905594756,7.701954460174659,3.6536223928851626,2.4064667714567545,1.9901061674659917,2.504338417727919,4.166421274607038,3.6506293243206414,1.4827974671768553,6.704864098819072,4.599510805818801,4.8029689901454695,4.444968785738328,3.2325399919331796
EQUIP_OTR,4.188649933465797,6.815777672220364,5.116550618623897,11.821959064426151,3.99014724279517,4.051965824008533,6.725577050854639,1.0310444339853262,4.030296684408155,7.081881363137084,6.6206009630184814,3.0270217254397225,6.046371300773567,4.462860841466291,4.881026887644667,4.35863336551892,2.4451930094303607,10.721558926746095,2.6723332250128764,8.801929198914529,2.6376285947815807,7.177282974110906,2.9418323133923105,5.336265828424896,5.074955565751529,3.9685420045659217,10.2383539689184,10.406479236507547,4.482979845742229,11.24464704144133,6.447218534391536,4.0665897960269,7.786917615455893,5.804476360735491,4.493545694462219,4.935211263418147,6.082925812748232,5.640394763470423,7.020236182862845,5.469759564531302,5.972536897905605,12.866715327805306,10.714195470448583,7.880419252226734,5.7804242908471295,7.102213768392844,3.239698783301295,2.572012635531347,4.769762885633869,3.7709395117333635,4.222265379351164,5.419465447636212,3.1088976283896166,4.342521134484039,8.396248983566434,8.578525656646347,2.613635510986235,7.091691027821686,3.7136380588479145,6.687381585970237,5.0269687109821986,4.843935454658952,3.508656338744222,5.591835625753195,1.152777065780216,3.60552399020959,2.0234152170247377,3.5971171237501958,2.188334633912269,5.694240462944552,8.504690680348222,4.406183548251858,9.497843561923151,4.55600246677426
EQUIP_SANI,0.7433909812888341,1.0050464492305293,0.21905664666351798,1.8823746997014006,0.5976119921903559,0.7012249786320696,2.611154545146654,0.5122048855164417,0.8912884662866607,1.1163266809159658,1.3087238056643375,2.5559585795354822,1.1855854319045018,0.7011060605379139,0.8194034008362399,0.912737954010373,2.138171706494422,3.947548719273349,0.4833375721316668,1.5388698676126664,1.2000301632717096,0.4149026501929882,0.5843341404933291,1.1340419881875623,0.9133233060224057,1.0333336972400524,1.3786749035028476,2.2049248621532023,1.277402614683477,0.804690970712256,1.996677562687696,1.424599692517441,1.8761335116619065,0.6564372935538563,1.528123055214438,1.3237798311914373,1.8513613734163097,0.33579293733786403,1.622384342731637,1.1179247867330362,1.7947469921030406,1.8404337792930232,0.3115174316431651,1.2823810808113352,0.7049549689045611,1.6583440506517475,0.2109178591734541,0.6331356567676576,4.3704668054422715,5.649081455401854,1.1100034114682877,0.9984556910277255,0.6600080107590267,1.8133411943219158,1.100230089943135,1.9563173476529778,0.4985956893969105,9.668515832849431,1.1972831745653232,2.158240227811851,2.0557000795975453,1.1537563135490099,2.0335165553489416,0.590838446034829,0.1860217843011684,0.36131498493356345,1.9946847520054785,3.172389323157504,0.4149243276362407,1.428052134494035,1.662326240397843,0.5386302469977033,2.365705418462887,1.013547585815835
HOS_REST,0.4086639920686706,0.4637108480466468,0.2005179500698266,0.18293087576559974,0.3793879948522101,0.4261733520530775,0.6487814269713055,0.1127447422522499,0.1602888869619104,0.11799601664756647,0.921912809321849,0.11692781014588016,0.8713932166895396,0.8775785488613312,0.45711059648898933,0.3585078134306259,1.0778816361195016,0.3371553042925341,0.7240720843802928,0.1313640755327861,0.1938185228491117,0.15563623688902234,0.5592652423973206,0.8271746267148734,0.2150498833121022,0.2765532844084483,0.46162284555224653,0.8324404583101812,0.49844228300415006,0.24191921865399268,0.2635369787782991,0.11093968313825595,0.31606617779279816,0.4571208713235674,0.25792186700624115,0.246966823082842,0.34076431856474715,0.09723960733523544,0.15037728719189167,0.2886312346508395,0.48751896829867497,0.07185829634633432,1.48979679291304,3.911256305719266,0.24786543592453963,0.3347864733524477,0.08838661166485234,0.05976916301990491,0.18173618545799228,0.12700731664138257,1.7854741324389534,0.16364034630523475,0.10947000596676167,0.06256373673911675,0.6181769030339096,0.6122299246199697,0.11512565226279119,0.14380499335926214,0.16363064150964324,0.538161598320349,1.4828363488241898,0.498151170771756,0.330606891207495,0.49621782476200377,0.05317231072244935,0.21471739518657026,0.5976071083156446,1.02544101727542,0.11999960172330493,0.3588365491828394,0.40603655567086383,0.19165580914091648,0.21561947002805404,0.09894827764646616
IND,13.464697745887655,15.868682579881105,2.1555522211006815,7.639872744576951,5.176627323672258,8.098097514356986,4.448190495814856,3.3667574888201477,4.501162686630795,12.191395358725599,7.606801671822369,14.316816997670184,8.048176436263915,9.097083174722075,4.71467797264025,6.28694363766079,5.485088291133487,3.888283006603154,8.851239036701672,7.753273481245528,10.948715070627994,11.281464875564474,9.980972389745958,21.779937990216606,11.944558225479101,19.175824062809667,9.456123618422556,7.268164939730465,11.256642106628087,15.445413726490035,4.7564323475095716,22.48759312708796,10.565062339386072,7.64247672316544,4.801326682223438,6.316500239624878,9.48601008167667,13.569806911307191,14.709956112554998,6.200814879139619,2.564106594726335,3.2766929769282735,2.679312551890374,8.671810009665485,6.935277305800605,9.239523577243856,6.3175184412661105,3.268779320751721,7.749272881606435,18.444291506804607,4.972075282473684,14.529474105516659,10.725776517318138,9.616545590439715,12.9734319466397,7.571514160022433,7.63533383465279,2.8392729348076533,7.912278536995881,7.847141948114748,12.406627848514754,5.562783962276634,16.379843411731343,8.974066514032138,12.380992400886873,13.06731524328113,17.72902580882529,6.249912039521748,4.275417000074114,5.145138177505486,17.403132097212033,5.9918081560630485,12.414005932060459,12.834295382997436
IND_MX,6.489358535406072,12.52389011433896,4.377017750070442,8.18219783465247,2.126967531980508,3.8499163868040345,1.3411387126016256,5.053965636008142,1.5599238132156448,6.113946346437523,2.3480780817958675,16.946118294038495,9.481664515168713,7.022304797753779,6.173320897332448,6.723304036988469,5.864501657433692,3.4666954370126297,6.556316880080089,5.178778607697045,3.022383661214453,4.441596014371833,4.070929295561805,13.700932888700395,16.378236092921473,5.828178119997766,3.210505700868164,3.157176679425712,6.443408606581584,16.511187691763396,6.35091094508098,3.1939237143506363,4.194477532489393,9.227394317468653,2.3408070582120364,8.486668342072505,10.46239033415536,9.600584225951014,12.655717389720012,5.8862250657516535,3.135856439323803,3.1434037710871228,0.3824226518864232,4.968552728171994,2.75261904319503,10.686287834633749,2.1933676300340457,3.909505363761824,5.360564669127204,9.774245101779487,3.3121966156590505,2.457849715933836,3.243502095461772,9.098339808378658,2.7903275712371682,9.88302687079217,2.596043883082152,4.497095460486084,2.8577188149450357,4.254864284279231,3.2059042881332753,2.993351463960919,5.0104921945521905,3.9432170287846375,3.306593700300728,4.753045685438597,5.347079916598797,3.1274574098497756,5.5235020119847125,4.941831542097684,8.563992064427321,7.2956215419443735,6.331392729709148,12.096168842435851
OCIO_ESP,0.07748999993803919,0.09500587479391166,0.01855721677010864,0.05083243229693661,0.055234609476651125,1.1799413729726065,0.043626711569108245,0.019280597707434517,0.01347433249011771,0.07926553288081602,0.5127821375694889,0.06682818215919141,0.024412102733704255,0.26008839161845637,0.1726263876832286,0.09926333341308978,0.16123293328104343,0.13323535215510968,0.04064782427972624,0.3787586735674974,0.10224525686886171,0.012003531015605607,0.06793210876131366,0.03971356165228683,0.0575225881655563,0.07585081786452892,0.25556275826377384,0.10426212935377757,0.6916752263594637,0.09359427338131425,0.15579168859060474,0.07522384343529571,0.023285236924673304,0.13959868652392488,0.08706815360602763,0.04118591314587122,0.08971506917567873,0.0943513021668621,0.0453441095101349,0.1362735124385007,0.14770440659889034,0.7439713836235623,0.09555540822512955,0.43612698627985236,0.12734781402883613,0.0315389552440907,0.12042663086292052,0.03822374909793645,0.08263249852299553,0.03160612286974368,0.04804827022117001,0.03546511419924839,0.5244218806661274,0.052443291528331805,0.10894928455900203,0.13352317183535312,0.23620363427934352,0.13516062616068303,0.06955383670487174,0.036765883410377814,0.015398041841349991,0.7740947583231835,0.04978617173127814,0.1455857154404889,0.08592467401470971,0.08712949682309953,0.01417489037972807,0.009622383921085994,0.07583088288319666,0.2340116903310789,0.17704884381307898,0.16740292663971434,0.06963003597835798,0.09301048063938294
OFI,0.3849672346508034,1.287051681969084,2.4537603977363456,0.21789574779914933,0.17855249572002713,0.2849202467016793,0.514804350039294,0.4487970999843707,0.28570186147732934,0.3579468151733719,1.8657062894260743,0.0816777421786008,0.2582878008318165,0.9084080799539765,0.07216832539392683,0.08629647839256278,0.36182180055562335,0.9010908356172983,0.23074193034323046,0.47246031581502557,0.469426750488203,0.12541025540168907,0.11212287731947569,0.15451034296125177,0.1775133253041284,0.28892611285443526,0.42056392913880547,0.6568433471860062,0.3208713710693019,0.6848838681880649,0.21697399111121493,0.44939409981580053,0.343296146328121,0.39396797069603823,0.5792303179759375,0.2735473046268537,0.838517140276838,0.40860148909900645,0.13884035649762433,0.40757495878082767,2.1411560207120126,4.041745816577732,0.11603867928422136,0.33267862365512035,0.15404922005055374,0.7923161903705832,0.3229697481762054,0.17113756657037987,0.3249216862843816,0.16292391727476782,0.4939312856303201,1.0487457720351043,0.2517819856671367,0.21451120226069847,0.4004439942573536,0.2816899918522983,0.16000832319622446,0.24679829027913597,0.3412031061317125,0.47588469376807635,0.11327153782654424,1.5402211691090466,0.5343072725354397,1.3602271567828113,0.10731170193928738,0.2899134954363133,0.06954205698932941,0.3928489536758671,0.1879149435957295,0.5554139823919004,0.3354313732198497,0.2601977157787096,0.13391795629881678,0.17209257315146076
RES_PLU,6.551059362912091,6.621816622570351,5.92340062441886,10.475899867419503,3.1549885979309154,7.717094538974418,9.287867034692567,4.464816471419074,3.9919272161094623,14.797356898249921,14.825713385224814,4.988223593421456,6.177939886738266,19.48134016053436,4.321026581787453,8.248864821308247,6.7804924080100495,8.453149149118518,5.101956728861255,6.986871557928816,8.584668650392945,2.2361343122735997,5.433237545294369,8.4170621382377675,7.666633215788039,6.577123462948996,1.61280351557113,11.252753184459097,5.904443278259376,11.579048230399511,5.922661676499801,7.282858572526724,8.391149485212525,4.348621387784574,11.632718293244846,6.560353549722761,9.799347369012395,5.381455297435987,7.3156887570716815,11.52503129967365,20.73231802360254,8.99747475892335,8.534593573332844,9.604930056134576,7.399764779882005,11.147744122088366,5.394407928633091,4.897250531314215,15.24151547281958,8.607744823601895,8.325010172751822,9.237318684291683,5.314227903081284,4.1023541433476325,10.906230172527883,10.996994425213007,8.48260977221564,21.467627166193264,11.010324657589324,15.070977305046188,10.031824259639519,17.623510825158345,9.368911674285954,4.725332293002777,5.6807591975559735,10.079423034930727,5.097003947695774,3.627015628907303,4.441710018487788,14.023467048905,8.86873792800795,0.7918538442456333,9.378722900931864,7.585931079508453
RES_PLU_MX,5.1272087780519415,2.8754979794288524,1.340271831000575,4.596988875353927,2.2428656320707274,9.493302803671137,6.433732199828748,3.7498313504299845,3.4167260263463533,8.952640423098392,16.080323687386596,3.8820776306778484,4.065609766468143,11.760484800509628,4.000791199994606,5.054593289703982,4.350155268076589,8.433978918596496,4.238257126217983,7.949045628017501,4.3894386077743235,1.7479475948690926,5.892479035558332,3.013156588859877,2.368854040992884,5.622751194919355,15.891308465316293,10.617461467519188,4.2298618659066705,15.729801480703218,5.369725358919954,5.5791193477115275,5.073247047916994,4.342282372360984,6.400505791735911,2.113274227239704,8.552880713296934,9.844746166437195,17.597809664290097,7.938830179718027,12.386200650929617,5.195558839930545,3.9443193941445576,9.330182036288882,5.567105519414605,4.066747315839423,3.9465992878408693,4.549744186033392,8.620245656745064,5.403590640119305,7.867443906007883,3.5547807897381283,6.579222198258414,4.818247038172381,7.118565990091426,7.92651306552685,3.887923624243194,16.800761475558133,7.196992026707963,6.477033249662859,7.281920927857469,9.634436954261686,3.92540592053296,3.9592829356769035,1.6997851797567287,5.48032863318016,3.098781071393302,1.7781284538476338,1.9002047750459488,16.5941880629663,5.696319787359767,6.821427237463269,5.071298382348968,7.173643588153859
RES_UNI,22.82046268081343,6.032543240844367,19.175420258917253,5.14816766234603,25.815776877146785,24.113058086467646,19.746062942274115,13.331932187510715,37.75960137789251,12.96827201927817,5.700264860457356,4.832669720318948,16.7623246957115,0.7903440600202722,18.846019227236948,11.289345335907152,14.424581789093402,15.991639799468588,36.25095985277267,9.593790028462301,8.412865848849071,23.431123557300783,29.352823082439762,4.4129217945344,10.647359992540405,15.217091717625475,6.078934954905364,12.735206301057719,10.234455247119973,2.8894685670521087,4.384941998304616,4.512675194956513,14.14009509676827,21.18367629679063,16.04245951896235,3.7062986037339525,7.773798611471616,7.821853472595734,0.7199728286346435,8.945221532009247,8.72235155150361,25.53463025846319,27.522987883082774,16.311520713695455,14.562812649034104,12.314053507358485,16.9435019742441,29.934329311676596,8.58413895946081,13.309893238572437,17.293530129841304,7.229492399625532,20.68172511821993,14.872928307231808,14.698324235206025,4.104656899247545,29.761337655490316,14.135661292483931,15.199626221607884,13.919862468942739,9.898038397698459,15.278616004469178,6.583853936424172,14.828037177686154,16.281287942397604,19.22364985655848,15.279367383375696,21.547121050413377,2.206157099409155,5.349107909480319,10.713215824515208,5.153567754103369,11.797034164472423,8.182777966742545
RES_UNI_MX,0.7881674104634985,0.31377609132395073,1.5886236927209374,0.1316324594204219,2.7934525423573318,1.7892537869133751,1.498736966272011,1.780583235854253,7.825860499020086,1.2972343569843052,1.7809629384100776,0.5132888936303475,1.3757150995115737,0.5681383747112798,2.8954626904351706,1.2207316342122236,2.1207879151483984,0.5480278400347764,4.746158396427432,1.3849624565383385,1.6889915326149043,1.5378719412056763,4.71991082840404,0.16716950642227155,0.26208987073099316,1.3708619257215755,18.638312353270916,1.406637848330846,1.5028150244163399,0.6971996094878112,0.8763869806476652,0.5764844735811565,0.8885312022610191,5.472722301033861,1.6235073652631387,0.03775857126587592,1.0268371662303097,2.0036244029866754,2.8793925200970283,0.9021147667035918,0.567184613546651,1.2669275024595033,2.158483631503042,1.7530387806752132,1.182724327940062,0.4810470090529356,1.7332377996728514,1.2280475644373787,1.0730905287643806,0.6872115774333012,2.4236016062672374,0.34230532227123484,1.831880391067333,1.246477134751968,1.3495795816634617,0.6035857896768627,2.0789918537723495,1.6282581471554087,1.3850264043378258,1.3182355422055096,0.975684868496787,2.824477152705182,2.643400868905961,1.0941934027330043,1.228457533141977,1.5961807687661558,0.5071162204412668,2.3495805990680645,0.2662871317508056,0.5274380610245929,0.9155601509904472,25.589182371537927,1.7043052584671319,0.8327786562592806
SIN_EDIF,30.443552257026234,32.13498405112982,48.63900223957086,36.76708140853802,49.716085595107046,32.30825207102785,37.907228832705016,37.3896208045219,30.154368871951547,23.172919880343784,31.422691416490323,40.237709967272465,36.172177206824536,29.07791080452401,47.83082692115741,45.16897947506363,39.457327900032816,35.210718408888866,23.107591841881526,41.723670073408044,48.17842658667043,40.678839259474856,28.529129174548967,26.467539043721278,33.718599975853735,34.46037775732517,21.160733247295184,24.928782000500092,46.502322827936936,15.660490257632176,51.41864743951561,41.337775755290295,35.333109072873995,27.05333390942519,40.37469371281933,50.88556733120486,30.851123280314113,33.97852600030343,21.29845799545783,41.95267361175985,29.57144957045496,26.048745766707622,40.469726512542465,28.77408897685448,31.009536806305388,25.650060166687126,55.24512589586491,44.97955698710696,36.87406429050211,24.153634655561255,39.44083363132304,47.321260774410675,41.22160478966023,39.67875681728947,33.117864449223234,33.118544714545955,34.2070051006113,11.32723814396117,43.577879972216174,31.877997516987005,32.23461991434163,19.671822024512593,43.61951255850617,44.77493388795199,54.10466190138467,34.3795240919575,41.77866434912061,39.13390594694482,16.52313777211599,33.560833783763165,27.01647144515868,35.613049702804055,32.85504564649212,37.145995242529594
