Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
6149,Valverde de Leganés,Badajoz,Extremadura,4167.0,2088.0,2079.0,,1588.0,937.0,2525.0,,509.0,199.0,2305.0,317.0,335.0,3953.0,41.0,154.0,182.0,374.0,76.0,7.0,4.0,149.0,115.0,36.0,18.0,2063.0,1107.0,516.0,235.0,253.0,112.0,47.0,19.0,294.0,135.0,39.0,17.0,,14.185925484351714,18.513689839572194,11.732348993288591,13.303868153174989,15.145691699604743,14.907823129251701,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7047,Palma de Mallorca,Balears (Illes),Balears (Illes),422587.0,206654.0,215933.0,,120296.0,122595.0,242891.0,,18983.0,49579.0,247630.0,15941.0,22012.0,360254.0,11925.0,35032.0,11311.0,18905.0,5907.0,2437.0,1343.0,36161.0,29131.0,17479.0,9630.0,202461.0,140661.0,79753.0,42580.0,10467.0,8204.0,4978.0,2431.0,18987.0,10446.0,4321.0,2230.0,,11.130592495310855,16.124112668606188,9.287275241282044,10.833280384864246,9.55370115601414,13.549055142992573,,0.0,4.0,81.0,0.0,4.0,73.0,2.0,20.0,225.0,0.0,5.0,257.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,2.0,91.0,2.0,9.0,112.0,801.0,4.0,44.0,865.0,,,,,,,,,,,,,,,,,1.0
8014,Barcelona ( municipio sin especificar),Barcelona,Cataluña,,,,,75.0,32.0,107.0,,4.0,20.0,144.0,36.0,18.0,229.0,7.0,7.0,4.0,4.0,2.0,1.0,0.0,11.0,8.0,2.0,0.0,30.0,15.0,6.0,3.0,4.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,,14.718275862068966,16.1625,13.670909090909092,14.377666666666666,17.635,17.908,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
8029,Badalona,Barcelona,Cataluña,223166.0,110018.0,113148.0,,66362.0,42069.0,108431.0,,4916.0,21022.0,83567.0,7236.0,6785.0,126321.0,4112.0,7168.0,3281.0,4907.0,1514.0,429.0,229.0,17672.0,14761.0,8332.0,4668.0,70544.0,50113.0,28082.0,15927.0,4789.0,3366.0,1878.0,872.0,5593.0,3343.0,1177.0,607.0,,10.79520864466093,16.514189932749133,9.030091104572204,10.574106798593785,10.975940697431614,13.284230287859824,,0.0,3.0,49.0,0.0,0.0,32.0,3.0,7.0,187.0,0.0,0.0,221.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,1.0,37.0,1.0,3.0,83.0,523.0,4.0,14.0,657.0,,650.0,2512.0,29.0,2.0,1.0,40.0,47.0,2.0,94.0,,219.0,116.0,60.0,40.0,,0.0
8077,Castellolí,Barcelona,Cataluña,626.0,302.0,324.0,,232.0,193.0,425.0,,32.0,202.0,424.0,73.0,73.0,823.0,53.0,24.0,22.0,32.0,8.0,1.0,0.0,124.0,94.0,41.0,21.0,365.0,267.0,158.0,82.0,45.0,29.0,20.0,11.0,58.0,39.0,20.0,8.0,,11.250390015600624,18.2034375,11.234274193548387,10.373479452054795,11.504666666666667,11.939827586206897,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0
8108,"Granada, La",Barcelona,Cataluña,2208.0,1097.0,1111.0,,751.0,638.0,1389.0,,78.0,245.0,1273.0,147.0,153.0,1982.0,50.0,108.0,72.0,77.0,17.0,4.0,3.0,176.0,126.0,65.0,42.0,1167.0,768.0,420.0,207.0,119.0,69.0,39.0,21.0,138.0,74.0,18.0,11.0,,12.028836944127708,16.966233766233767,10.994829545454545,11.367060839760068,12.231344537815126,14.643985507246377,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0
8115,"Hospitalet de Llobregat, L'",Barcelona,Cataluña,269382.0,130289.0,139093.0,,71547.0,39262.0,110809.0,,6707.0,23141.0,79641.0,7013.0,7087.0,126843.0,4030.0,6641.0,3463.0,6701.0,2546.0,818.0,458.0,19661.0,16346.0,9072.0,5195.0,68643.0,49689.0,28083.0,16608.0,4952.0,3636.0,2071.0,1027.0,5849.0,3750.0,1248.0,638.0,,10.61460287893179,15.617170571556484,9.113938762016174,10.354553414040762,10.512166801292407,12.877225166695162,,0.0,1.0,31.0,0.0,1.0,20.0,0.0,5.0,168.0,0.0,2.0,67.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,51.0,2.0,3.0,72.0,394.0,2.0,12.0,438.0,,,,,,,,,,,,,,,,,0.0
8135,Mataró,Barcelona,Cataluña,129661.0,64476.0,65185.0,,39389.0,29248.0,68637.0,,4410.0,13768.0,53167.0,4805.0,4670.0,82443.0,2918.0,4853.0,2188.0,4395.0,1271.0,328.0,159.0,10924.0,8717.0,4375.0,2461.0,48074.0,33035.0,18394.0,9808.0,3517.0,2279.0,1247.0,616.0,4173.0,2192.0,784.0,412.0,,11.3333426268426,16.748425483503983,9.917676675210545,10.89119981694887,11.7130707989764,13.960481667864846,,0.0,3.0,23.0,0.0,0.0,23.0,0.0,7.0,90.0,0.0,1.0,108.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,59.0,288.0,0.0,14.0,340.0,,2390.0,9317.0,69.0,12.0,4.0,28.0,12.0,34.0,54.0,,1816.0,195.0,144.0,22.0,,0.0
8201,Sabadell,Barcelona,Cataluña,216520.0,105388.0,111132.0,,67315.0,54174.0,121489.0,,4201.0,16361.0,98432.0,8555.0,8326.0,139550.0,3578.0,8895.0,4341.0,4187.0,1163.0,312.0,150.0,12664.0,9932.0,5032.0,2962.0,89876.0,62125.0,35133.0,19364.0,6379.0,4136.0,2237.0,1128.0,7315.0,3973.0,1411.0,697.0,,11.187536237755324,17.04053498925245,10.006431617182566,10.781783123414483,11.624759366671892,13.832851674641148,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,26.0,1.0,14.0,17.0,,1712.0,5930.0,326.0,42.0,15.0,111.0,61.0,,83.0,,373.0,523.0,84.0,94.0,,0.0
8258,Santa Coloma de Cervelló,Barcelona,Cataluña,8268.0,4037.0,4231.0,,2721.0,2322.0,5043.0,,164.0,1063.0,4018.0,331.0,386.0,6177.0,205.0,237.0,150.0,164.0,52.0,12.0,2.0,881.0,714.0,383.0,212.0,3708.0,2880.0,1731.0,931.0,247.0,170.0,80.0,44.0,327.0,201.0,81.0,39.0,,10.106871822803196,16.472743902439024,9.520192962542565,9.507880258899677,11.61093117408907,12.802935779816513,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.0,2.0,16.0,,19.0,80.0,,,,3.0,2.0,,3.0,,6.0,1.0,2.0,2.0,,0.0
