,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,SIN_EDIF
0,Albacete_class.shp,0.3095440391172847,4.77509376770947,8.35973419595481,19.954056281293727,0.4861539920067097,0.3849672346508034,11.678268140964033,23.60863009127693,30.443552257026237
1,Alcala_class.shp,1.0569545367500437,7.641072149258671,13.085014229664235,28.392572694220064,0.5587167228405584,1.287051681969084,9.497314601999204,6.346319332168318,32.13498405112982
2,Alcobendas_class.shp,0.400439550459017,5.4487285028441255,8.278707764320977,6.532569971171123,0.2190751668399352,2.4537603977363456,7.263672455419435,20.76404395163819,48.63900223957086
3,Alcorcon_class.shp,1.2122896383304982,4.340480725212581,21.053729728287912,15.822070579229422,0.23376330806253628,0.2178957477991493,15.07288874277343,5.279800121766453,36.76708140853802
4,Algeciras.shp,0.5808571787164025,1.03078279642424,6.7484208245448984,7.303594855652766,0.4346226043288612,0.1785524957200271,5.397854230001643,28.609229419504118,49.716085595107046
5,Alicante_class.shp,0.7840317892957702,2.063975179511608,7.89198287124981,11.948013901161021,1.606114725025684,0.2849202467016793,17.210397342645557,25.902311873381024,32.30825207102785
6,Almeria_class.shp,0.7438102600627993,3.990153249312799,13.395866817855758,5.789329208416482,0.6924081385404137,0.514804350039294,15.721599234521316,21.244799908546128,37.907228832705016
7,Avila_class.shp,0.1912920271388884,0.6765575093920556,29.413820848960782,8.42072312482829,0.1320253399596844,0.4487970999843707,8.21464782184906,15.11251542336497,37.3896208045219
8,Badajoz_class.shp,0.8914674045132367,1.2929280971388033,8.1465689262522,6.061086499846439,0.1737632194520281,0.2857018614773293,7.408653242455816,45.585461876912596,30.154368871951547
9,Badalona_class.shp,0.9574121450180294,6.53766956852053,12.455944638641993,18.305341705163123,0.1972615495283824,0.3579468151733719,23.74999732134831,14.265506376262476,23.172919880343784
10,Barcelona_class.shp,1.1992910817245603,3.190351741791823,12.5451198985788,9.954879753618236,1.434694946891338,1.8657062894260743,30.90603707261141,7.481227798867433,31.422691416490323
11,Burgos_class.shp,0.4730109676819888,4.936000633214147,8.608649567590447,31.26293529170868,0.1837559923050715,0.0816777421786008,8.870301224099304,5.345958613949295,40.23770996727247
12,Caceres_class.shp,0.2773547907305701,3.581263733396704,12.903680748931025,17.529840951432625,0.8958053194232438,0.2582878008318165,10.24354965320641,18.138039795223072,36.172177206824536
13,Cadiz_class.shp,0.7417487049756982,7.077994215987443,12.336575885827697,16.119387972475856,1.1376669404797877,0.9084080799539764,31.24182496104399,1.358482434731552,29.07791080452401
14,Cartagena_class.shp,0.7655042886608042,2.2966567504249524,7.453808160763814,10.887998869972698,0.6297369841722179,0.0721683253939268,8.321817781782059,21.741481917672118,47.83082692115741
15,Castello_de_la_Plana_class.shp,0.8018250333883653,6.649413545681021,8.011931564849842,13.010247674649259,0.45777114684371556,0.0862964783925627,13.30345811101223,12.510076970119375,45.16897947506363
16,Ceuta_class.shp,0.5320409765743023,12.086236764121516,7.297850660419583,11.349589948567179,1.239114569400545,0.3618218005556233,11.130647676086639,16.5453697042418,39.457327900032816
17,Ciudad_Real_class.shp,0.3986147933428899,2.123328033019597,20.114083121849543,7.354978443615783,0.47039065644764366,0.9010908356172984,16.887128067715015,16.539667639503364,35.210718408888866
18,Cordoba_class.shp,0.4192064890511405,2.787730855504856,6.94512095349813,15.40755591678176,0.764719908660019,0.2307419303432304,9.340213855079238,40.9971182492001,23.10759184188153
19,Corunia_class.shp,0.6073016306465183,3.928642147755404,13.911081323385194,12.932052088942573,0.5101227491002834,0.4724603158150255,14.935917185946316,10.978752485000637,41.72367007340805
20,Cuenca_class.shp,0.7776035107274636,5.257076884272714,7.97433911664952,13.971098731842448,0.2960637797179734,0.469426750488203,12.974107258167269,10.101857381463976,48.17842658667043
21,Elche_class.shp,1.6327307131921622,1.1295430991849802,8.518924607591515,14.051901685307762,0.6271973511586342,0.1121228773194756,11.325716580852701,34.0727339108438,28.529129174548967
22,Fuenlabrada_class.shp,1.5763750653075737,3.103558961003816,16.3399474916676,35.480870878917,0.8668881883671602,0.1545103429612517,11.430218727097643,4.5800913009566715,26.46753904372128
23,Getafe.shp,0.92257324437686,5.944772847906907,9.696236696627818,28.32279431840057,0.2725724714776585,0.1775133253041284,10.035487256780923,10.909449863271396,33.718599975853735
24,Gijon_class.shp,0.3904054569552938,1.4723475986349384,9.243708487934356,25.004002182807433,0.3524041022729772,0.2889261128544352,12.199874657868351,16.58795364334705,34.46037775732517
25,Girona_class.shp,1.5526649614457937,2.7772993370144854,18.483564312935286,12.66662931929072,0.7171856038160203,0.4205639291388054,17.504111980887423,24.717247308176283,21.160733247295184
26,Granada_class.shp,0.7867393846388349,5.630499208796464,20.623033050691618,10.425341619156177,0.9367025876639588,0.6568433471860062,21.870214651978284,14.141844149388566,24.92878200050009
27,Guadalajara_class.shp,0.7886345383434636,2.7740057800838973,8.85242184429076,17.700050713209674,1.1901175093636136,0.3208713710693019,10.134305144166047,11.73727027153631,46.502322827936936
28,Hospitalet_de_Llobregat_class.shp,0.8500005695527805,2.077969765458165,17.53902274123743,31.956601418253435,0.3355134920353068,0.6848838681880649,27.30884971110273,3.58666817653992,15.660490257632176
29,Huelva_class.shp,0.7965311547466559,4.439009299105879,15.048450141189155,11.107343292590553,0.41932866736890384,0.2169739911112149,11.292387035419754,5.261328978952282,51.41864743951561
30,Huesca_class.shp,0.8664414937077272,4.857762121629658,8.669808572768455,25.681516841438594,0.18616352657355162,0.4493940998158005,12.861977920238253,5.089159668537669,41.337775755290295
31,Jaen_class.shp,0.7688569273710472,5.593794876220331,14.369028858454756,14.759539871875464,0.33935141471747143,0.343296146328121,13.46439653312952,15.02862629902929,35.333109072873995
32,Jerez_de_la_Frontera_class.shp,0.6878015522601364,10.139193350429627,8.911810260737372,16.86987104063409,0.5967195578474922,0.3939679706960382,8.690903760145558,26.65639859782449,27.05333390942519
33,Las_Palmas_Gran_Canaria_class.shp,1.392163919120519,4.040699020032293,10.426898299797932,7.142133740435474,0.3449900206122687,0.5792303179759375,18.03322408498076,17.66596688422549,40.37469371281933
34,Leganes.shp,0.3166574844186018,11.374022185555628,9.641199424305668,14.803168581697383,0.28815273622871324,0.2735473046268537,8.673627776962466,3.744057174999829,50.88556733120486
35,Leon_class.shp,1.5361122822951825,2.3272608072429715,16.915242826287187,19.94840041583203,0.4304793877404258,0.838517140276838,18.35222808230933,8.800635777701926,30.851123280314116
36,Lleida_class.shp,0.3929968873504123,5.096824776928503,11.70938946010275,23.170391137258207,0.1915909095020975,0.4086014890990064,15.226201463873181,9.82547787558241,33.97852600030343
37,Logronio_class.shp,0.8962966637210085,9.454445426946336,12.137700888306714,27.36567350227501,0.1957213967020265,0.1388403564976243,24.91349842136178,3.5993653487316717,21.29845799545783
38,Lugo_class.shp,1.2371212369425235,5.381070762489926,9.198416959941742,12.087039944891274,0.42490474708934023,0.4075749587808276,19.463861479391678,9.84733629871284,41.95267361175985
39,Madrid_class.shp,0.5301164324090116,5.122789435538696,13.8912472923552,5.699963034050138,0.6352233748975652,2.1411560207120126,33.118518674532154,9.289536165050261,29.57144957045496
40,Malaga_class.shp,4.365901538266243,0.1192349018238859,17.19385418886264,6.420096748015396,0.8158296799698966,4.041745816577732,14.193033598853894,26.80155776092269,26.048745766707626
41,Marbella_class.shp,0.3703671487784536,0.5861469400316968,11.650248832384978,3.0617352037767973,1.5853522011381695,0.1160386792842213,12.4789129674774,29.681471514585816,40.46972651254247
42,Mataro_clas.shp,0.739247223254962,2.86104095603828,12.30552660356644,13.640362737837478,4.347383291999119,0.3326786236551203,18.93511209242346,18.064559494370666,28.77408897685448
43,Melilla_class.shp,0.7015140660667109,19.48215100470922,9.877232027648343,9.687896348995636,0.3752132499533757,0.1540492200505537,12.96687029929661,15.745536976974165,31.009536806305388
44,Mostoles_class.shp,0.4971577444060485,6.841905741581276,17.91683136214161,19.925811411877604,0.3663254285965384,0.7923161903705832,15.214491437927789,12.79510051641142,25.65006016668713
45,Murcia_class.shp,0.4963207832205502,2.228160849262371,4.969976419257126,8.510886071300156,0.2088132425277728,0.3229697481762054,9.34100721647396,18.67673977391695,55.24512589586491
46,Ourense_class.shp,0.1433505985558059,1.3527350443876045,5.467570613286284,7.178284684513545,0.09799291211784131,0.1711375665703798,9.446994717347607,31.162376876113978,44.97955698710696
47,Oviedo_class.shp,0.3200530062266366,1.1331675966896062,14.454596567792802,13.10983755073364,0.2643686839809877,0.3249216862843816,23.861761129564645,9.657229488225191,36.87406429050211
