Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
08135,Mataró,Barcelona,Cataluña,129661.0,64476.0,65185.0,,39389.0,29248.0,68637.0,,4410.0,13768.0,53167.0,4805.0,4670.0,82443.0,2918.0,4853.0,2188.0,4395.0,1271.0,328.0,159.0,10924.0,8717.0,4375.0,2461.0,48074.0,33035.0,18394.0,9808.0,3517.0,2279.0,1247.0,616.0,4173.0,2192.0,784.0,412.0,,11.3333426268426,16.748425483503983,9.917676675210545,10.89119981694887,11.7130707989764,13.960481667864846,,0.0,3.0,23.0,0.0,0.0,23.0,0.0,7.0,90.0,0.0,1.0,108.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,59.0,288.0,0.0,14.0,340.0,,2390.0,9317.0,69.0,12.0,4.0,28.0,12.0,34.0,54.0,,1816.0,195.0,144.0,22.0,,0.0
08201,Sabadell,Barcelona,Cataluña,216520.0,105388.0,111132.0,,67315.0,54174.0,121489.0,,4201.0,16361.0,98432.0,8555.0,8326.0,139550.0,3578.0,8895.0,4341.0,4187.0,1163.0,312.0,150.0,12664.0,9932.0,5032.0,2962.0,89876.0,62125.0,35133.0,19364.0,6379.0,4136.0,2237.0,1128.0,7315.0,3973.0,1411.0,697.0,,11.187536237755324,17.04053498925245,10.006431617182566,10.781783123414483,11.624759366671892,13.832851674641148,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,26.0,1.0,14.0,17.0,,1712.0,5930.0,326.0,42.0,15.0,111.0,61.0,,83.0,,373.0,523.0,84.0,94.0,,0.0
08259,Santa Coloma de Gramenet,Barcelona,Cataluña,120443.0,59527.0,60916.0,,33268.0,17805.0,51073.0,,2887.0,9735.0,37861.0,2847.0,2891.0,57124.0,1898.0,3501.0,1368.0,2882.0,1047.0,296.0,158.0,8464.0,7050.0,3810.0,2208.0,33011.0,22623.0,11977.0,6788.0,1977.0,1300.0,672.0,311.0,2431.0,1432.0,470.0,249.0,,11.211595359835089,15.939913254684248,9.14601134215501,11.083015358516858,11.766160849772382,13.509321266968326,,0.0,1.0,20.0,0.0,0.0,6.0,0.0,1.0,48.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,18.0,0.0,3.0,51.0,170.0,0.0,5.0,191.0,,293.0,1195.0,,,,28.0,22.0,4.0,14.0,,127.0,51.0,29.0,18.0,,0.0
08293,Terrassa,Barcelona,Cataluña,223627.0,109948.0,113679.0,,71434.0,57933.0,129367.0,,5090.0,18688.0,102954.0,9206.0,9088.0,149620.0,3936.0,10339.0,5233.0,5074.0,1623.0,441.0,227.0,14302.0,11307.0,5786.0,3328.0,92845.0,63869.0,36006.0,19769.0,6870.0,4441.0,2510.0,1175.0,7969.0,4188.0,1384.0,669.0,,11.245964385341434,16.415778478517936,9.940595021675291,10.846623620011847,11.585622998544396,14.094393273936504,,0.0,2.0,27.0,0.0,6.0,23.0,0.0,12.0,56.0,2.0,4.0,99.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,0.0,6.0,49.0,271.0,2.0,31.0,285.0,,4018.0,10917.0,2321.0,314.0,62.0,60.0,45.0,32.0,277.0,505.0,241.0,53.0,86.0,22.0,,0.0
09075,Burgos,Burgos,Castilla y León,176418.0,83995.0,92423.0,,60545.0,45112.0,105657.0,,1979.0,7265.0,82114.0,6356.0,5583.0,107558.0,1554.0,3898.0,2599.0,1965.0,513.0,140.0,65.0,5813.0,4498.0,1904.0,1035.0,74756.0,47890.0,23275.0,11586.0,5083.0,3561.0,2066.0,1032.0,4900.0,2604.0,916.0,531.0,,11.96775885183376,17.048860050890585,10.73499741957681,11.906247123976671,10.774040920716113,13.805685714285714,,0.0,3.0,14.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,1.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,2.0,13.0,71.0,0.0,9.0,87.0,,3320.0,12044.0,658.0,120.0,25.0,62.0,53.0,,56.0,,1976.0,198.0,83.0,89.0,,0.0
10053,Cáceres,Cáceres,Extremadura,96255.0,46104.0,50151.0,,32650.0,27051.0,59701.0,,3433.0,7269.0,52643.0,4631.0,3969.0,73858.0,1667.0,3349.0,1850.0,3415.0,691.0,154.0,86.0,5748.0,4420.0,2000.0,1097.0,46647.0,30301.0,14533.0,7350.0,3434.0,2060.0,1012.0,532.0,3406.0,1773.0,529.0,254.0,,12.21535783847796,17.88614934114202,10.595692414752957,11.796442429309495,12.425241700640653,14.254063417498532,,0.0,0.0,12.0,0.0,0.0,7.0,1.0,3.0,27.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,18.0,102.0,2.0,7.0,113.0,,1397.0,5509.0,20.0,2.0,1.0,49.0,30.0,21.0,69.0,128.0,953.0,10.0,82.0,32.0,,0.0
11021,Algeciras,Cádiz,Andalucía,123078.0,60729.0,62349.0,,40050.0,29711.0,69761.0,,6532.0,10747.0,61127.0,3800.0,4694.0,90188.0,2324.0,7761.0,3012.0,6485.0,1970.0,549.0,284.0,9139.0,7691.0,4003.0,2320.0,55089.0,39476.0,21217.0,11901.0,2833.0,1701.0,984.0,495.0,4099.0,2080.0,633.0,337.0,,11.172879798004926,16.366055512721665,9.277252434620856,10.568808473560965,12.104962936816095,14.312417662844597,,0.0,2.0,3.0,0.0,0.0,18.0,0.0,1.0,33.0,0.0,1.0,45.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,35.0,110.0,1.0,6.0,143.0,,558.0,2109.0,4.0,1.0,,40.0,15.0,37.0,91.0,187.0,104.0,11.0,33.0,35.0,,0.0
11029,Cádiz,Cádiz,Andalucía,115439.0,54580.0,60859.0,,36660.0,24970.0,61630.0,,6878.0,12667.0,44606.0,2350.0,2810.0,70672.0,2855.0,5081.0,1481.0,6729.0,3237.0,1039.0,549.0,10854.0,9156.0,4880.0,2722.0,39179.0,28395.0,14287.0,7941.0,1452.0,988.0,620.0,310.0,2231.0,1232.0,350.0,180.0,,10.976357388316151,14.46645118145341,9.10760733370186,10.66768651573547,10.806170798898071,14.086324518153294,,0.0,1.0,12.0,1.0,5.0,65.0,0.0,8.0,82.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,15.0,1.0,5.0,32.0,248.0,2.0,24.0,280.0,,82.0,299.0,,,,6.0,2.0,,2.0,31.0,27.0,8.0,2.0,4.0,,1.0
11037,Jerez de la Frontera,Cádiz,Andalucía,213105.0,104086.0,109019.0,,73683.0,57222.0,130905.0,,15051.0,16979.0,105505.0,6441.0,8808.0,156740.0,3450.0,12039.0,4894.0,14740.0,5250.0,1517.0,931.0,13262.0,10761.0,5770.0,3722.0,95555.0,66643.0,33956.0,18377.0,4686.0,3068.0,1804.0,890.0,7611.0,4001.0,1304.0,707.0,,11.541075491656413,15.82449525101764,9.31805383803348,10.948530898435456,11.240083226632523,13.998331362501643,,0.0,2.0,25.0,0.0,4.0,63.0,0.0,6.0,76.0,0.0,3.0,228.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,22.0,0.0,7.0,53.0,366.0,0.0,24.0,485.0,,1359.0,4360.0,288.0,57.0,15.0,39.0,27.0,,154.0,490.0,156.0,36.0,49.0,48.0,,0.0
12060,Castelló de la Plana,Castellón/Castelló,Comunitat Valenciana,174264.0,84319.0,89945.0,,58941.0,47454.0,106395.0,,5110.0,13171.0,89790.0,7800.0,7867.0,128463.0,2716.0,8766.0,3987.0,5036.0,1276.0,324.0,170.0,9218.0,6875.0,3345.0,1842.0,81503.0,53519.0,28842.0,15601.0,6023.0,3756.0,2036.0,1140.0,6995.0,3382.0,1115.0,590.0,,11.793200120458451,17.064253375694996,10.764056194402256,11.374556764781664,11.878615307986053,14.426171551107934,,0.0,2.0,2.0,0.0,4.0,1.0,3.0,14.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,6.0,49.0,6.0,37.0,18.0,,472.0,1891.0,1.0,,,43.0,41.0,,46.0,95.0,174.0,8.0,28.0,36.0,,0.0
