Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
17027  Breda,"1,774","1,461",200,113,0,,,,,
41018  Brenes,"5,195","4,637",144,413,1,,,,,
38008  Breña Alta,"3,219","2,711",167,340,1,,,,,
38009  Breña Baja,"2,982","1,986",338,653,4,,,,,
19053  Brihuega,"3,247","1,065","1,783",392,6,,,,,
15013  Brión,"3,659","2,629",356,674,0,,,,,
09056  Briviesca,"5,247","3,037","1,304",903,3,,,,,
10032  Brozas,"1,584",815,514,253,2,,,,,
"08025  Bruc, El","1,068",729,28,311,0,,,,,
28026  Brunete,"4,088","3,402",303,381,2,,,,,
38010  Buenavista del Norte,"2,037","1,840",97,100,0,,,,,
36004  Bueu,"6,720","4,006","1,630","1,084",0,,,,,
14012  Bujalance,"3,990","2,714",484,789,3,,,,,
30012  Bullas,"6,348","4,440",776,"1,132",0,,,,,
07010  Bunyola,"3,237","2,360",676,201,0,,,,,
46077  Buñol,"5,329","3,753",605,970,1,,,,,
31057  Buñuel,"1,253",929,101,222,1,,,,,
27902  Burela,"5,636","3,703",577,"1,352",4,,,,,
"50062  Burgo de Ebro, El","1,368",963,218,187,0,,,,,
42043  Burgo de Osma-Ciudad de Osma,"4,437","2,008","1,249","1,176",4,,,,,
09059  Burgos,"92,140","71,076","6,893","14,107",65,,,,,
41019  Burguillos,"2,801","2,201",68,532,0,,,,,
45023  Burguillos de Toledo,"1,611",983,327,301,0,,,,,
06022  Burguillos del Cerro,"2,086","1,244",397,444,1,,,,,
46078  Burjassot,"18,290","15,037","1,043","2,207",3,,,,,
31060  Burlada/Burlata,"7,367","6,584",217,564,2,,,,,
03046  Busot,"1,876","1,267",420,189,0,,,,,
28028  Bustarviejo,"2,410",952,"1,127",330,1,,,,,
15014  Cabana de Bergantiños,"2,381","1,549",415,417,0,,,,,
15015  Cabanas,"2,396","1,244",882,269,1,,,,,
12033  Cabanes,"2,822","1,230",565,"1,025",2,,,,,
19058  Cabanillas del Campo,"4,157","3,261",410,485,1,,,,,
06023  Cabeza del Buey,"3,434","1,942",836,650,5,,,,,
"41020  Cabezas de San Juan, Las","7,767","5,571",564,"1,632",0,,,,,
39012  Cabezón de la Sal,"4,178","3,120",418,638,2,,,,,
47027  Cabezón de Pisuerga,"1,942","1,404",185,351,1,,,,,
10035  Cabezuela del Valle,"1,526",909,444,173,0,,,,,
14013  Cabra,"10,131","7,939",948,"1,233",11,,,,,
23017  Cabra del Santo Cristo,"1,271",759,415,97,0,,,,,
33008  Cabrales,"1,518",923,406,185,3,,,,,
08029  Cabrera de Mar,"2,264","1,606",441,217,0,,,,,
"28030  Cabrera, La","1,725",915,602,205,4,,,,,
37067  Cabrerizos,"1,747","1,388",223,135,1,,,,,
08030  Cabrils,"3,089","2,423",371,293,2,,,,,
24030  Cacabelos,"3,109","2,172",193,741,3,,,,,
10037  Cáceres,"50,311","37,048","5,989","7,256",18,,,,,
28031  Cadalso de los Vidrios,"2,863","1,123","1,606",133,1,,,,,
17032  Cadaqués,"3,481","1,131","2,131",213,6,,,,,
11012  Cádiz,"59,204","46,966","5,346","6,874",17,,,,,
31064  Cadreita,942,819,68,55,0,,,,,
50066  Cadrete,"2,229","1,315",522,392,0,,,,,
18036  Cájar,"2,335","1,598",204,531,2,,,,,
08031  Calaf,"1,793","1,431",62,300,0,,,,,
43037  Calafell,"26,991","10,092","13,635","3,254",10,,,,,
26036  Calahorra,"12,405","9,329",930,"2,140",6,,,,,
44050  Calamocha,"3,592","1,782","1,293",516,1,,,,,
06025  Calamonte,"2,704","2,430",155,118,1,,,,,
44051  Calanda,"2,320","1,428",367,522,3,,,,,
21017  Calañas,"2,809","1,667",830,311,1,,,,,
30013  Calasparra,"5,497","3,958",385,"1,153",1,,,,,
50067  Calatayud,"11,622","8,317","1,170","2,126",8,,,,,
50068  Calatorao,"1,625","1,202",307,114,2,,,,,
36005  Caldas de Reis,"4,055","3,401",206,447,1,,,,,
17033  Caldes de Malavella,"3,546","2,619",637,287,2,,,,,
08033  Caldes de Montbui,"7,443","6,507",563,367,6,,,,,
08032  Caldes d'Estrac,"1,943","1,226",485,229,3,,,,,
08035  Calella,"10,621","7,519","1,559","1,537",5,,,,,
45028  Calera y Chozas,"2,744","1,809",548,385,2,,,,,
12034  Càlig,"1,508",835,202,470,1,,,,,
08037  Calldetenes,944,917,4,22,1,,,,,
03049  Callosa de Segura,"8,449","6,445",405,"1,598",1,,,,,
03048  Callosa d'En Sarrià,"4,062","2,770",619,672,1,,,,,
17034  Calonge,"12,713","4,167","6,475","2,069",2,,,,,
03047  Calp,"24,957","10,004","11,806","3,144",3,,,,,
07011  Calvià,"36,346","18,855","12,958","4,517",16,,,,,
13027  Calzada de Calatrava,"3,036","1,631","1,059",341,5,,,,,
45031  Camarena,"2,926","1,393",422,"1,109",2,,,,,
39016  Camargo,"13,627","11,826",635,"1,159",7,,,,,
15016  Camariñas,"4,205","2,351",465,"1,389",0,,,,,
43903  Camarles,"1,712","1,245",151,316,0,,,,,
28032  Camarma de Esteruelas,"2,904","2,424",156,323,1,,,,,
41021  Camas,"12,727","10,224",830,"1,672",1,,,,,
36006  Cambados,"6,794","5,044",341,"1,408",1,,,,,
23018  Cambil,"1,750","1,039",580,129,2,,,,,
15017  Cambre,"12,831","9,185","1,609","2,036",1,,,,,
43038  Cambrils,"30,759","12,622","13,030","5,098",9,,,,,
"41022  Campana, La","2,464","1,924",84,455,1,,,,,
06028  Campanario,"3,482","2,072",730,678,2,,,,,
07012  Campanet,"1,517",997,263,257,0,,,,,
17036  Campdevànol,"1,763","1,393",197,172,1,,,,,
"03050  Campello, el","26,608","10,975","12,609","3,021",3,,,,,
23019  Campillo de Arenas,"1,018",794,87,136,1,,,,,
"21018  Campillo, El","1,297",847,188,260,2,,,,,
29032  Campillos,"4,055","3,222",149,683,1,,,,,
13028  Campo de Criptana,"7,021","5,241",487,"1,291",2,,,,,
36007  Campo Lameiro,936,710,144,82,0,,,,,
28033  Campo Real,"2,845","2,087",155,602,1,,,,,
24034  Camponaraya,"2,181","1,664",218,299,0,,,,,
39027  Campoo de Enmedio,"2,159","1,580",435,144,0,,,,,
07013  Campos,"6,770","4,082","1,540","1,147",1,,,,,
30014  Campos del Río,"1,144",818,77,248,1,,,,,
17039  Camprodon,"2,806","1,083","1,160",556,7,,,,,
46081  Canals,"6,770","5,068",840,861,1,,,,,
33010  Candamo,"1,055",916,94,42,3,,,,,
38011  Candelaria,"14,069","10,617","2,187","1,265",0,,,,,
05047  Candeleda,"5,104","2,141","2,432",529,2,,,,,
23020  Canena,"1,014",775,82,157,0,,,,,
08040  Canet de Mar,"7,725","5,613","1,307",800,5,,,,,
46082  Canet d'En Berenguer,"9,245","2,449","6,335",459,3,,,,,
36008  Cangas,"14,446","9,855","1,812","2,778",1,,,,,
33012  Cangas de Onís,"3,756","2,709",397,649,1,,,,,
33011  Cangas del Narcea,"7,100","4,848","1,445",803,4,,,,,
18039  Caniles,"2,458","1,820",299,338,1,,,,,
"43907  Canonja, La","2,318","2,283",6,29,0,,,,,
08041  Canovelles,"6,346","5,584",191,568,2,,,,,
08042  Cànoves i Samalús,"1,403","1,042",163,198,0,,,,,
40040  Cantalejo,"2,703","1,605",523,574,1,,,,,
41023  Cantillana,"4,965","3,733",442,789,1,,,,,
04031  Cantoria,"2,498","1,664",353,481,0,,,,,
08043  Canyelles,"2,394","1,528",781,85,0,,,,,
41901  Cañada Rosal,"1,456","1,224",48,184,0,,,,,
14014  Cañete de las Torres,"1,669","1,221",65,382,1,,,,,
"36009  Cañiza, A","3,731","2,007",976,747,1,,,,,
31065  Caparroso,"1,349","1,058",66,224,1,,,,,
07014  Capdepera,"7,507","4,780","1,123","1,602",2,,,,,
08044  Capellades,"2,585","2,123",130,331,1,,,,,
30015  Caravaca de la Cruz,"13,052","9,227","1,075","2,745",5,,,,,
37085  Carbajosa de la Sagrada,"2,999","2,328",204,467,0,,,,,
27009  Carballedo,"1,567",974,262,331,0,,,,,
"32019  Carballiño, O","10,383","5,675","2,436","2,267",4,,,,,
15019  Carballo,"16,583","11,407","1,498","3,674",3,,,,,
04032  Carboneras,"6,268","2,909","1,536","1,822",1,,,,,
40043  Carbonero el Mayor,"1,464",937,233,293,1,,,,,
14015  Carcabuey,"1,485","1,015",170,298,2,,,,,
46083  Carcaixent,"11,956","8,035",657,"3,261",3,,,,,
31067  Carcastillo,"1,232",878,184,168,2,,,,,
46084  Càrcer,"1,035",825,103,107,0,,,,,
08046  Cardedeu,"7,616","6,490",371,752,3,,,,,
08047  Cardona,"2,619","1,963",95,553,8,,,,,
50073  Cariñena,"1,719","1,328",175,215,1,,,,,
15901  Cariño,"3,372","1,845",442,"1,085",0,,,,,
46085  Carlet,"7,095","5,788",93,"1,212",2,,,,,
"14017  Carlota, La","7,088","5,138",986,963,1,,,,,
41024  Carmona,"14,792","9,876","3,177","1,731",8,,,,,
15020  Carnota,"3,396","1,657",572,"1,162",5,,,,,
"23024  Carolina, La","7,555","5,629",691,"1,232",3,,,,,
"45037  Carpio de Tajo, El","1,598",778,431,388,1,,,,,
"14018  Carpio, El","2,231","1,641",296,294,0,,,,,
24038  Carracedelo,"1,773","1,449",152,172,0,,,,,
15021  Carral,"3,621","2,365",582,668,6,,,,,
45038  Carranque,"2,503","1,660",465,378,0,,,,,
33014  Carreño,"6,223","4,429",474,"1,314",6,,,,,
13031  Carrión de Calatrava,"1,558","1,080",127,351,0,,,,,
41025  Carrión de los Céspedes,"1,275",944,69,261,1,,,,,
34047  Carrión de los Condes,"1,623",861,387,371,4,,,,,
24039  Carrizo,"1,774",962,438,372,2,,,,,
30016  Cartagena,"115,780","76,599","28,332","10,818",30,,,,,
29038  Cártama,"11,177","8,390","1,269","1,517",1,,,,,
21021  Cartaya,"11,967","7,127","3,293","1,547",0,,,,,
32020  Cartelle,"2,422","1,298",481,642,1,,,,,
39018  Cartes,"2,785","2,229",216,340,0,,,,,
29039  Casabermeja,"1,717","1,352",160,205,0,,,,,
10049  Casar de Cáceres,"2,828","1,736",469,621,2,,,,,
"45040  Casar de Escalona, El","3,156",790,"1,846",520,0,,,,,
"19071  Casar, El","6,300","4,105","1,641",550,3,,,,,
29040  Casarabonela,"1,579","1,065",244,269,1,,,,,
29041  Casares,"3,694","2,022","1,177",495,0,,,,,
41026  Casariche,"2,740","2,036",188,516,0,,,,,
45041  Casarrubios del Monte,"4,857","2,195","1,715",944,3,,,,,
28036  Casarrubuelos,"1,240","1,076",46,118,0,,,,,
02024  Casas-Ibáñez,"2,612","1,892",141,575,3,,,,,
16066  Casasimarro,"1,988","1,175",623,189,1,,,,,
31068  Cascante,"2,254","1,581",98,574,1,,,,,
46089  Casinos,"1,163","1,093",20,50,0,,,,,
50074  Caspe,"5,194","3,525",709,955,4,,,,,
17044  Cassà de la Selva,"4,653","3,828",234,580,10,,,,,
03053  Castalla,"6,896","4,243","1,566","1,086",2,,,,,
39019  Castañeda,"1,587","1,083",47,457,0,,,,,
31070  Castejón,"2,073","1,516",268,287,2,,,,,
"07064  Castell, Es","4,382","3,285",664,433,0,,,,,
23025  Castellar,"1,898","1,421",62,415,0,,,,,
11013  Castellar de la Frontera,"1,320","1,123",80,117,0,,,,,
13033  Castellar de Santiago,"1,546",775,605,166,0,,,,,
08051  Castellar del Vallès,"9,961","8,261",505,"1,190",5,,,,,
08053  Castellbell i el Vilar,"2,102","1,339",491,271,1,,,,,
08054  Castellbisbal,"5,247","4,254",823,170,0,,,,,
08056  Castelldefels,"32,250","23,397","4,523","4,294",35,,,,,
08058  Castellet i la Gornal,"1,310",857,366,87,0,,,,,
46090  Castelló de Rugat,"1,220",910,146,164,0,,,,,
17047  Castelló d'Empúries,"16,414","4,523","11,045",844,2,,,,,
12040  Castellón de la Plana/Castelló de la Plana,"90,990","68,917","8,363","13,696",14,,,,,
17048  Castell-Platja d'Aro,"15,241","4,542","10,038",659,2,,,,,
08064  Castellterçol,"1,618",937,557,121,3,,,,,
43042  Castellvell del Camp,"1,319",954,253,112,0,,,,,
41027  Castilblanco de los Arroyos,"3,350","1,820",947,582,1,,,,,
41028  Castilleja de Guzmán,"1,071",852,115,104,0,,,,,
41029  Castilleja de la Cuesta,"6,972","5,899",262,810,1,,,,,
23026  Castillo de Locubín,"2,660","1,915",312,433,0,,,,,
18046  Castril,"1,533","1,008",426,99,0,,,,,
33016  Castrillón,"12,702","9,611","1,236","1,852",3,,,,,
27010  Castro de Rei,"2,413","1,950",216,246,1,,,,,
14019  Castro del Río,"3,684","2,803",406,473,2,,,,,
33017  Castropol,"1,897","1,322",411,161,3,,,,,
39020  Castro-Urdiales,"25,600","13,617","8,614","3,364",4,,,,,
27011  Castroverde,"1,608",979,346,283,0,,,,,
06036  Castuera,"3,927","2,378",833,714,2,,,,,
46093  Catadau,"1,416","1,063",205,148,0,,,,,
46094  Catarroja,"13,193","10,712",320,"2,159",2,,,,,
"43043  Catllar, El","2,433","1,531",796,106,0,,,,,
36010  Catoira,"1,491","1,206",107,178,0,,,,,
03055  Catral,"4,377","3,208",371,798,0,,,,,
02025  Caudete,"5,324","3,877",377,"1,068",2,,,,,
41032  Cazalla de la Sierra,"3,142","1,839",760,542,1,,,,,
23028  Cazorla,"4,862","3,154",873,831,4,,,,,
45046  Cebolla,"1,946","1,359",260,327,0,,,,,
05057  Cebreros,"3,151","1,409",989,752,1,,,,,
10061  Ceclavín,"1,552",809,600,143,0,,,,,
15022  Cedeira,"5,336","2,648",874,"1,812",2,,,,,
45047  Cedillo del Condado,"2,404","1,278",625,500,1,,,,,
15023  Cee,"5,192","2,799",822,"1,571",0,,,,,
30017  Cehegín,"7,979","5,552",808,"1,618",1,,,,,
32024  Celanova,"4,708","2,394",854,"1,459",1,,,,,
44076  Cella,"1,764","1,125",404,235,0,,,,,
"17189  Cellera de Ter, La",956,779,69,106,2,,,,,
17049  Celrà,"2,037","1,791",28,217,1,,,,,
18047  Cenes de la Vega,"4,135","2,892",495,748,0,,,,,
26046  Cenicero,"1,667",927,354,385,1,,,,,
28037  Cenicientos,"1,987",824,596,566,1,,,,,
08067  Centelles,"3,251","2,960",50,239,2,,,,,
15024  Cerceda,"2,877","1,837",504,536,0,,,,,
28038  Cercedilla,"5,045","2,713","1,824",501,7,,,,,
08266  Cerdanyola del Vallès,"25,321","21,316",435,"3,549",21,,,,,
"21023  Cerro de Andévalo, El","1,580",926,396,257,1,,,,,
08068  Cervelló,"3,988","3,117",553,314,5,,,,,
25072  Cervera,"4,592","3,560",158,872,2,,,,,
34056  Cervera de Pisuerga,"1,934",961,624,348,1,,,,,
26047  Cervera del Río Alhama,"2,401","1,058",700,641,2,,,,,
27013  Cervo,"2,881","1,822",407,651,1,,,,,
15026  Cesuras,"1,402",558,459,385,0,,,,,
51001  Ceuta,"26,664","24,904",413,"1,335",13,,,,,
30018  Ceutí,"5,142","3,781",599,760,2,,,,,
27016  Chantada,"5,968","3,272","1,467","1,226",3,,,,,
28051  Chapinería,"1,398",782,310,305,1,,,,,
18059  Chauchina,"2,626","1,874",234,517,1,,,,,
46107  Chella,"2,010","1,045",524,441,0,,,,,
46109  Cheste,"5,046","3,490",623,932,1,,,,,
11015  Chiclana de la Frontera,"43,253","28,123","10,528","4,596",6,,,,,
12053  Chilches/Xilxes,"3,740","1,172",882,"1,685",1,,,,,
13038  Chillón,"1,450",812,466,169,2,,,,,
19105  Chiloeches,"1,757","1,210",293,254,0,,,,,
02029  Chinchilla de Monte-Aragón,"2,697","1,539",350,807,1,,,,,
28052  Chinchón,"3,048","1,969",578,498,3,,,,,
11016  Chipiona,"16,440","6,357","7,935","2,147",1,,,,,
46111  Chiva,"12,074","5,775","4,182","2,113",4,,,,,
24065  Chozas de Abajo,"1,853",952,540,356,4,,,,,
45056  Chozas de Canales,"1,907","1,419",305,183,0,,,,,
21030  Chucena,990,696,81,212,1,,,,,
18062  Churriana de la Vega,"6,843","4,956",574,"1,311",2,,,,,
28040  Ciempozuelos,"9,776","8,043",382,"1,342",10,,,,,
30019  Cieza,"14,652","11,947",606,"2,096",3,,,,,
19086  Cifuentes,"2,299",823,"1,353",120,3,,,,,
47050  Cigales,"2,667","1,852",139,675,1,,,,,
18048  Cijuela,"1,770","1,062",106,602,0,,,,,
31072  Cintruénigo,"3,695","2,983",425,285,2,,,,,
47052  Cistérniga,"3,906","3,271",278,356,1,,,,,
24056  Cistierna,"2,560","1,528",540,491,1,,,,,
13034  Ciudad Real,"38,018","29,682","3,070","5,253",13,,,,,
37107  Ciudad Rodrigo,"9,074","5,366","2,289","1,407",12,,,,,
07015  Ciutadella de Menorca,"16,170","11,311","2,844","2,005",10,,,,,
31076  Cizur,"1,262","1,079",80,101,2,,,,,
33018  Coaña,"1,688","1,149",245,294,0,,,,,
45051  Cobeja,"1,181",828,13,340,0,,,,,
28041  Cobeña,"2,767","2,217",87,460,3,,,,,
45052  Cobisa,"2,065","1,363",499,203,0,,,,,
03056  Cocentaina,"6,174","4,555",701,916,2,,,,,
"06037  Codosera, La","1,291",961,49,281,0,,,,,
18050  Cogollos de la Vega,"1,194",738,123,332,1,,,,,
29042  Coín,"10,466","7,461","1,373","1,630",2,,,,,
32026  Coles,"2,516","1,127",743,645,1,,,,,
39023  Colindres,"4,359","2,986",346,"1,027",0,,,,,
28046  Collado Mediano,"4,256","2,391","1,138",726,1,,,,,
28047  Collado Villalba,"27,746","22,055","2,927","2,759",5,,,,,
08069  Collbató,"2,197","1,469",593,133,2,,,,,
29043  Colmenar,"1,655","1,321",160,173,1,,,,,
28043  Colmenar de Oreja,"4,929","2,979","1,250",696,4,,,,,
28045  Colmenar Viejo,"18,940","15,873","1,175","1,879",13,,,,,
28044  Colmenarejo,"3,751","3,054",424,271,1,,,,,
33019  Colunga,"3,163","1,576","1,093",493,1,,,,,
39024  Comillas,"2,337","1,001","1,151",179,6,,,,,
29045  Cómpeta,"3,419","1,491",740,"1,188",0,,,,,
11014  Conil de la Frontera,"14,535","7,426","4,466","2,641",2,,,,,
07016  Consell,"1,923","1,429",304,189,1,,,,,
43047  Constantí,"2,673","2,502",17,154,0,,,,,
41033  Constantina,"3,802","2,283",777,739,3,,,,,
45053  Consuegra,"5,505","3,747",607,"1,148",3,,,,,
46098  Corbera,"2,184","1,378",548,258,0,,,,,
08072  Corbera de Llobregat,"6,731","5,067","1,215",440,9,,,,,
14021  Córdoba,"152,772","121,823","13,280","17,615",54,,,,,
31077  Corella,"4,153","3,266",261,624,2,,,,,
"27014  Corgo, O","2,102","1,325",571,206,0,,,,,
10067  Coria,"7,459","5,322","1,024","1,107",6,,,,,
41034  Coria del Río,"13,262","10,713",503,"2,043",3,,,,,
15029  Coristanco,"3,175","2,413",408,354,0,,,,,
08073  Cornellà de Llobregat,"36,675","33,424",550,"2,688",14,,,,,
17056  Cornellà del Terri,933,747,69,116,1,,,,,
"06039  Coronada, La","1,410",891,321,198,0,,,,,
"41036  Coronil, El","2,364","1,836",269,258,1,,,,,
45054  Corral de Almaguer,"3,549","2,218",566,762,3,,,,,
"39025  Corrales de Buelna, Los","5,579","4,505",447,625,2,,,,,
"41037  Corrales, Los","1,850","1,478",75,297,0,,,,,
21025  Cortegana,"2,855","1,735",647,473,0,,,,,
31078  Cortes,"1,486","1,364",8,109,5,,,,,
18053  Cortes de Baza,"1,211",894,124,193,0,,,,,
29046  Cortes de la Frontera,"2,324","1,353",252,719,0,,,,,
"15030  Coruña, A","135,450","105,584","10,544","19,283",40,,,,,
33020  Corvera de Asturias,"8,330","6,674",743,912,1,,,,,
39026  Corvera de Toranzo,"1,442",874,312,255,1,,,,,
28049  Coslada,"31,570","30,490",220,857,3,,,,,
27015  Cospeito,"3,075","1,706",535,834,0,,,,,
36012  Cotobade,"2,561","1,533",790,238,0,,,,,
36013  Covelo,"1,835","1,169",536,129,1,,,,,
03058  Cox,"3,013","2,384",90,539,0,,,,,
36014  Crecente,"1,498",868,511,117,2,,,,,
43050  Creixell,"4,026","1,409","2,249",366,2,,,,,
03059  Crevillent,"14,692","10,355","2,310","2,026",1,,,,,
50089  Cuarte de Huerva,"5,453","4,079",245,"1,127",2,,,,,
28050  Cubas de la Sagra,"2,223","1,713",240,267,3,,,,,
08074  Cubelles,"10,601","5,803","3,076","1,721",1,,,,,
33021  Cudillero,"4,356","2,336","1,422",597,1,,,,,
40063  Cuéllar,"5,824","3,730",967,"1,124",3,,,,,
16078  Cuenca,"30,958","21,473","4,594","4,866",25,,,,,
"41903  Cuervo de Sevilla, El","3,356","2,985",6,364,1,,,,,
29049  Cuevas de San Marcos,"2,201","1,567",286,348,0,,,,,
04035  Cuevas del Almanzora,"9,227","4,868","2,928","1,429",2,,,,,
18056  Cúllar,"2,770","1,769",508,492,1,,,,,
18057  Cúllar Vega,"3,057","2,504",214,338,1,,,,,
46105  Cullera,"28,989","9,165","16,809","3,012",3,,,,,
15031  Culleredo,"15,549","11,443","1,000","3,104",2,,,,,
43051  Cunit,"13,016","5,010","7,587",416,3,,,,,
36015  Cuntis,"2,551","1,760",262,528,1,,,,,
15032  Curtis,"2,872","1,546",717,608,1,,,,,
28053  Daganzo de Arriba,"3,691","3,215",142,334,0,,,,,
13039  Daimiel,"9,698","6,777","1,068","1,845",8,,,,,
46113  Daimús,"5,936","1,217","4,540",178,1,,,,,
04038  Dalías,"2,036","1,442",93,500,1,,,,,
50094  Daroca,"1,840",900,730,205,5,,,,,
20029  Deba,"2,913","2,173",459,281,0,,,,,
18066  Deifontes,"1,284","1,032",173,79,0,,,,,
43901  Deltebre,"6,260","4,270",440,"1,549",1,,,,,
03063  Dénia,"43,348","17,248","12,507","13,587",6,,,,,
48901  Derio,"2,566","2,154",113,297,2,,,,,
15033  Dodro,"1,026","1,014",5,7,0,,,,,
03064  Dolores,"3,706","2,592",441,673,0,,,,,
06044  Don Benito,"18,995","13,887","1,300","3,804",4,,,,,
20069  Donostia-San Sebastián,"88,389","79,286","3,510","5,531",63,,,,,
14022  Doña Mencía,"2,254","1,790",193,271,0,,,,,
41038  Dos Hermanas,"50,661","44,299","1,094","5,258",10,,,,,
14023  Dos Torres,"1,652",962,531,158,1,,,,,
45059  Dosbarrios,"1,331",861,253,216,1,,,,,
08075  Dosrius,"2,256","1,954",196,105,1,,,,,
34069  Dueñas,"1,594","1,156",174,263,1,,,,,
15034  Dumbría,"1,068","1,038",10,20,0,,,,,
48027  Durango,"12,345","11,015",555,772,3,,,,,
18071  Dúrcal,"3,612","2,598",532,480,2,,,,,
41039  Écija,"19,224","14,524","1,410","3,284",6,,,,,
31086  Egüés,"7,519","6,591",204,720,3,,,,,
20030  Eibar,"13,111","11,464",90,"1,554",3,,,,,
07026  Eivissa,"22,893","19,523","1,434","1,932",4,,,,,
50095  Ejea de los Caballeros,"9,154","6,362",979,"1,809",4,,,,,
"04902  Ejido, El","39,406","26,239","6,954","6,210",3,,,,,
02030  Elche de la Sierra,"2,981","1,530","1,112",339,0,,,,,
03065  Elche/Elx,"113,351","86,118","13,660","13,558",15,,,,,
03066  Elda,"27,920","20,804","2,189","4,923",4,,,,,
20032  Elgoibar,"5,244","4,489",211,542,2,,,,,
"46116  Eliana, l'","8,627","5,893","1,553","1,174",7,,,,,
48032  Elorrio,"3,104","2,840",89,170,4,,,,,
14024  Encinas Reales,"1,289",908,223,158,0,,,,,
46118  Enguera,"2,611","1,934",380,295,2,,,,,
39028  Entrambasaguas,"2,408","1,905",158,345,0,,,,,
50099  Épila,"2,618","1,720",594,301,3,,,,,
48902  Erandio,"10,567","9,623",131,807,6,,,,,
48034  Ermua,"7,339","6,442",219,677,1,,,,,
20067  Errenteria,"17,539","16,443",249,842,4,,,,,
21032  Escacena del Campo,938,715,82,139,1,,,,,
"17062  Escala, L'","15,011","4,072","9,929",993,17,,,,,
45061  Escalona,"4,553","1,307","2,755",489,2,,,,,
"28054  Escorial, El","9,841","5,593","3,615",628,5,,,,,
20034  Eskoriatza,"1,932","1,545",155,231,1,,,,,
08076  Esparreguera,"10,490","8,495",834,"1,160",1,,,,,
41040  Espartinas,"5,514","4,555",573,384,2,,,,,
14025  Espejo,"2,004","1,322",243,439,0,,,,,
11017  Espera,"1,906","1,500",111,295,0,,,,,
14026  Espiel,"1,690",875,593,221,1,,,,,
"40076  Espinar, El","9,040","3,602","4,746",690,2,,,,,
"43054  Espluga de Francolí, L'","2,330","1,493",308,526,4,,,,,
08077  Esplugues de Llobregat,"19,468","17,529",625,"1,299",15,,,,,
07020  Esporles,"2,263","1,832",270,161,0,,,,,
45064  Esquivias,"2,525","1,899",138,486,2,,,,,
31097  Estella-Lizarra,"7,427","5,621",526,"1,273",8,,,,,
41041  Estepa,"5,987","4,509",612,864,2,,,,,
29051  Estepona,"50,087","24,280","18,253","7,549",5,,,,,
31098  Esteribar,"1,348",889,255,203,1,,,,,
"36017  Estrada, A","11,264","7,800","1,413","2,050",1,,,,,
31084  Etxarri-Aranatz,"1,269","1,064",35,170,0,,,,,
48029  Etxebarri,"4,410","3,884",96,430,0,,,,,
26061  Ezcaray,"4,139",874,"1,230","2,034",1,,,,,
24070  Fabero,"2,361","2,027",186,146,2,,,,,
31104  Falces,"1,407","1,008",225,173,1,,,,,
43055  Falset,"1,797","1,074",459,263,1,,,,,
38012  Fasnia,"1,926","1,223",29,673,1,,,,,
46122  Faura,"2,009","1,471",128,410,0,,,,,
46123  Favara,"1,371",905,128,336,1,,,,,
07022  Felanitx,"10,842","6,985","1,884","1,970",3,,,,,
15035  Fene,"7,381","5,452",485,"1,443",1,,,,,
14027  Fernán-Núñez,"4,879","3,453",441,985,0,,,,,
07023  Ferreries,"2,220","1,717",230,272,1,,,,,
15036  Ferrol,"42,082","30,372","3,373","8,318",19,,,,,
17066  Figueres,"20,954","17,597",769,"2,575",13,,,,,
04044  Fines,"1,285",832,193,260,0,,,,,
03069  Finestrat,"5,637","2,888","1,888",861,0,,,,,
04045  Fiñana,"1,548",959,333,256,0,,,,,
35008  Firgas,"3,370","2,726",278,366,0,,,,,
15037  Fisterra,"3,767","1,744","1,245",777,1,,,,,
31105  Fitero,"1,229",828,167,233,1,,,,,
43060  Flix,"2,349","1,611",162,575,1,,,,,
46126  Foios,"3,556","2,722",34,800,0,,,,,
08083  Folgueroles,934,781,89,64,0,,,,,
"03077  Fondó de les Neus, el/Hondón de las Nieves","1,971","1,255",520,196,0,,,,,
"27018  Fonsagrada, A","2,847","1,655",694,497,1,,,,,
"46128  Font de la Figuera, la","1,720",879,78,763,0,,,,,
"46127  Font d'En Carròs, la","2,371","1,569",121,681,0,,,,,
19117  Fontanar,"1,160",892,124,142,2,,,,,
36018  Forcarei,"2,600","1,408",731,460,1,,,,,
07024  Formentera,"7,283","3,936","1,333","2,005",9,,,,,
03070  Formentera del Segura,"3,496","1,631",477,"1,387",1,,,,,
17073  Fornells de la Selva,913,828,7,77,1,,,,,
30020  Fortuna,"4,821","3,493",801,527,0,,,,,
27019  Foz,"10,149","3,788","2,912","3,446",3,,,,,
15038  Frades,"1,161",860,178,123,0,,,,,
22112  Fraga,"6,278","5,279",211,782,6,,,,,
"33023  Franco, El","1,793","1,652",103,36,2,,,,,
"08086  Franqueses del Vallès, Les","7,679","7,240",61,375,3,,,,,
06050  Fregenal de la Sierra,"3,231","1,969",520,740,2,,,,,
28057  Fresno de Torote,"1,129",808,303,18,0,,,,,
