Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
26008  Aldeanueva de Ebro,"1,376","1,031",77,268,0,,,,,
10014  Aldeanueva de la Vera,"2,260",912,"1,254",94,0,,,,,
01001  Alegría-Dulantzi,"1,251","1,082",72,95,2,,,,,
08003  Alella,"3,878","3,324",178,370,7,,,,,
18011  Alfacar,"3,037","2,001",378,658,0,,,,,
46022  Alfafar,"9,727","8,115",171,"1,441",0,,,,,
50017  Alfajarín,"1,244",831,229,183,1,,,,,
46025  Alfara del Patriarca,"2,058","1,250",86,722,0,,,,,
26011  Alfaro,"5,493","3,850",558,"1,083",2,,,,,
25013  Alfarràs,"1,440","1,205",80,154,1,,,,,
"03011  Alfàs del Pi, l'","12,417","8,530","2,398","1,478",11,,,,,
27002  Alfoz,"1,135",686,262,187,0,,,,,
39001  Alfoz de Lloredo,"1,964",980,731,251,2,,,,,
"41007  Algaba, La","6,486","5,505",221,759,1,,,,,
07004  Algaida,"2,827","1,993",334,500,0,,,,,
18012  Algarinejo,"1,856","1,396",298,161,1,,,,,
29005  Algarrobo,"5,367","2,528","1,816","1,023",0,,,,,
11004  Algeciras,"54,089","42,692","4,700","6,686",11,,,,,
46029  Algemesí,"14,090","10,848",344,"2,896",2,,,,,
28009  Algete,"7,951","6,570",521,860,0,,,,,
46031  Alginet,"7,591","5,436",723,"1,432",0,,,,,
11005  Algodonales,"3,361","2,250",338,772,1,,,,,
03012  Algorfa,"2,528","1,537",306,685,0,,,,,
25016  Alguaire,"1,464","1,106",92,266,0,,,,,
30007  Alguazas,"4,297","3,095",252,950,0,,,,,
04011  Alhama de Almería,"2,010","1,372",331,305,2,,,,,
18013  Alhama de Granada,"3,303","2,346",277,676,4,,,,,
30008  Alhama de Murcia,"13,917","7,356","4,027","2,532",2,,,,,
29007  Alhaurín de la Torre,"14,441","12,154","1,373",910,4,,,,,
29008  Alhaurín el Grande,"10,832","8,184","1,220","1,420",8,,,,,
18014  Alhendín,"4,639","2,861",334,"1,443",1,,,,,
03014  Alicante/Alacant,"186,558","132,637","28,707","25,172",42,,,,,
10018  Aliseda,"1,589",807,542,239,1,,,,,
21002  Aljaraque,"8,728","6,627",921,"1,180",0,,,,,
32001  Allariz,"6,073","2,354","2,300","1,414",6,,,,,
33002  Aller,"8,537","5,403",985,"2,148",1,,,,,
25019  Almacelles,"3,103","2,432",171,497,3,,,,,
13011  Almadén,"4,276","2,335","1,034",901,5,,,,,
13013  Almagro,"4,685","3,038",456,"1,186",5,,,,,
02009  Almansa,"11,754","9,651",514,"1,587",2,,,,,
29010  Almargen,"1,052",827,46,179,0,,,,,
46032  Almàssera,"3,488","2,823",156,509,0,,,,,
42020  Almazán,"3,940","2,187","1,061",690,2,,,,,
12009  Almazora/Almassora,"15,196","10,208","2,252","2,734",2,,,,,
14004  Almedinilla,"1,252",990,101,160,1,,,,,
25021  Almenar,"1,896","1,284",63,548,1,,,,,
12011  Almenara,"5,284","2,482","1,474","1,328",0,,,,,
06011  Almendralejo,"16,423","12,623",927,"2,868",5,,,,,
41010  Almensilla,"2,419","2,088",238,92,1,,,,,
04013  Almería,"99,692","69,178","12,276","18,220",18,,,,,
13015  Almodóvar del Campo,"4,043","2,596",822,623,1,,,,,
14005  Almodóvar del Río,"3,755","2,880",572,302,1,,,,,
29011  Almogía,"1,899","1,436",167,296,0,,,,,
46034  Almoines,"1,227",989,128,110,0,,,,,
21005  Almonte,"14,197","7,556","5,718",921,2,,,,,
03015  Almoradí,"9,740","7,147",605,"1,987",1,,,,,
45013  Almorox,"2,424",900,924,599,1,,,,,
22021  Almudévar,"1,479",933,295,249,2,,,,,
"50025  Almunia de Doña Godina, La","3,355","2,782",332,238,3,,,,,
18017  Almuñécar,"25,824","10,119","13,735","1,968",2,,,,,
46035  Almussafes,"4,429","3,314",31,"1,083",1,,,,,
48912  Alonsotegi,"1,443","1,227",26,190,0,,,,,
29012  Álora,"6,145","4,841",370,933,1,,,,,
21006  Alosno,"2,343","1,684",439,218,2,,,,,
19024  Alovera,"4,500","4,121",147,232,0,,,,,
29013  Alozaina,"1,435",894,308,233,0,,,,,
28010  Alpedrete,"7,252","4,910","1,941",398,3,,,,,
02010  Alpera,"1,697",900,489,307,1,,,,,
25023  Alpicat,"2,603","2,129",199,272,3,,,,,
12901  Alquerías del Niño Perdido,"2,167","1,726",116,324,1,,,,,
43012  Altafulla,"4,586","1,861","2,131",593,1,,,,,
03018  Altea,"16,437","9,085","3,883","3,462",7,,,,,
31010  Altsasu/Alsasua,"3,566","3,127",93,343,3,,,,,
12012  Altura,"2,869","1,463",826,580,0,,,,,
46017  Alzira,"22,052","17,271","1,695","3,081",6,,,,,
17007  Amer,"1,327",949,181,197,0,,,,,
15002  Ames,"16,138","11,377","1,017","3,744",0,,,,,
"43013  Ametlla de Mar, L'","7,974","2,979","3,729","1,266",0,,,,,
"08005  Ametlla del Vallès, L'","3,389","2,726",452,208,3,,,,,
32002  Amoeiro,"1,810",902,600,307,1,,,,,
48003  Amorebieta-Etxano,"8,148","7,210",274,659,5,,,,,
"43906  Ampolla, L'","3,632","1,422","1,103","1,106",1,,,,,
43014  Amposta,"10,883","8,170",328,"2,381",4,,,,,
39002  Ampuero,"3,152","1,741",871,539,1,,,,,
01002  Amurrio,"4,438","3,864",125,446,3,,,,,
20009  Andoain,"6,584","6,130",201,252,1,,,,,
44025  Andorra,"4,016","3,141",458,414,3,,,,,
31015  Andosilla,"1,444","1,063",163,216,1,,,,,
07005  Andratx,"9,324","4,880","2,509","1,935",0,,,,,
23005  Andújar,"18,347","14,432",825,"3,083",7,,,,,
17008  Anglès,"2,524","2,152",59,313,0,,,,,
46039  Anna,"1,599",992,333,272,2,,,,,
31016  Ansoáin/Antsoain,"4,539","4,325",82,132,0,,,,,
04016  Antas,"1,638","1,176",267,195,0,,,,,
27003  Antas de Ulla,"1,515",823,332,359,1,,,,,
29015  Antequera,"17,897","14,878",784,"2,221",14,,,,,
35003  Antigua,"7,476","4,388",789,"2,297",2,,,,,
20011  Antzuola,"1,033",848,107,78,0,,,,,
45014  Añover de Tajo,"2,468","1,812",97,555,4,,,,,
31019  Aoiz/Agoitz,"1,487","1,046",104,336,1,,,,,
21007  Aracena,"4,811","2,901",770,"1,138",2,,,,,
