,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
22,0.005466165134642286,9.600050903440705e-06,3.061424943622384e-07,9.847246501255884e-06,6.947165401765034e-08,2.235839028965079e-05,9.601168866567581e-05,1.4036020179004756e-05,1.1080739822097553e-06,2.527138726144673e-06,1.909306571129813e-06,3.257405558221843e-06,1.881598255383705e-06,2.1820670112088556e-06,1.5664801377877224e-06,0.04912929271566646,2.746615001931422e-06,0.0015273854460141412,0.09847245312577395,2.791102395077706e-06,3.4104451623412862e-06,3.3209090556502873e-06,7.599727880647558e-07,7.402247660081701e-07,2.938237128731295e-06,6.451662571620133e-07,1.428359549356005e-06,2.7564683761803612e-05,0.027075454512582357,0.6459724673421136,0.3202442935875417,0.32572817375457186,0.452721410758557,0.3118932768755816,0.2369597552555455,0.037586454130271854,0.037305793931056055,4.127355870820481e-05,6.285897201207013e-06,4.348663699296896e-06,3.27972127440336e-05,5.40985172227274e-05,2.4146845817205042e-06,4.316383046437252e-07,4.360319239461699e-05,0.00013117725189544635
23,0.0034175925024588568,1.6613922104160204e-05,4.27892711935581e-07,1.5368555224106843e-05,1.1789810197268438e-07,3.1189074527657336e-05,0.0001456371687900207,2.1399234471192905e-05,2.8072215097729218e-06,3.2473594174369624e-06,2.3803607741741846e-06,4.026536181832732e-06,2.380454275385912e-06,2.7204108291957074e-06,1.9363546867508993e-06,0.02765904363212895,3.447434695494587e-06,0.0007700886613223438,0.15368554597302422,3.5581505192034635e-06,4.493889868125157e-06,4.33995916955897e-06,9.191757824145602e-07,8.090001879289981e-07,3.7250882752232966e-06,1.9463350753508484e-06,1.9191781678557746e-06,5.310973408958389e-05,0.03880300286690934,0.6736035073319058,0.3319189126090727,0.341684594722833,0.4240522362390703,0.2453229385180477,0.23082678769244463,0.0023340672853455506,0.012141305493206975,2.0778047050553866e-05,7.423914120562006e-06,1.4616215489171803e-05,7.695316458611181e-05,0.0001670972385433112,4.082563406527786e-06,7.276336361826645e-07,5.3830215329797414e-05,2.1569839098863136e-05
24,0.0048988948212589055,1.2052200259890284e-05,3.3201624259548735e-07,1.61819721169995e-05,6.93517446664263e-08,2.387471098001052e-05,0.00017695682134241512,1.6076056228108846e-05,2.2039145386313417e-06,2.9086881430272466e-06,2.7101697841817995e-06,4.91673304661357e-06,2.723376666376725e-06,3.0973389954538975e-06,2.36444703881322e-06,0.054205159050382465,3.6615465543909897e-06,0.0011121620784036205,0.16181971885557614,3.7615588383616853e-06,4.691558460450632e-06,4.562744519620906e-06,1.1727674652286577e-06,1.2054595499720906e-06,3.972365659221604e-06,2.1154780226150857e-06,2.0562142052107635e-06,2.4434432974786277e-05,0.050101657684114946,0.6802921960657285,0.33211175829425454,0.348180437771474,0.39582072937197277,0.2534913171666886,0.22963810823994288,0.006109331040378586,0.017677751633374476,6.245257227085746e-05,5.1134655484391665e-06,3.2949356094378376e-05,5.3742082998984775e-05,0.0001569813499373862,1.5107322014488417e-06,9.838880621032602e-07,5.562186141364254e-05,6.0465335939826065e-05
25,0.004848389878216803,7.898476369199795e-06,3.317412043498484e-07,1.812473830970688e-05,8.550446130998039e-08,2.022741628619157e-05,0.0001402420807338106,1.3969567009904106e-05,9.042016021774001e-07,1.8066545367591544e-06,1.7211875301767917e-06,3.111109062860383e-06,1.6575379024316684e-06,1.9670707942247686e-06,1.4961267537637123e-06,0.03421255275818221,2.332170115359023e-06,0.0006261990926430596,0.18124739065824197,2.4858843175015667e-06,2.8915073129975656e-06,2.779751769468615e-06,5.621767341760502e-07,5.289403452564012e-07,2.4806523602374862e-06,1.2391030491699816e-06,1.1709752405540818e-06,1.9868777905571346e-05,0.03240302123015793,0.636067889004105,0.2995465250420632,0.33652136396204185,0.393031184255064,0.3446115851274389,0.28680723581113415,0.018912296526401237,0.038744574799909254,0.00014747798999421684,1.3945117780993996e-06,5.258874523107688e-06,3.301646878119229e-05,8.93085473261251e-05,1.2586899100226164e-06,1.0319915731224484e-06,4.357507417466011e-05,5.9247889562265724e-05
26,0.004213768629540097,1.2270737562761342e-05,4.479870026515319e-07,6.913862897285551e-06,1.672031859452179e-07,4.271628538221097e-05,0.00014779785893027095,3.3124053342720123e-05,7.295953048884225e-06,4.251450339709615e-06,4.772698770935246e-06,9.107942876936627e-06,4.762420597930011e-06,5.4545111098861875e-06,4.379995692807644e-06,0.058309104515820845,6.188966540007482e-06,0.003778169850539864,0.06913860386634123,6.397214227441033e-06,7.657183096645377e-06,7.572695026748916e-06,1.8175814517259362e-06,1.678776523040656e-06,6.642495573217929e-06,3.4880263315102385e-06,3.371073368954904e-06,8.110558391200497e-05,0.09143730508275116,0.6407988331592478,0.3087729307706273,0.3320259023886205,0.4715747277932179,0.29437233011250996,0.2370860835857504,0.01533667069659162,0.04170161025706218,0.00024796557310576586,1.220830537348387e-05,2.183815023210888e-05,0.00014533627387632752,9.959822943527279e-05,5.639177575075205e-06,3.306764489432216e-06,0.0001376354206327316,0.00019435161116858
27,0.0036661782560785854,1.0835977284562592e-05,1.9169509008676538e-07,1.2481293818385085e-05,4.1782022690976785e-08,1.5261890449109943e-05,0.00011345420362651646,1.0441379215357665e-05,1.5054924052056095e-06,1.754540262341943e-06,2.0459506304457797e-06,3.9642306130687385e-06,2.072902622325588e-06,2.338227790998728e-06,1.9063917928512e-06,0.05023456239171,2.617702689742673e-06,0.0007715342099881894,0.12481292728327914,2.7257759482842107e-06,3.2693651329163238e-06,3.1605459075397928e-06,9.633741410932012e-07,9.006315009964287e-07,2.818021051376208e-06,1.345695277246161e-06,1.2963695336041256e-06,2.853051811546118e-05,0.03480565679751891,0.6137100671214776,0.2832283727129776,0.3304816944084999,0.4557463365240894,0.3678010493084432,0.25456380908522697,0.04210247323276965,0.07098242165090567,0.0001549719833260596,2.7527330489861813e-06,1.9700401244155568e-05,7.21573073334586e-05,3.647690263946345e-05,3.2773829630706085e-06,2.298201459040071e-06,7.652182629802918e-05,4.9479623519408195e-05
28,0.005765783602955538,2.2523678890648617e-05,7.671326472352158e-07,2.2133296943387542e-05,1.4270006217777113e-07,5.231785387851621e-05,0.0003212317565656732,3.408259611500907e-05,7.428093217623366e-06,4.958225351719227e-06,5.675625530994523e-06,1.0936818706873878e-05,5.779561047747599e-06,6.486432314062129e-06,5.259495672191448e-06,0.05499326602718187,7.288736945037721e-06,0.001906053130225014,0.22133295304418463,7.500054203703373e-06,9.373476344921805e-06,9.149069284111044e-06,2.3033734847907114e-06,2.376446628459347e-06,7.927978786406902e-06,4.155642681346479e-06,4.138082298368133e-06,9.554049763088119e-05,0.0988795898205609,0.6401052268656171,0.3079725333089558,0.3321326935566613,0.4220784385369895,0.2943047018908111,0.23807489222890413,0.01655797778333057,0.039496228048792936,0.0001682870035424671,1.0785924662691709e-05,3.79397458041047e-05,0.00012107355496040814,0.00024208095878744463,1.6276922280644526e-05,4.388336625904417e-06,0.00013860717745162702,0.00016053000354680847
29,0.0016309679829576336,7.096601082330471e-06,1.5555372074223084e-07,6.418335754161992e-06,4.567380461424914e-08,1.5126967647341122e-05,9.637474950502735e-05,1.1234667476302634e-05,3.2943527362316066e-06,2.1632341232186816e-06,1.8289787911977655e-06,3.1702606580232495e-06,1.7352702629949379e-06,2.090260735206424e-06,1.5245731460553627e-06,0.027172596537698723,2.581370755395601e-06,0.0006585452665162851,0.06418336891860597,2.703223718352783e-06,3.354658537035827e-06,3.269341507887751e-06,8.856659698771579e-07,9.373548051603626e-07,2.825911166392001e-06,1.5449221425278484e-06,1.5429214515858259e-06,3.636394954358085e-05,0.030388733142685285,0.6981219266111929,0.3376528784263451,0.3604690481848477,0.32872233310742194,0.2905277954085565,0.26442033355631267,0.003703351497603383,0.022300447611530518,0.00010107117453221269,2.611696223166166e-06,6.385227597405775e-06,5.3894068470457104e-05,9.819648729812478e-05,1.0309818829543602e-06,2.1044264589694552e-06,8.391286149618035e-05,1.1021108342463243e-05
30,0.0030750083247124476,2.8329612093129453e-05,3.094503146467056e-07,3.475023027994798e-05,7.890056830830867e-08,2.515563481867924e-05,0.00026009103935766155,1.8834272195740888e-05,4.6960559508431445e-06,2.8554392253997886e-06,3.3024503930262166e-06,6.381170026959463e-06,3.3334141182876968e-06,3.774226592835571e-06,3.068692961098849e-06,0.042218240659073994,4.2005768663968805e-06,0.0003759529104924613,0.3475023034792542,4.399508604585451e-06,5.371063462107345e-06,5.216295818882151e-06,1.512260184477552e-06,1.3524877020155276e-06,4.5800566930475625e-06,2.26280338062428e-06,2.1956331698141805e-06,4.241574062237053e-05,0.048051554981798014,0.6111044663056482,0.2933354120785394,0.3177690542271088,0.41846064158949725,0.28785048215090886,0.2347558506206233,0.01690514034240268,0.036142756695858154,4.673449202473724e-05,6.965393709905012e-06,3.8820393594665626e-05,0.0001316033356264724,9.713888489587602e-05,3.6671369048143392e-06,1.8973963419296608e-06,9.875592487362059e-05,4.6010552480661495e-05
31,0.004530113557221606,3.219434057112738e-05,1.1775756606080364e-06,1.695193963911341e-05,4.2882556801823405e-07,9.414883721578857e-05,0.00035887679674688743,7.294094819489691e-05,2.4038616122370526e-05,9.638454040299917e-06,8.444206042956796e-06,1.5009606575908198e-05,8.489766207372827e-06,9.650517858483317e-06,7.2180950983613885e-06,0.0448834705527451,1.1623477152569984e-05,0.0031178404206872526,0.16951941657527864,1.2202237079848245e-05,1.4943955604033931e-05,1.4364763992739437e-05,3.2320998994917506e-06,2.7064954418881197e-06,1.252388834048475e-05,6.441413883207699e-06,6.230658746200996e-06,0.00013893995072333077,0.15902305787208623,0.6295119670246724,0.29986871852005575,0.3296432485046166,0.42068190738766054,0.3302966080967543,0.24251308003882496,0.030509559525715737,0.05697062300729252,0.0003033455249210742,1.7232262183730954e-05,9.661322453224648e-05,0.0001724294476473517,0.0005107657520463082,3.7027954569496217e-06,8.9377633525717e-06,0.0002558115132252685,0.00010122079908432562
