,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index
59,8,1.451914,0.616999,0.802926,1.624175,0.815801,0.917630,0.781063,0.000000,Segovia.txt
60,9,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,0.000000,Sevilla.txt
61,8,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,0.000000,Soria.txt
62,8,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,0.000000,Terragona.txt
63,8,0.638085,0.713778,0.757116,1.415170,0.749488,0.865275,0.680553,0.000000,Terrasa.txt
64,8,1.538482,0.792970,0.728547,1.303966,0.708345,0.832625,0.627075,0.000000,Teruel.txt
65,8,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,0.000000,Toledo.txt
66,8,0.399254,2.307808,0.458070,0.612619,0.471648,0.523509,0.294608,0.000000,Torrejon.txt
67,8,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,0.000000,Valencia.txt
68,8,0.289363,0.708775,0.762939,1.439438,0.757313,0.871930,0.692223,0.000000,Valladolid.txt
69,8,0.299214,0.924350,0.691404,1.175722,0.674770,0.790176,0.565403,0.000000,Vigo.txt
70,8,1.449856,0.673657,0.774217,1.488181,0.758289,0.884820,0.715664,0.000000,Zamora.txt
71,8,0.190993,0.765839,0.742138,1.355330,0.731288,0.848158,0.651776,0.000000,Zaragoza.txt
