,COM,ED_SING,EQUIP_EDU,EQUIP_OTR,EQUIP_SANI,HOS_REST,IND,IND_MX,OCIO_ESP,OFI,RES_PLU,RES_PLU_MX,RES_UNI,RES_UNI_MX,SIN_EDIF
49,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
50,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
51,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
52,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
53,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
54,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
55,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
56,tipico,tipico,tipico,tipico,atipico,tipico,atipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico
57,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
58,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
59,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
60,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico
61,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
62,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
63,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
64,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
65,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
66,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
67,tipico,atipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
68,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
69,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
70,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico
71,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
72,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
73,tipico,tipico,tipico,tipico,tipico,tipico,atipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico,tipico
