variable,ciudades,COM,ED_SING,EQUIP_EDU,EQUIP_OTR,EQUIP_SANI,HOS_REST,IND,IND_MX,OCIO_ESP,OFI,RES_PLU,RES_PLU_MX,RES_UNI,RES_UNI_MX,SIN_EDIF
Albacete_class.shp,Albacete,0.3095440391172847,4.77509376770947,3.4276932812001784,4.188649933465797,0.7433909812888341,0.4086639920686706,13.464697745887657,6.489358535406072,0.0774899999380391,0.3849672346508034,6.551059362912091,5.1272087780519415,22.82046268081343,0.7881674104634985,30.443552257026237
Alcala_class.shp,Alcala,1.0569545367500437,7.641072149258671,5.264190108213342,6.815777672220364,1.005046449230529,0.4637108480466468,15.868682579881105,12.52389011433896,0.0950058747939116,1.287051681969084,6.621816622570351,2.8754979794288524,6.032543240844367,0.3137760913239507,32.13498405112982
Alcobendas_class.shp,Alcobendas,0.400439550459017,5.4487285028441255,2.9431004990335614,5.116550618623897,0.2190566466635179,0.2005179500698266,2.155552221100681,4.377017750070442,0.0185572167701086,2.4537603977363456,5.92340062441886,1.340271831000575,19.175420258917253,1.5886236927209374,48.63900223957086
Alcorcon_class.shp,Alcorcon,1.2122896383304982,4.340480725212581,7.349395964160363,11.821959064426151,1.8823746997014008,0.1829308757655997,7.639872744576951,8.18219783465247,0.0508324322969366,0.2178957477991493,10.475899867419503,4.596988875353927,5.14816766234603,0.1316324594204219,36.76708140853802
Algeciras.shp,Algeciras.shp,0.5808571787164025,1.03078279642424,2.1606615895593726,3.99014724279517,0.5976119921903559,0.3793879948522101,5.176627323672258,2.126967531980508,0.0552346094766511,0.1785524957200271,3.154988597930916,2.2428656320707274,25.815776877146785,2.793452542357332,49.716085595107046
Alicante_class.shp,Alicante,0.7840317892957702,2.063975179511608,3.1387920686092072,4.051965824008533,0.7012249786320696,0.4261733520530775,8.098097514356986,3.8499163868040345,1.1799413729726065,0.2849202467016793,7.717094538974418,9.493302803671137,24.11305808646765,1.789253786913375,32.30825207102785
Almeria_class.shp,Almeria,0.7438102600627993,3.990153249312799,4.059135221854465,6.725577050854639,2.611154545146654,0.6487814269713055,4.448190495814856,1.3411387126016256,0.0436267115691082,0.514804350039294,9.287867034692567,6.433732199828748,19.746062942274115,1.498736966272011,37.907228832705016
Avila_class.shp,Avila,0.1912920271388884,0.6765575093920556,27.870571529459014,1.0310444339853262,0.5122048855164417,0.1127447422522499,3.366757488820148,5.053965636008142,0.0192805977074345,0.4487970999843707,4.464816471419074,3.749831350429985,13.331932187510716,1.780583235854253,37.3896208045219
Badajoz_class.shp,Badajoz,0.8914674045132367,1.2929280971388033,3.224983775557385,4.030296684408155,0.8912884662866607,0.1602888869619104,4.501162686630795,1.5599238132156448,0.0134743324901177,0.2857018614773293,3.9919272161094623,3.4167260263463533,37.75960137789251,7.825860499020086,30.154368871951547
Badalona_class.shp,Badalona,0.9574121450180294,6.53766956852053,4.257736594588943,7.081881363137084,1.1163266809159658,0.1179960166475664,12.1913953587256,6.113946346437523,0.079265532880816,0.3579468151733719,14.79735689824992,8.952640423098392,12.96827201927817,1.2972343569843052,23.172919880343784
Barcelona_class.shp,Barcelona,1.1992910817245603,3.190351741791823,4.615795129895981,6.620600963018481,1.3087238056643375,0.921912809321849,7.606801671822369,2.3480780817958675,0.5127821375694889,1.8657062894260743,14.825713385224814,16.080323687386596,5.700264860457356,1.7809629384100776,31.422691416490323
Burgos_class.shp,Burgos,0.4730109676819888,4.936000633214147,3.0256692626152435,3.0270217254397225,2.5559585795354822,0.1169278101458801,14.316816997670184,16.946118294038495,0.0668281821591914,0.0816777421786008,4.988223593421456,3.882077630677848,4.832669720318948,0.5132888936303475,40.23770996727247
Caceres_class.shp,Caceres,0.2773547907305701,3.581263733396704,5.6717240162529565,6.046371300773567,1.1855854319045018,0.8713932166895396,8.048176436263915,9.481664515168712,0.0244121027337042,0.2582878008318165,6.177939886738266,4.065609766468143,16.7623246957115,1.3757150995115737,36.172177206824536
Cadiz_class.shp,Cadiz,0.7417487049756982,7.077994215987443,7.172608983823492,4.462860841466291,0.7011060605379139,0.8775785488613312,9.097083174722076,7.022304797753779,0.2600883916184563,0.9084080799539764,19.48134016053436,11.760484800509628,0.7903440600202722,0.5681383747112798,29.07791080452401
Cartagena_class.shp,Cartagena,0.7655042886608042,2.2966567504249524,1.7533778722829068,4.881026887644667,0.8194034008362399,0.4571105964889893,4.71467797264025,6.173320897332448,0.1726263876832286,0.0721683253939268,4.321026581787453,4.000791199994606,18.846019227236948,2.8954626904351706,47.83082692115741
Castello_de_la_Plana_class.shp,Castello,0.8018250333883653,6.649413545681021,2.740560245320548,4.35863336551892,0.912737954010373,0.3585078134306259,6.28694363766079,6.723304036988469,0.0992633334130897,0.0862964783925627,8.248864821308247,5.054593289703982,11.289345335907152,1.2207316342122236,45.16897947506363
Ceuta_class.shp,Ceuta,0.5320409765743023,12.086236764121516,2.714485944494801,2.4451930094303607,2.138171706494422,1.0778816361195016,5.485088291133487,5.864501657433692,0.1612329332810434,0.3618218005556233,6.7804924080100495,4.350155268076589,14.424581789093402,2.1207879151483984,39.457327900032816
Ciudad_Real_class.shp,Ciudad,0.3986147933428899,2.123328033019597,5.444975475830097,10.721558926746097,3.947548719273349,0.3371553042925341,3.888283006603154,3.4666954370126297,0.1332353521551096,0.9010908356172984,8.453149149118518,8.433978918596496,15.991639799468588,0.5480278400347764,35.210718408888866
Cordoba_class.shp,Cordoba,0.4192064890511405,2.787730855504856,3.7894501563535874,2.6723332250128764,0.4833375721316668,0.7240720843802928,8.851239036701672,6.556316880080089,0.0406478242797262,0.2307419303432304,5.101956728861255,4.238257126217983,36.25095985277267,4.746158396427432,23.10759184188153
Corunia_class.shp,Corunia,0.6073016306465183,3.928642147755404,3.570282256857999,8.801929198914529,1.5388698676126664,0.1313640755327861,7.753273481245528,5.178778607697045,0.3787586735674974,0.4724603158150255,6.986871557928816,7.949045628017501,9.5937900284623,1.3849624565383385,41.72367007340805
Cuenca_class.shp,Cuenca,0.7776035107274636,5.257076884272714,4.136680358596229,2.6376285947815807,1.2000301632717096,0.1938185228491117,10.948715070627994,3.022383661214453,0.1022452568688617,0.469426750488203,8.584668650392945,4.389438607774324,8.412865848849071,1.6889915326149043,48.17842658667043
Elche_class.shp,Elche,1.6327307131921622,1.1295430991849802,4.992758153705876,2.9418323133923105,0.5843341404933291,0.5592652423973206,9.980972389745958,4.070929295561805,0.0679321087613136,0.1121228773194756,5.433237545294369,5.892479035558332,29.35282308243976,4.71991082840404,28.529129174548967
Fuenlabrada_class.shp,Fuenlabrada,1.5763750653075737,3.103558961003816,9.869639675055144,5.336265828424896,1.1340419881875623,0.8271746267148734,21.77993799021661,13.700932888700397,0.0397135616522868,0.1545103429612517,8.417062138237766,3.013156588859877,4.4129217945344,0.1671695064222715,26.46753904372128
Getafe.shp,Getafe.shp,0.92257324437686,5.944772847906907,3.707957824853884,5.074955565751529,0.9133233060224056,0.2150498833121022,11.9445582254791,16.378236092921473,0.0575225881655563,0.1775133253041284,7.666633215788039,2.368854040992884,10.647359992540403,0.2620898707309931,33.718599975853735
