,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
417,1913005 Guadalajara distrito 05,12431,1913005, Guadalajara distrito 
418,1913005001 Guadalajara sección 05001,12854,1913005001, Guadalajara sección 
419,1913005002 Guadalajara sección 05002,12922,1913005002, Guadalajara sección 
420,1913005003 Guadalajara sección 05003,10309,1913005003, Guadalajara sección 
421,1913005004 Guadalajara sección 05004,9609,1913005004, Guadalajara sección 
422,1913005005 Guadalajara sección 05005,19752,1913005005, Guadalajara sección 
504,19166 Málaga del Fresno,13999,19166, Málaga del Fresno
505,1916601 Málaga del Fresno distrito 01,13999,1916601, Málaga del Fresno distrito 
506,1916601001 Málaga del Fresno sección 01001,13999,1916601001, Málaga del Fresno sección 
676,19225 Pozo de Guadalajara,11609,19225, Pozo de Guadalajara
677,1922501 Pozo de Guadalajara distrito 01,11609,1922501, Pozo de Guadalajara distrito 
678,1922501001 Pozo de Guadalajara sección 01001,11609,1922501001, Pozo de Guadalajara sección 
15,21009 Arroyomolinos de León,7681,21009, Arroyomolinos de León
26,21020 Cañaveral de León,9115,21020, Cañaveral de León
42,"21036 Granada de Río-Tinto, La",9415,21036," Granada de Río-Tinto, La"
47,21041 Huelva,11310,21041, Huelva
74,22081 Casbas de Huesca,13698,22081, Casbas de Huesca
105,22125 Huesca,13630,22125, Huesca
40,"23038 Guardia de Jaén, La",12299,23038," Guardia de Jaén, La"
52,23050 Jaén,12495,23050, Jaén
91,23093 Valdepeñas de Jaén,8067,23093, Valdepeñas de Jaén
88,24089 León,14434,24089, León
179,24188 Valencia de Don Juan,11103,24188, Valencia de Don Juan
113,25033 Artesa de Lleida,12968,25033, Artesa de Lleida
114,2503301 Artesa de Lleida distrito 01,12968,2503301, Artesa de Lleida distrito 
115,2503301001 Artesa de Lleida sección 01001,12968,2503301001, Artesa de Lleida sección 
362,25120 Lleida,13303,25120, Lleida
363,2512001 Lleida distrito 01,12256,2512001, Lleida distrito 
364,2512001001 Lleida sección 01001,14602,2512001001, Lleida sección 
365,2512001003 Lleida sección 01003,13126,2512001003, Lleida sección 
366,2512001004 Lleida sección 01004,14349,2512001004, Lleida sección 
367,2512001005 Lleida sección 01005,10772,2512001005, Lleida sección 
368,2512001006 Lleida sección 01006,11355,2512001006, Lleida sección 
369,2512001007 Lleida sección 01007,12544,2512001007, Lleida sección 
370,2512001008 Lleida sección 01008,12230,2512001008, Lleida sección 
371,2512001009 Lleida sección 01009,11129,2512001009, Lleida sección 
372,2512001010 Lleida sección 01010,9909,2512001010, Lleida sección 
373,2512001011 Lleida sección 01011,11739,2512001011, Lleida sección 
374,2512001012 Lleida sección 01012,10534,2512001012, Lleida sección 
375,2512001013 Lleida sección 01013,11628,2512001013, Lleida sección 
376,2512001014 Lleida sección 01014,13462,2512001014, Lleida sección 
377,2512002 Lleida distrito 02,14229,2512002, Lleida distrito 
378,2512002002 Lleida sección 02002,13399,2512002002, Lleida sección 
379,2512002003 Lleida sección 02003,13070,2512002003, Lleida sección 
380,2512002004 Lleida sección 02004,14037,2512002004, Lleida sección 
381,2512002005 Lleida sección 02005,14983,2512002005, Lleida sección 
382,2512002006 Lleida sección 02006,12929,2512002006, Lleida sección 
383,2512002007 Lleida sección 02007,12612,2512002007, Lleida sección 
384,2512002008 Lleida sección 02008,12283,2512002008, Lleida sección 
385,2512002009 Lleida sección 02009,18223,2512002009, Lleida sección 
386,2512003 Lleida distrito 03,14254,2512003, Lleida distrito 
387,2512003001 Lleida sección 03001,10290,2512003001, Lleida sección 
388,2512003003 Lleida sección 03003,13174,2512003003, Lleida sección 
389,2512003004 Lleida sección 03004,19418,2512003004, Lleida sección 
390,2512003005 Lleida sección 03005,14152,2512003005, Lleida sección 
391,2512003006 Lleida sección 03006,13475,2512003006, Lleida sección 
392,2512003007 Lleida sección 03007,13585,2512003007, Lleida sección 
393,2512003008 Lleida sección 03008,16296,2512003008, Lleida sección 
394,2512004 Lleida distrito 04,11141,2512004, Lleida distrito 
395,2512004001 Lleida sección 04001,7952,2512004001, Lleida sección 
396,2512004003 Lleida sección 04003,16366,2512004003, Lleida sección 
397,2512004004 Lleida sección 04004,12391,2512004004, Lleida sección 
398,2512004005 Lleida sección 04005,13523,2512004005, Lleida sección 
399,2512004006 Lleida sección 04006,14677,2512004006, Lleida sección 
400,2512004007 Lleida sección 04007,12530,2512004007, Lleida sección 
401,2512004008 Lleida sección 04008,9381,2512004008, Lleida sección 
402,2512004010 Lleida sección 04010,6689,2512004010, Lleida sección 
403,2512004011 Lleida sección 04011,7263,2512004011, Lleida sección 
404,2512004013 Lleida sección 04013,9035,2512004013, Lleida sección 
405,2512004014 Lleida sección 04014,10699,2512004014, Lleida sección 
406,2512004015 Lleida sección 04015,12840,2512004015, Lleida sección 
407,2512004016 Lleida sección 04016,12376,2512004016, Lleida sección 
408,2512004017 Lleida sección 04017,14554,2512004017, Lleida sección 
409,2512005 Lleida distrito 05,17047,2512005, Lleida distrito 
410,2512005002 Lleida sección 05002,13041,2512005002, Lleida sección 
411,2512005003 Lleida sección 05003,14184,2512005003, Lleida sección 
412,2512005004 Lleida sección 05004,14673,2512005004, Lleida sección 
413,2512005005 Lleida sección 05005,17158,2512005005, Lleida sección 
414,2512005006 Lleida sección 05006,21356,2512005006, Lleida sección 
415,2512005007 Lleida sección 05007,11900,2512005007, Lleida sección 
416,2512005008 Lleida sección 05008,17636,2512005008, Lleida sección 
417,2512005009 Lleida sección 05009,18371,2512005009, Lleida sección 
418,2512005010 Lleida sección 05010,16867,2512005010, Lleida sección 
419,2512005011 Lleida sección 05011,21102,2512005011, Lleida sección 
420,2512005012 Lleida sección 05012,18477,2512005012, Lleida sección 
421,2512006 Lleida distrito 06,12648,2512006, Lleida distrito 
422,2512006001 Lleida sección 06001,10570,2512006001, Lleida sección 
423,2512006002 Lleida sección 06002,12037,2512006002, Lleida sección 
424,2512006003 Lleida sección 06003,11436,2512006003, Lleida sección 
425,2512006004 Lleida sección 06004,14281,2512006004, Lleida sección 
426,2512006005 Lleida sección 06005,19714,2512006005, Lleida sección 
427,2512006006 Lleida sección 06006,12446,2512006006, Lleida sección 
428,2512006007 Lleida sección 06007,11050,2512006007, Lleida sección 
429,2512006009 Lleida sección 06009,10403,2512006009, Lleida sección 
430,2512006010 Lleida sección 06010,10771,2512006010, Lleida sección 
431,2512006011 Lleida sección 06011,14477,2512006011, Lleida sección 
432,2512006012 Lleida sección 06012,14170,2512006012, Lleida sección 
433,2512006013 Lleida sección 06013,17016,2512006013, Lleida sección 
434,2512006014 Lleida sección 06014,13556,2512006014, Lleida sección 
435,2512006016 Lleida sección 06016,19316,2512006016, Lleida sección 
436,2512006017 Lleida sección 06017,10906,2512006017, Lleida sección 
437,2512007 Lleida distrito 07,11882,2512007, Lleida distrito 
438,2512007001 Lleida sección 07001,13877,2512007001, Lleida sección 
439,2512007002 Lleida sección 07002,11783,2512007002, Lleida sección 
440,2512007003 Lleida sección 07003,13265,2512007003, Lleida sección 
441,2512007004 Lleida sección 07004,9944,2512007004, Lleida sección 
442,2512007005 Lleida sección 07005,11932,2512007005, Lleida sección 
443,2512007006 Lleida sección 07006,11352,2512007006, Lleida sección 
444,2512007007 Lleida sección 07007,11168,2512007007, Lleida sección 
445,2512008 Lleida distrito 08,19209,2512008, Lleida distrito 
446,2512008001 Lleida sección 08001,13532,2512008001, Lleida sección 
447,2512008002 Lleida sección 08002,25175,2512008002, Lleida sección 
448,2512008003 Lleida sección 08003,16097,2512008003, Lleida sección 
449,2512008004 Lleida sección 08004,16195,2512008004, Lleida sección 
450,2512009 Lleida distrito 09,16881,2512009, Lleida distrito 
451,2512009001 Lleida sección 09001,21129,2512009001, Lleida sección 
452,2512009002 Lleida sección 09002,12040,2512009002, Lleida sección 
522,25142 Montoliu de Lleida,12794,25142, Montoliu de Lleida
523,2514201 Montoliu de Lleida distrito 01,12794,2514201, Montoliu de Lleida distrito 
524,2514201001 Montoliu de Lleida sección 01001,12794,2514201001, Montoliu de Lleida sección 
627,25182 Puigverd de Lleida,13064,25182, Puigverd de Lleida
628,2518201 Puigverd de Lleida distrito 01,13064,2518201, Puigverd de Lleida distrito 
629,2518201001 Puigverd de Lleida sección 01001,13064,2518201001, Puigverd de Lleida sección 
663,25200 Sarroca de Lleida,12842,25200, Sarroca de Lleida
664,2520001 Sarroca de Lleida distrito 01,12842,2520001, Sarroca de Lleida distrito 
665,2520001001 Sarroca de Lleida sección 01001,12842,2520001001, Sarroca de Lleida sección 
34,27028 Lugo,12992,27028, Lugo
23,28005 Alcalá de Henares,13243,28005, Alcalá de Henares
24,2800501 Alcalá de Henares distrito 01,14052,2800501, Alcalá de Henares distrito 
25,2800501001 Alcalá de Henares sección 01001,15670,2800501001, Alcalá de Henares sección 
26,2800501002 Alcalá de Henares sección 01002,14142,2800501002, Alcalá de Henares sección 
27,2800501003 Alcalá de Henares sección 01003,14696,2800501003, Alcalá de Henares sección 
28,2800501004 Alcalá de Henares sección 01004,15009,2800501004, Alcalá de Henares sección 
29,2800501005 Alcalá de Henares sección 01005,17027,2800501005, Alcalá de Henares sección 
30,2800501006 Alcalá de Henares sección 01006,14749,2800501006, Alcalá de Henares sección 
31,2800501007 Alcalá de Henares sección 01007,11653,2800501007, Alcalá de Henares sección 
32,2800501008 Alcalá de Henares sección 01008,10985,2800501008, Alcalá de Henares sección 
33,2800501009 Alcalá de Henares sección 01009,11443,2800501009, Alcalá de Henares sección 
34,2800501010 Alcalá de Henares sección 01010,13170,2800501010, Alcalá de Henares sección 
35,2800501011 Alcalá de Henares sección 01011,12474,2800501011, Alcalá de Henares sección 
36,2800501012 Alcalá de Henares sección 01012,13614,2800501012, Alcalá de Henares sección 
37,2800501013 Alcalá de Henares sección 01013,16929,2800501013, Alcalá de Henares sección 
38,2800501014 Alcalá de Henares sección 01014,16997,2800501014, Alcalá de Henares sección 
39,2800501015 Alcalá de Henares sección 01015,14368,2800501015, Alcalá de Henares sección 
40,2800501016 Alcalá de Henares sección 01016,12627,2800501016, Alcalá de Henares sección 
41,2800501017 Alcalá de Henares sección 01017,11056,2800501017, Alcalá de Henares sección 
42,2800501018 Alcalá de Henares sección 01018,10187,2800501018, Alcalá de Henares sección 
43,2800501020 Alcalá de Henares sección 01020,10562,2800501020, Alcalá de Henares sección 
44,2800501021 Alcalá de Henares sección 01021,16225,2800501021, Alcalá de Henares sección 
45,2800501022 Alcalá de Henares sección 01022,13219,2800501022, Alcalá de Henares sección 
46,2800501023 Alcalá de Henares sección 01023,17023,2800501023, Alcalá de Henares sección 
47,2800501024 Alcalá de Henares sección 01024,18349,2800501024, Alcalá de Henares sección 
48,2800502 Alcalá de Henares distrito 02,10918,2800502, Alcalá de Henares distrito 
49,2800502001 Alcalá de Henares sección 02001,10617,2800502001, Alcalá de Henares sección 
50,2800502002 Alcalá de Henares sección 02002,11267,2800502002, Alcalá de Henares sección 
51,2800502003 Alcalá de Henares sección 02003,11266,2800502003, Alcalá de Henares sección 
52,2800502004 Alcalá de Henares sección 02004,8938,2800502004, Alcalá de Henares sección 
53,2800502005 Alcalá de Henares sección 02005,8602,2800502005, Alcalá de Henares sección 
54,2800502006 Alcalá de Henares sección 02006,9162,2800502006, Alcalá de Henares sección 
55,2800502007 Alcalá de Henares sección 02007,8775,2800502007, Alcalá de Henares sección 
56,2800502008 Alcalá de Henares sección 02008,13762,2800502008, Alcalá de Henares sección 
57,2800502009 Alcalá de Henares sección 02009, ,2800502009, Alcalá de Henares sección 
58,2800502010 Alcalá de Henares sección 02010,8615,2800502010, Alcalá de Henares sección 
59,2800502011 Alcalá de Henares sección 02011,6567,2800502011, Alcalá de Henares sección 
60,2800502012 Alcalá de Henares sección 02012,7522,2800502012, Alcalá de Henares sección 
61,2800502013 Alcalá de Henares sección 02013,8346,2800502013, Alcalá de Henares sección 
62,2800502014 Alcalá de Henares sección 02014,10839,2800502014, Alcalá de Henares sección 
63,2800502015 Alcalá de Henares sección 02015,8947,2800502015, Alcalá de Henares sección 
64,2800502016 Alcalá de Henares sección 02016,10642,2800502016, Alcalá de Henares sección 
65,2800502017 Alcalá de Henares sección 02017,9018,2800502017, Alcalá de Henares sección 
66,2800502018 Alcalá de Henares sección 02018,11922,2800502018, Alcalá de Henares sección 
67,2800502019 Alcalá de Henares sección 02019,10079,2800502019, Alcalá de Henares sección 
68,2800502020 Alcalá de Henares sección 02020,10812,2800502020, Alcalá de Henares sección 
69,2800502021 Alcalá de Henares sección 02021,10382,2800502021, Alcalá de Henares sección 
70,2800502022 Alcalá de Henares sección 02022,10176,2800502022, Alcalá de Henares sección 
71,2800502023 Alcalá de Henares sección 02023,9119,2800502023, Alcalá de Henares sección 
72,2800502024 Alcalá de Henares sección 02024,9259,2800502024, Alcalá de Henares sección 
73,2800502025 Alcalá de Henares sección 02025,9852,2800502025, Alcalá de Henares sección 
74,2800502026 Alcalá de Henares sección 02026,12296,2800502026, Alcalá de Henares sección 
75,2800502027 Alcalá de Henares sección 02027,10114,2800502027, Alcalá de Henares sección 
76,2800502028 Alcalá de Henares sección 02028,14305,2800502028, Alcalá de Henares sección 
77,2800502029 Alcalá de Henares sección 02029,16844,2800502029, Alcalá de Henares sección 
78,2800502030 Alcalá de Henares sección 02030,10715,2800502030, Alcalá de Henares sección 
79,2800502031 Alcalá de Henares sección 02031,16475,2800502031, Alcalá de Henares sección 
80,2800502032 Alcalá de Henares sección 02032,11750,2800502032, Alcalá de Henares sección 
81,2800502033 Alcalá de Henares sección 02033,11845,2800502033, Alcalá de Henares sección 
82,2800502034 Alcalá de Henares sección 02034,11825,2800502034, Alcalá de Henares sección 
83,2800502035 Alcalá de Henares sección 02035,11870,2800502035, Alcalá de Henares sección 
84,2800502036 Alcalá de Henares sección 02036,11830,2800502036, Alcalá de Henares sección 
85,2800502037 Alcalá de Henares sección 02037,11479,2800502037, Alcalá de Henares sección 
86,2800503 Alcalá de Henares distrito 03,13159,2800503, Alcalá de Henares distrito 
87,2800503001 Alcalá de Henares sección 03001,10468,2800503001, Alcalá de Henares sección 
88,2800503002 Alcalá de Henares sección 03002,10013,2800503002, Alcalá de Henares sección 
89,2800503003 Alcalá de Henares sección 03003,9124,2800503003, Alcalá de Henares sección 
90,2800503004 Alcalá de Henares sección 03004,13131,2800503004, Alcalá de Henares sección 
91,2800503005 Alcalá de Henares sección 03005,9286,2800503005, Alcalá de Henares sección 
92,2800503006 Alcalá de Henares sección 03006,10744,2800503006, Alcalá de Henares sección 
93,2800503007 Alcalá de Henares sección 03007,12084,2800503007, Alcalá de Henares sección 
94,2800503008 Alcalá de Henares sección 03008,11479,2800503008, Alcalá de Henares sección 
95,2800503009 Alcalá de Henares sección 03009,9329,2800503009, Alcalá de Henares sección 
96,2800503011 Alcalá de Henares sección 03011,13437,2800503011, Alcalá de Henares sección 
97,2800503012 Alcalá de Henares sección 03012,11018,2800503012, Alcalá de Henares sección 
98,2800503013 Alcalá de Henares sección 03013,17970,2800503013, Alcalá de Henares sección 
99,2800503014 Alcalá de Henares sección 03014,14433,2800503014, Alcalá de Henares sección 
100,2800503015 Alcalá de Henares sección 03015,14560,2800503015, Alcalá de Henares sección 
101,2800503016 Alcalá de Henares sección 03016,17668,2800503016, Alcalá de Henares sección 
102,2800503017 Alcalá de Henares sección 03017,16870,2800503017, Alcalá de Henares sección 
103,2800504 Alcalá de Henares distrito 04,15371,2800504, Alcalá de Henares distrito 
104,2800504001 Alcalá de Henares sección 04001,18273,2800504001, Alcalá de Henares sección 
105,2800504002 Alcalá de Henares sección 04002,18632,2800504002, Alcalá de Henares sección 
