Código INE,,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
8033,X,Barcelona,Barcelona,Cataluña,1664182,790708,873474,,459080,341310,800390,,54132,253150,546026,55548,38941,968655,42753,46030,20378,54020,25785,15506,12654,196868,159767,87050,49018,431859,319833,182408,101394,36337,26594,15323,7568,29800,19298,7416,3965,,10.3438177,13.07928934,9.444082228,10.18273552,10.50728596,12.52915268,,1,7,447,0,6,487,9,70,3125,1,1,969,0,0,103,0,0,14,1,5,365,1,8,409,7,30,642,5365,20,127,6561,,13265,40302,5552,927,307,701,265,670,746,3129,190,569,56,153,,0
9075,X,Burgos,Burgos,Castilla y León,176418,83995,92423,,60545,45112,105657,,1979,7265,82114,6356,5583,107558,1554,3898,2599,1965,513,140,65,5813,4498,1904,1035,74756,47890,23275,11586,5083,3561,2066,1032,4900,2604,916,531,,11.96775885,17.04886005,10.73499742,11.90624712,10.77404092,13.80568571,,0,3,14,0,0,1,0,2,8,0,1,39,0,0,1,0,0,1,0,0,8,0,1,2,0,2,13,71,0,9,87,,3320,12044,658,120,25,62,53,,56,,1976,198,83,89,,0
10053,X,Cáceres,Cáceres,Extremadura,96255,46104,50151,,32650,27051,59701,,3433,7269,52643,4631,3969,73858,1667,3349,1850,3415,691,154,86,5748,4420,2000,1097,46647,30301,14533,7350,3434,2060,1012,532,3406,1773,529,254,,12.21535784,17.88614934,10.59569241,11.79644243,12.4252417,14.25406342,,0,0,12,0,0,7,1,3,27,0,0,42,0,0,6,0,0,0,0,0,0,0,0,1,1,4,18,102,2,7,113,,1397,5509,20,2,1,49,30,21,69,128,953,10,82,32,,0
11029,X,Cádiz,Cádiz,Andalucía,115439,54580,60859,,36660,24970,61630,,6878,12667,44606,2350,2810,70672,2855,5081,1481,6729,3237,1039,549,10854,9156,4880,2722,39179,28395,14287,7941,1452,988,620,310,2231,1232,350,180,,10.97635739,14.46645118,9.107607334,10.66768652,10.8061708,14.08632452,,0,1,12,1,5,65,0,8,82,0,1,71,0,0,0,0,0,0,0,0,3,0,4,15,1,5,32,248,2,24,280,,82,299,,,,6,2,,2,31,27,8,2,4,,1
31007,X,Cartagena,Murcia,Murcia (Región de),216108,107478,108630,,72543,54432,126975,,8484,14765,114235,8069,9241,159993,2808,9001,4362,8269,1986,542,269,10735,7871,3821,2138,102623,65642,32976,17576,6101,3871,1613,784,8076,4016,1406,746,,12.219994,17.25061555,10.84620494,11.75554125,12.24192427,14.24059188,,0,1,10,0,1,13,0,3,15,0,2,128,0,0,4,0,0,0,0,0,2,0,0,9,2,4,21,142,2,11,202,,907,3206,117,23,7,62,67,,149,,69,301,55,57,,0
12060,X,Castelló de la Plana,Castellón/Castelló,Comunitat Valenciana,174264,84319,89945,,58941,47454,106395,,5110,13171,89790,7800,7867,128463,2716,8766,3987,5036,1276,324,170,9218,6875,3345,1842,81503,53519,28842,15601,6023,3756,2036,1140,6995,3382,1115,590,,11.79320012,17.06425338,10.76405619,11.37455676,11.87861531,14.42617155,,0,2,2,0,4,1,3,14,4,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,3,11,6,49,6,37,18,,472,1891,1,,,43,41,,46,95,174,8,28,36,,0
51001,X,Ceuta,Ceuta,Ceuta,84202,42542,41660,,25274,16376,41650,,3420,13631,42028,5101,2363,67589,3269,7071,2528,3401,1518,506,232,11600,9281,5171,2994,34304,20740,9630,4778,4338,2058,603,282,2076,947,265,92,,12.35311466,14.72921494,9.652125862,12.50637972,14.83365376,15.29608863,,0,0,5,0,0,16,0,5,74,0,0,105,0,0,1,0,1,1,0,0,0,0,0,1,1,1,28,165,1,7,231,,749,2545,13,1,,5,10,,118,378,34,51,88,51,,
13053,X,Ciudad Real,Ciudad Real,Castilla-La Mancha,75504,35773,39731,,24009,19649,43658,,2347,4050,34738,3331,2746,48679,824,2408,1312,2338,619,139,67,3196,2476,1088,621,31886,21464,10574,5384,2650,1647,782,360,2383,1181,341,184,,11.91157004,16.92915312,10.61019399,11.4557094,12.27306415,14.57980697,,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,,1641,6460,,,,21,20,7,80,140,1276,2,63,32,,0
14041,X,Córdoba,Córdoba,Andalucía,326039,156523,169516,,108897,82024,190921,,14795,28070,154384,13017,10397,225687,5591,13919,5457,14757,4789,1459,798,22461,17758,8540,4700,140507,93083,46111,24489,10064,6446,3179,1630,8718,4580,1689,908,,11.81132135,16.12554042,10.15347936,11.48517213,12.07905306,13.71417527,,0,2,25,0,10,52,1,23,97,0,4,117,0,0,6,0,0,2,0,0,5,0,1,12,0,7,39,327,1,47,355,,912,3296,77,11,6,98,25,,61,,359,239,16,20,,0
15051,X,"Coruña, A",Coruña (A),Galicia,247604,114776,132828,,74658,67043,141701,,3188,11404,114067,6392,6291,144917,2197,6179,2308,3162,928,258,163,8839,6849,2937,1752,100153,66076,32435,16572,4730,3528,2158,1067,4888,2502,789,393,,11.77358485,16.6749747,10.67056681,11.66059619,9.973995772,14.39120908,,0,0,16,0,1,10,0,4,35,2,4,164,0,0,10,0,0,0,0,0,7,0,1,6,0,11,89,276,2,21,337,,546,1732,119,45,5,33,4,,48,,,234,33,25,,4
16102,X,Cuenca,Cuenca,Castilla-La Mancha,54621,25956,28665,,18942,15607,34549,,1588,4317,27773,2914,2607,40587,847,1608,972,1578,430,52,23,3262,2491,1079,595,25250,15525,7079,3680,2233,1397,561,257,2244,1112,326,158,,12.52961544,17.13219265,10.75607296,12.31379881,12.61736229,14.61085116,,0,0,1,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,16,0,0,18,,126,457,,,,5,8,,50,23,28,,7,5,,0
