Código INE,,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
22167,X,Huesca,Huesca,Aragón,53956,25702,28254,,18241,14157,32398,,1460,2870,24553,2842,2814,36057,539,1307,1055,1394,350,74,29,2107,1578,711,399,22283,14423,7448,4040,2328,1527,848,486,2559,1358,430,192,,12.02627916,17.41839311,10.89497864,11.61831351,11.31582045,14.01524033,,0,3,5,0,1,7,0,3,14,0,0,40,0,0,4,0,0,1,0,0,0,0,0,5,0,5,14,87,0,12,90,,187,770,,,,18,13,,38,20,38,14,12,34,,0
23081,X,Jaén,Jaén,Andalucía,112757,54244,58513,,38582,29043,67625,,5742,11199,53408,6154,4470,82789,2389,5048,2331,5735,1434,338,167,9556,7600,3599,1890,49074,32476,16035,8302,4673,2702,1308,700,3815,1843,703,413,,12.04477998,17.03190584,10.18223106,11.55476546,12.94704686,14.29827261,,0,2,3,0,0,14,0,3,57,0,0,86,0,0,8,0,0,0,0,0,0,0,0,5,0,1,32,169,0,6,205,,729,2610,27,3,3,18,34,19,214,154,149,40,46,22,,0
11037,X,Jerez de la Frontera,Cádiz,Andalucía,213105,104086,109019,,73683,57222,130905,,15051,16979,105505,6441,8808,156740,3450,12039,4894,14740,5250,1517,931,13262,10761,5770,3722,95555,66643,33956,18377,4686,3068,1804,890,7611,4001,1304,707,,11.54107549,15.82449525,9.318053838,10.9485309,11.24008323,13.99833136,,0,2,25,0,4,63,0,6,76,0,3,228,0,0,15,0,0,0,0,0,3,0,2,22,0,7,53,366,0,24,485,,1359,4360,288,57,15,39,27,,154,490,156,36,49,48,,0
28113,X,Leganés,Madrid,Madrid (Comunidad de),191114,92573,98541,,59326,40448,99774,,1755,6793,88499,6046,5330,111070,1312,4620,2205,1646,414,70,38,5744,4550,2268,1295,80899,56361,29334,15246,4775,3305,1802,896,4594,2499,901,491,,11.15250357,17.37535237,9.970421309,10.9938532,11.06093822,13.65872225,,0,0,11,0,0,8,0,1,19,0,1,58,0,0,2,0,0,0,1,0,13,0,0,4,0,4,37,135,1,6,152,,301,1076,20,4,2,26,12,9,21,105,32,18,47,5,,1
24120,X,León,León,Castilla y León,124028,56191,67837,,43243,35523,78766,,2172,5860,59742,4830,3993,78774,1280,3417,1545,2159,485,88,51,4554,3551,1505,854,51008,30722,14307,7546,3463,2259,1056,511,3102,1343,372,213,,12.61835167,17.5962251,10.68726394,12.47430129,12.02376552,15.31452934,,0,1,4,0,0,2,0,4,6,0,1,30,0,0,3,0,0,1,0,0,0,0,0,1,2,8,57,101,2,14,104,,2813,8915,1170,384,121,33,22,,151,157,704,13,39,19,,0
25153,X,Lleida,Lleida,Cataluña,140403,69541,70862,,45557,33485,79042,,3541,9408,63552,6284,6889,94148,1920,6193,3479,3539,908,227,129,7048,5483,2865,1683,56770,36477,19740,11069,4840,3615,2386,1284,5956,3176,1112,600,,11.65737322,17.1530065,9.971865778,11.53581029,9.508152893,13.97321692,,0,0,27,1,1,5,0,2,41,0,4,80,0,0,2,0,0,0,0,0,10,0,1,9,0,3,43,191,1,11,217,,2917,10479,641,77,20,155,108,,99,,1407,258,55,97,,0
26124,X,Logroño,Rioja (La),Rioja (La),152485,72341,80144,,50622,37217,87839,,2957,8554,66723,6146,6253,93436,1327,3189,2059,2941,793,231,124,6927,5364,2620,1474,61733,39487,20033,10377,4971,3112,1789,878,5709,2997,996,554,,12.00532118,17.12569874,10.29499206,11.77338992,11.85650573,14.00494658,,0,1,24,0,1,15,0,8,44,0,3,87,0,0,3,0,0,2,0,0,4,0,0,10,0,6,55,215,0,19,244,,2332,7284,1154,117,22,177,108,,57,1,181,286,55,174,,0
27062,X,Lugo,Lugo,Galicia,98519,45568,52951,,33254,31248,64502,,1804,5184,53009,4783,3764,71727,963,2659,1710,1704,472,75,44,3885,2933,1208,729,46990,30045,14510,7326,3761,2529,1385,698,3046,1464,401,200,,12.17895014,17.38399061,11.07885972,11.98477612,11.19737836,14.91235391,,0,0,0,0,1,2,1,3,6,2,2,34,0,0,4,0,0,2,0,0,0,0,0,1,0,6,13,57,3,12,62,,1049,3044,567,89,22,41,43,1,82,96,54,6,31,17,,0
28117,X,Madrid,Madrid,Madrid (Comunidad de),3334730,1553899,1780831,,953955,746647,1700602,,44614,222713,1497536,122516,87166,2012707,41320,109436,42711,42634,16548,7758,4995,176474,146044,84282,52091,1259240,890466,469582,242977,85325,60134,33084,17417,69129,39696,14641,8205,,10.88545874,15.05351433,8.925239809,10.8623286,10.8260913,13.31246496,,1,38,654,1,7,365,16,163,2508,3,50,2846,1,5,193,0,1,32,0,2,197,1,7,186,21,126,802,6806,44,399,7783,,31369,104618,9948,1759,486,676,389,,710,,10378,4736,920,1367,,0
29903,X,Málaga,Málaga,Andalucía,578460,277789,300671,,186034,143158,329192,,31508,64676,272083,22151,21737,420160,13135,33467,12747,31375,8999,2868,1613,52805,43108,22326,12849,238203,161418,84559,44795,16640,10979,5708,2849,18278,8886,3209,1713,,11.58156625,16.41143777,9.590725689,11.15388656,11.58414303,14.33133603,,0,0,128,0,7,223,7,27,718,2,3,811,0,1,39,0,0,4,0,0,26,0,5,120,3,16,211,1810,12,59,2280,,969,3048,341,79,16,,,,52,,195,214,28,44,,0
30001,X,Marbella,Málaga,Andalucía,147633,70833,76800,,44302,36454,80756,,7654,15033,86216,10990,6699,128691,4191,16601,5764,7637,2476,762,351,13304,10921,6513,3768,76589,51215,28592,14834,9306,6285,3408,1718,6060,3143,1217,587,,11.44590938,15.94647767,8.953282471,11.20676938,11.21903825,13.88335479,,0,0,18,0,1,24,0,3,88,0,1,188,0,0,12,0,0,0,0,0,6,0,0,5,2,2,46,304,2,7,387,,574,1939,81,5,2,28,21,5,72,157,110,42,41,10,,1
8135,X,Mataró,Barcelona,Cataluña,129661,64476,65185,,39389,29248,68637,,4410,13768,53167,4805,4670,82443,2918,4853,2188,4395,1271,328,159,10924,8717,4375,2461,48074,33035,18394,9808,3517,2279,1247,616,4173,2192,784,412,,11.33334263,16.74842548,9.917676675,10.89119982,11.7130708,13.96048167,,0,3,23,0,0,23,0,7,90,0,1,108,0,0,7,0,0,0,0,0,0,0,0,30,0,3,59,288,0,14,340,,2390,9317,69,12,4,28,12,34,54,,1816,195,144,22,,0
52001,X,Melilla,Melilla,Melilla,87076,44162,42914,,26521,18053,44574,,3134,7766,47134,8962,3911,72353,2213,10119,4902,3125,1086,327,159,6298,4858,2873,1806,37762,21518,10628,6061,7490,3173,782,450,3266,975,216,127,,13.32214755,15.9048992,9.635690695,12.9107632,15.49235514,17.2065891,,0,1,16,0,1,28,0,5,62,0,0,119,0,0,10,0,0,1,0,0,0,0,2,8,1,7,66,242,1,16,310,,1543,5010,139,17,5,18,3,,221,,66,843,149,82,,
28129,X,Móstoles,Madrid,Madrid (Comunidad de),210309,102307,108002,,66359,46637,112996,,2231,7614,104144,6187,5256,127220,1463,5749,2501,2136,475,91,38,5974,4671,2164,1280,90862,62496,32249,16388,4452,2866,1509,741,4418,2134,618,317,,11.40530059,17.67052434,10.34412287,11.12496005,11.71631402,14.58046401,,1,2,21,0,0,14,0,2,32,0,0,80,0,0,4,0,0,0,0,1,15,0,0,7,0,2,65,220,1,7,238,,789,3151,4,1,,74,55,111,59,253,112,49,55,16,,0
31021,X,Murcia,Murcia,Murcia (Región de),459403,224929,234474,,151289,123212,274501,,26464,43839,238932,18891,20933,358228,8668,20163,8895,25957,6267,1499,825,33118,25305,12040,6180,214100,141813,74957,39779,14476,9414,5165,2757,17972,9164,3314,1610,,11.95874469,17.20510498,10.60249049,11.36068874,11.45341462,14.07752893,,0,15,123,0,15,127,5,36,298,0,9,652,0,2,48,0,0,6,0,0,6,0,4,36,1,9,92,1143,6,90,1388,,3587,12769,555,144,58,314,139,55,568,,867,593,200,94,,0
32092,X,Ourense,Ourense,Galicia,105643,47891,57752,,37191,31306,68497,,2221,5709,55332,4036,4234,73491,1009,2926,1454,2215,502,88,35,4036,3207,1385,767,45203,28332,14009,7349,2440,1644,883,444,3245,1443,365,182,,12.33920272,17.88339052,10.48567889,12.07040418,11.36469262,15.30717103,,0,2,1,1,0,5,0,7,12,0,2,49,0,0,5,0,0,0,0,0,1,0,0,1,1,11,26,97,2,22,100,,570,2569,,3,1,85,58,123,61,57,112,9,35,26,,0
34006,X,Oviedo,Asturias,Asturias (Principado de),219910,101749,118161,,72169,58182,130351,,2878,11282,101013,7880,5841,133254,2046,7454,3342,2807,798,208,131,8762,6948,3153,1725,90318,60385,29914,15584,6273,4372,2331,1191,4745,2485,955,514,,11.59916655,17.13341646,10.35796051,11.49998251,11.04644668,13.75111064,,0,1,17,0,1,4,0,0,47,0,0,78,0,0,4,0,0,4,0,0,1,0,0,2,1,2,27,150,1,4,184,,5084,18589,849,210,62,109,50,,27,248,3420,36,54,19,,0
34171,X,Palencia,Palencia,Castilla y León,78144,36875,41269,,26630,20476,47106,,1355,3907,38398,3081,2628,51281,774,1648,1085,1353,273,57,24,3080,2415,989,495,34089,20075,9250,4646,2460,1553,753,352,2278,1079,342,178,,12.79081427,18.06376201,10.76817857,12.68281909,12.13376016,14.72398595,,0,0,3,1,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,26,3,2,30,,3670,14344,14,4,2,75,36,,311,,2940,181,53,54,,0
7047,X,Palma de Mallorca,Balears (Illes),Balears (Illes),422587,206654,215933,,120296,122595,242891,,18983,49579,247630,15941,22012,360254,11925,35032,11311,18905,5907,2437,1343,36161,29131,17479,9630,202461,140661,79753,42580,10467,8204,4978,2431,18987,10446,4321,2230,,11.1305925,16.12411267,9.287275241,10.83328038,9.553701156,13.54905514,,0,4,81,0,4,73,2,20,225,0,5,257,0,0,14,0,0,3,0,0,9,0,2,91,2,9,112,801,4,44,865,,,,,,,,,,,,,,,,,1
36025,X,"Palmas de Gran Canaria, Las",Palmas (Las),Canarias,381223,183905,197318,,112778,86579,199357,,10527,27811,181497,19353,28028,275061,4543,10779,6251,10007,3500,1075,596,22950,18811,10149,6289,153049,107570,61220,34394,13821,9633,6253,3970,24379,14114,7714,4794,,11.06095457,16.57496253,9.383636601,10.6897427,10.43284712,12.44206038,,0,3,37,0,3,87,0,14,241,0,1,371,0,0,48,0,0,10,0,0,62,0,0,30,2,13,104,780,2,34,990,,4578,13427,2180,468,107,84,61,,141,,317,914,209,97,,0
28141,X,Parla,Madrid,Madrid (Comunidad de),133482,66524,66958,,37838,25329,63167,,1170,3244,55060,3189,3175,66997,678,4347,1592,1131,300,68,39,2805,2215,996,600,50668,33888,17020,8583,2528,1689,859,397,2877,1460,423,187,,11.62732786,17.16862953,10.29338324,11.41011131,11.4648932,14.3492666,,0,0,7,0,0,5,0,1,17,0,1,66,0,0,3,0,0,0,0,0,1,0,0,1,2,2,43,126,2,4,143,,299,1117,,,,28,23,1,28,113,28,16,47,15,,0
37022,X,Pontevedra,Pontevedra,Galicia,83260,39344,43916,,27821,25568,53389,,2071,5627,42980,3052,3427,59044,941,2271,1337,2063,480,116,66,4363,3335,1258,701,37481,23218,11052,5520,2138,1482,860,376,2823,1305,388,203,,12.49899654,17.61619971,11.16102452,12.25630079,10.99207671,15.02045342,,0,0,9,0,1,6,0,1,18,0,1,37,0,0,1,0,0,0,0,0,0,0,0,6,0,1,17,81,0,4,94,,437,1752,,,,67,24,83,38,168,12,16,23,6,,0
8201,X,Sabadell,Barcelona,Cataluña,216520,105388,111132,,67315,54174,121489,,4201,16361,98432,8555,8326,139550,3578,8895,4341,4187,1163,312,150,12664,9932,5032,2962,89876,62125,35133,19364,6379,4136,2237,1128,7315,3973,1411,697,,11.18753624,17.04053499,10.00643162,10.78178312,11.62475937,13.83285167,,0,1,0,0,0,1,1,8,5,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,26,1,14,17,,1712,5930,326,42,15,111,61,,83,,373,523,84,94,,0
37324,X,Salamanca,Salamanca,Castilla y León,144825,65661,79164,,48996,38552,87548,,2016,6028,61460,4077,3949,79554,1137,3187,1750,1984,509,118,55,4760,3677,1557,840,53398,32586,14779,7475,3008,2049,993,472,3368,1563,400,207,,12.56520874,17.21558468,10.80837185,12.43129256,11.67598737,15.04539786,,0,1,3,0,1,0,0,2,5,0,0,8,0,0,3,0,0,1,0,0,1,0,0,0,2,1,10,30,2,5,31,,991,3384,294,46,14,56,33,33,59,167,166,14,65,44,,0
39018,X,San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,158911,76703,82208,,49270,41408,90678,,3678,10818,87104,10148,15561,129699,1877,6327,3722,3543,940,191,100,8256,6297,3230,2052,70345,44870,25671,14656,6165,3145,1392,713,13840,7857,4409,2618,,12.00452184,17.25822467,10.19788154,11.59734182,13.94403569,12.63490318,,0,6,26,0,0,11,1,11,49,0,3,212,0,0,27,0,0,5,0,0,2,0,0,14,0,6,60,331,1,26,406,,563,2019,,,,66,28,6,31,269,48,31,69,15,,0
8259,X,Santa Coloma de Gramenet,Barcelona,Cataluña,120443,59527,60916,,33268,17805,51073,,2887,9735,37861,2847,2891,57124,1898,3501,1368,2882,1047,296,158,8464,7050,3810,2208,33011,22623,11977,6788,1977,1300,672,311,2431,1432,470,249,,11.21159536,15.93991325,9.146011342,11.08301536,11.76616085,13.50932127,,0,1,20,0,0,6,0,1,48,0,0,41,0,0,1,0,0,2,0,0,4,0,0,18,0,3,51,170,0,5,191,,293,1195,,,,28,22,4,14,,127,51,29,18,,0
39033,X,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,209194,99840,109354,,63892,52985,116877,,5183,16535,118285,13353,17708,176209,3266,8430,4848,5035,1526,401,228,12813,10084,5421,3284,92315,60121,33720,17768,8376,5089,2748,1684,15594,9182,5076,3115,,11.70819783,16.66850447,9.829571529,11.4973442,12.19856495,12.34861229,,0,2,9,0,2,7,0,14,70,1,8,131,0,1,20,0,0,1,0,0,4,0,0,1,1,13,36,250,2,40,279,,6903,26312,425,99,20,32,30,17,58,491,5605,63,49,14,,0
40030,X,Santander,Cantabria,Cantabria,173375,79936,93439,,54509,44406,98915,,4449,14399,81584,5330,6172,117011,2465,5107,2423,4427,1292,435,257,11328,9072,4341,2393,73316,49575,25144,13267,3913,2743,1473,755,5276,2640,792,418,,11.45448628,16.80182516,10.09491525,11.31430465,10.95292103,14.44072024,,1,1,27,0,3,27,0,9,101,2,3,148,0,0,7,0,0,1,0,0,12,1,1,11,0,14,56,337,4,31,390,,1155,3907,100,123,28,,,,280,,194,305,117,8,,0
41015,X,Segovia,Segovia,Castilla y León,52057,24328,27729,,17755,14303,32058,,1032,2819,26664,2260,2361,36270,473,1387,916,1023,226,52,21,1962,1459,605,320,23183,14087,6664,3438,1674,1224,606,271,2001,1039,255,121,,12.52997107,17.94519062,11.22898573,12.35767243,10.95416965,14.45395302,,0,0,1,0,0,2,0,0,9,0,1,15,0,0,0,0,0,0,0,0,3,0,0,0,0,4,13,39,0,5,43,,659,1986,268,36,5,38,18,23,77,141,20,6,18,9,,0
42044,X,Sevilla,Sevilla,Andalucía,691395,328013,363382,,217327,170726,388053,,39589,62948,328680,20041,23595,485440,13588,38016,13083,39461,10595,2306,1117,49690,40315,18985,10248,288753,200742,100558,53816,13290,10809,6998,3780,19339,9942,3298,1668,,11.58963615,16.87268848,10.02973918,11.07848369,8.775846501,14.14994571,,0,7,174,0,5,194,3,58,722,0,10,989,1,3,50,0,1,5,0,0,30,0,4,80,2,23,205,1861,6,111,2449,,5901,19983,1718,514,170,264,231,,334,,1464,945,115,146,,0
43018,X,Soria,Soria,Castilla y León,39821,18788,21033,,14357,12059,26416,,803,2246,20648,2632,2057,29588,524,1048,872,797,161,26,12,1634,1182,490,291,18100,11062,5238,2716,2133,1373,749,400,1801,901,318,167,,12.58002786,17.90506901,11.40714198,12.3741,11.72325832,14.32301499,,0,0,0,0,0,1,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,16,0,7,12,,371,1424,3,,1,12,6,,35,,249,43,17,5,,0
44022,X,Tarragona,Tarragona,Cataluña,136496,66666,69830,,43279,32658,75937,,3837,13327,64082,5396,4817,94004,2585,5693,2482,3832,1096,274,138,10378,8011,4147,2327,57565,39356,21824,11960,4057,2662,1456,817,4134,2196,787,436,,11.31017261,17.00212422,10.07533051,10.91960688,11.33594281,13.82004112,,0,0,15,0,1,11,0,9,59,1,1,65,0,0,3,0,0,1,0,0,4,0,0,13,0,11,37,202,1,22,208,,1424,4427,583,120,23,61,31,24,99,204,156,18,74,31,,0
8293,X,Terrassa,Barcelona,Cataluña,223627,109948,113679,,71434,57933,129367,,5090,18688,102954,9206,9088,149620,3936,10339,5233,5074,1623,441,227,14302,11307,5786,3328,92845,63869,36006,19769,6870,4441,2510,1175,7969,4188,1384,669,,11.24596439,16.41577848,9.940595022,10.84662362,11.585623,14.09439327,,0,2,27,0,6,23,0,12,56,2,4,99,0,0,15,0,0,0,0,0,1,0,1,15,0,6,49,271,2,31,285,,4018,10917,2321,314,62,60,45,32,277,505,241,53,86,22,,0
45014,X,Teruel,Teruel,Aragón,36240,17287,18953,,12998,10422,23420,,1497,2504,18946,2286,2223,28945,430,795,789,1496,307,82,41,1856,1314,562,292,17067,11099,5564,2931,1783,1033,498,254,1984,1012,300,150,,12.30482305,17.6905615,11.47832974,11.72330404,12.84388671,14.39160282,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,,92,354,,,,10,5,,10,,11,30,18,8,,1
46023,X,Toledo,Toledo,Castilla-La Mancha,85811,40941,44870,,26328,22181,48509,,1428,5109,46242,3484,3035,60442,955,2681,1228,1415,350,90,40,3912,3065,1414,774,43071,29914,15340,7815,2800,1935,1069,538,2636,1396,433,215,,11.33833805,17.15901767,10.40317229,11.04249866,11.05974643,14.13188164,,0,0,3,0,0,3,1,0,13,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,44,1,1,51,,471,1903,24,4,1,71,52,,33,,48,118,64,56,,0
28182,X,Torrejón de Ardoz,Madrid,Madrid (Comunidad de),132853,65343,67510,,40492,30744,71236,,1260,5107,69621,4948,3728,86439,932,4398,1937,1197,373,123,78,4137,3308,1612,897,57967,39801,20796,10498,3836,2675,1256,556,3155,1733,546,237,,11.28283591,16.48949875,10.00435098,11.10128677,11.45120438,13.81989857,,0,1,9,0,0,12,0,0,28,0,0,48,0,0,0,0,0,1,0,0,1,0,0,6,0,2,34,121,0,3,139,,71,270,,,,4,4,,3,29,10,2,13,6,,0
47045,X,Valencia,Valencia/València,Comunitat Valenciana,800215,380293,419922,,258405,194930,453335,,20818,66754,363140,24322,25507,513747,11867,28962,10850,20717,5776,1717,976,50021,39011,19645,10917,313649,216206,116118,62351,16626,11464,6713,3671,20322,10066,3347,1780,,11.32829237,16.63509968,10.19681314,10.96086004,10.80306027,14.36264098,,1,23,151,0,8,106,3,57,527,1,6,364,0,1,25,0,0,6,0,1,73,0,17,196,5,19,154,1474,10,132,1602,,10471,31566,5089,1222,296,349,232,,298,,1263,1370,116,236,,0
48018,X,Valladolid,Valladolid,Castilla y León,299265,140247,159018,,101350,73623,174973,,4888,15964,138947,7325,9318,182319,3039,7763,3834,4862,1188,310,160,12815,10013,4366,2398,126095,80990,39885,20077,5569,4016,2274,1136,7986,4084,1303,682,,12.00607192,17.59023241,10.57879048,11.85945938,10.52715389,14.26343977,,0,0,32,0,2,20,2,9,72,2,2,154,0,1,7,0,0,1,0,0,18,0,1,16,1,7,55,332,5,22,375,,4539,15350,1204,241,46,67,75,78,135,675,1840,66,72,40,,0
37041,X,Vigo,Pontevedra,Galicia,296692,140164,156528,,95390,83441,178831,,11723,29128,151553,8756,9393,215138,5782,9573,3687,11688,2560,430,194,23481,17923,8212,4703,129320,84224,41992,21560,5868,4227,2468,1204,7588,3808,1271,666,,12.08677061,17.84655373,10.66459052,11.73480591,10.46916496,14.36183052,,0,1,14,0,0,30,2,12,157,1,3,228,0,0,11,0,0,1,0,0,5,0,1,12,2,8,83,431,5,25,541,,8775,22398,6467,837,190,166,100,18,92,376,346,24,105,54,,0
50065,X,Zamora,Zamora,Castilla y León,60988,28299,32689,,22578,17978,40556,,1655,3376,30533,2522,2507,41943,761,1703,1154,1379,360,89,50,2760,2110,823,439,27312,16062,7358,3625,2019,1270,603,275,2220,953,304,174,,12.8950834,17.55653372,11.12815942,12.71049465,12.2173155,14.99044144,,0,0,2,0,0,3,0,3,12,0,1,40,0,0,2,0,0,1,0,0,0,0,0,0,0,4,19,71,0,8,79,,491,1745,125,31,7,24,16,46,60,62,81,7,21,11,,0
50297,X,Zaragoza,Zaragoza,Aragón,681877,326103,355774,,217389,148265,365654,,14493,40060,270275,21676,17842,376213,6206,12823,7837,14415,4679,1181,611,33679,26873,13355,7382,247468,166662,87847,45840,17354,11639,6135,3230,15580,8219,2722,1359,,11.48958743,16.42847797,9.992372101,11.24340206,11.35514579,14.06311874,,0,13,62,0,4,35,3,24,147,0,3,246,0,1,22,0,1,4,0,3,47,0,9,53,5,28,125,672,8,86,741,,14708,39572,9660,1696,383,346,146,,189,,908,1059,196,125,,
