,Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
7190,46206,Xàtiva,Valencia/València,Comunitat Valenciana,29623.0,14496.0,15127.0,,10310.0,7730.0,18040.0,,1876.0,2904.0,14820.0,1034.0,1375.0,22597.0,594.0,1454.0,611.0,1873.0,564.0,197.0,129.0,1977.0,1435.0,644.0,334.0,13458.0,8906.0,4764.0,2667.0,741.0,543.0,328.0,166.0,1157.0,553.0,177.0,83.0,,11.968647067799196,16.1194874532835,11.25549822964087,11.324967305691782,10.050094466936573,14.682247191011236,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,14.0,1.0,3.0,11.0,,,,,,,,,,,,,,,,,0.0
7191,46207,Xeresa,Valencia/València,Comunitat Valenciana,2197.0,1119.0,1078.0,,835.0,641.0,1476.0,,209.0,240.0,1216.0,55.0,168.0,1963.0,47.0,85.0,58.0,206.0,41.0,15.0,6.0,166.0,121.0,58.0,31.0,1145.0,795.0,461.0,247.0,40.0,26.0,19.0,12.0,158.0,82.0,25.0,9.0,,11.844515406162465,17.386893203883496,10.874457831325302,10.580899563318777,10.64775,14.35,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7192,46208,Llíria,Valencia/València,Comunitat Valenciana,23482.0,11841.0,11641.0,,7821.0,5210.0,13031.0,,1201.0,1597.0,12036.0,918.0,1411.0,17606.0,350.0,1185.0,527.0,1188.0,286.0,66.0,43.0,1211.0,879.0,360.0,193.0,10874.0,6934.0,3610.0,1883.0,621.0,364.0,221.0,119.0,1223.0,540.0,119.0,49.0,,12.426132197263103,17.043089225589224,11.50523534269199,11.704537428729079,12.024074074074074,15.35614063777596,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0,95.0,9.0,1.0,1.0,2.0,1.0,,6.0,3.0,3.0,,2.0,1.0,,0.0
7193,46209,Loriguilla,Valencia/València,Comunitat Valenciana,2035.0,1050.0,985.0,,712.0,512.0,1224.0,,54.0,166.0,1125.0,120.0,232.0,1913.0,51.0,81.0,100.0,49.0,12.0,4.0,0.0,143.0,104.0,38.0,25.0,1065.0,728.0,395.0,214.0,106.0,80.0,54.0,35.0,224.0,151.0,65.0,35.0,,11.062438063063063,17.027142857142856,11.762307692307692,10.858169014084506,8.957924528301886,11.839776785714285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7194,46210,Losa del Obispo,Valencia/València,Comunitat Valenciana,505.0,257.0,248.0,,177.0,94.0,271.0,,31.0,53.0,279.0,58.0,80.0,537.0,19.0,47.0,66.0,31.0,5.0,0.0,0.0,39.0,17.0,7.0,4.0,239.0,136.0,73.0,30.0,37.0,12.0,5.0,1.0,71.0,23.0,4.0,3.0,,14.25917225950783,18.212903225806453,14.214871794871796,12.632384937238493,15.61945945945946,16.92732394366197,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7195,46211,Llutxent,Valencia/València,Comunitat Valenciana,2326.0,1188.0,1138.0,,928.0,601.0,1529.0,,390.0,201.0,1194.0,114.0,372.0,2416.0,49.0,107.0,127.0,383.0,123.0,25.0,17.0,113.0,68.0,29.0,16.0,1068.0,663.0,359.0,213.0,77.0,37.0,19.0,10.0,336.0,152.0,47.0,14.0,,13.292401518747035,16.584986945169714,12.580265486725663,11.872415730337078,13.969220779220779,15.073363095238095,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7196,46212,Llocnou d'En Fenollet,Valencia/València,Comunitat Valenciana,916.0,474.0,442.0,,367.0,257.0,624.0,,144.0,89.0,500.0,56.0,89.0,892.0,26.0,38.0,30.0,144.0,38.0,10.0,7.0,54.0,41.0,14.0,5.0,472.0,308.0,164.0,86.0,36.0,15.0,9.0,7.0,78.0,39.0,12.0,6.0,,12.990377358490566,17.006875,11.980555555555556,11.485169491525424,14.459444444444445,14.648974358974359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7197,46213,Llocnou de la Corona,Valencia/València,Comunitat Valenciana,124.0,66.0,58.0,,45.0,23.0,68.0,,5.0,11.0,61.0,9.0,3.0,89.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,11.0,10.0,4.0,2.0,53.0,31.0,14.0,8.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,,12.923376623376623,19.988,10.417272727272728,12.33188679245283,17.821666666666665,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
7198,46214,Llocnou de Sant Jeroni,Valencia/València,Comunitat Valenciana,554.0,276.0,278.0,,189.0,160.0,349.0,,78.0,50.0,329.0,31.0,51.0,570.0,9.0,22.0,38.0,76.0,17.0,3.0,2.0,34.0,26.0,14.0,6.0,288.0,187.0,97.0,50.0,21.0,15.0,12.0,5.0,49.0,21.0,3.0,3.0,,13.003217922606925,17.478815789473686,10.620882352941177,11.555104166666666,10.187142857142858,16.108775510204083,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7199,46215,Llanera de Ranes,Valencia/València,Comunitat Valenciana,1047.0,533.0,514.0,,394.0,271.0,665.0,,128.0,146.0,646.0,54.0,120.0,1176.0,20.0,75.0,47.0,126.0,30.0,11.0,7.0,74.0,56.0,28.0,18.0,580.0,346.0,184.0,109.0,34.0,22.0,12.0,7.0,105.0,51.0,17.0,7.0,,12.588341708542714,17.029285714285713,10.894594594594595,11.964327586206897,12.0,14.458095238095238,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7200,46216,Llaurí,Valencia/València,Comunitat Valenciana,1130.0,583.0,547.0,,468.0,268.0,736.0,,74.0,97.0,697.0,65.0,82.0,1036.0,21.0,74.0,36.0,74.0,17.0,4.0,3.0,62.0,43.0,19.0,7.0,592.0,341.0,144.0,75.0,34.0,15.0,5.0,4.0,78.0,32.0,9.0,2.0,,13.402135355892648,17.522837837837837,11.516774193548388,12.74320945945946,14.256470588235294,15.83423076923077,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0
7201,46217,Llombai,Valencia/València,Comunitat Valenciana,2653.0,1322.0,1331.0,,1003.0,730.0,1733.0,,175.0,196.0,1511.0,130.0,252.0,2331.0,41.0,177.0,133.0,175.0,37.0,10.0,8.0,135.0,101.0,43.0,25.0,1369.0,921.0,469.0,267.0,86.0,46.0,30.0,14.0,233.0,89.0,28.0,13.0,,12.32846153846154,17.291085714285714,11.150148148148148,11.264777209642075,12.228837209302325,15.280343347639485,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
7202,46218,"Llosa de Ranes, la",Valencia/València,Comunitat Valenciana,3642.0,1871.0,1771.0,,1492.0,990.0,2482.0,,529.0,410.0,2109.0,150.0,315.0,3717.0,71.0,189.0,126.0,529.0,123.0,37.0,24.0,260.0,190.0,80.0,47.0,1956.0,1301.0,659.0,382.0,100.0,77.0,49.0,23.0,269.0,130.0,37.0,21.0,,12.522792601576713,17.29544423440454,11.373923076923077,11.419059304703476,9.7647,14.71828996282528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0
7203,46219,Macastre,Valencia/València,Comunitat Valenciana,1300.0,687.0,613.0,,474.0,250.0,724.0,,63.0,90.0,658.0,69.0,123.0,1054.0,13.0,58.0,56.0,63.0,15.0,3.0,2.0,68.0,55.0,24.0,15.0,575.0,396.0,204.0,103.0,44.0,24.0,9.0,6.0,106.0,50.0,10.0,4.0,,12.3359,16.941904761904762,10.295588235294117,11.297165217391305,13.8825,15.29688679245283,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0
7204,46220,Manises,Valencia/València,Comunitat Valenciana,31240.0,15422.0,15818.0,,10740.0,7270.0,18010.0,,917.0,2013.0,15943.0,1187.0,1523.0,22139.0,411.0,1516.0,682.0,909.0,176.0,44.0,22.0,1536.0,1172.0,533.0,273.0,14302.0,9382.0,4775.0,2504.0,844.0,615.0,347.0,158.0,1304.0,622.0,175.0,80.0,,11.958765827691353,17.805137513751376,10.757018229166667,11.51673262480772,10.567654028436019,14.809302147239263,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,,131.0,526.0,,,,17.0,9.0,,18.0,,29.0,32.0,9.0,17.0,,3.0
