,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI
195,,,,,,,,0.719976,0.000000
196,,,,,,,,0.640113,0.000000
197,,,,,,,,0.714550,0.000000
198,,,,,,,,0.678709,0.000000
199,,,,,,,,0.722145,0.000000
200,,,,,,,,0.593276,0.000000
201,,,,,,,,0.668511,0.000000
202,,,,,,,,0.564867,0.000000
203,,,,,,,,0.781063,0.000000
204,,,,,,,,0.096607,0.000000
205,,,,,,,,0.658723,0.000000
206,,,,,,,,0.768285,0.000000
207,,,,,,,,0.680553,0.000000
208,,,,,,,,0.627075,0.000000
209,,,,,,,,0.679906,0.000000
210,,,,,,,,0.294608,0.000000
211,,,,,,,,0.595719,0.000000
212,,,,,,,,0.692223,0.000000
213,,,,,,,,0.565403,0.000000
214,,,,,,,,0.715664,0.000000
215,,,,,,,,0.651776,0.000000
216,,,,,,,,,0.00000
217,,,,,,,,,0.000000
218,,,,,,,,,0.000000
219,,,,,,,,,0.000000
220,,,,,,,,,0.000000
221,,,,,,,,,0.000000
222,,,,,,,,,0.000000
223,,,,,,,,,0.000000
224,,,,,,,,,0.000000
225,,,,,,,,,0.000000
226,,,,,,,,,0.000000
227,,,,,,,,,0.000000
228,,,,,,,,,0.000000
229,,,,,,,,,0.000000
230,,,,,,,,,0.000000
231,,,,,,,,,0.000000
232,,,,,,,,,0.000000
233,,,,,,,,,0.000000
234,,,,,,,,,0.000000
235,,,,,,,,,0.000000
236,,,,,,,,,0.000000
237,,,,,,,,,0.000000
238,,,,,,,,,0.000000
239,,,,,,,,,0.000000
240,,,,,,,,,0.000000
241,,,,,,,,,0.000000
242,,,,,,,,,0.000000
243,,,,,,,,,0.000000
244,,,,,,,,,0.000000
245,,,,,,,,,0.000000
246,,,,,,,,,0.000000
247,,,,,,,,,0.000000
248,,,,,,,,,0.000000
249,,,,,,,,,0.000000
250,,,,,,,,,0.000000
251,,,,,,,,,0.000000
252,,,,,,,,,0.000000
253,,,,,,,,,0.000000
254,,,,,,,,,0.000000
255,,,,,,,,,0.000000
256,,,,,,,,,0.000000
257,,,,,,,,,0.000000
258,,,,,,,,,0.000000
259,,,,,,,,,0.000000
260,,,,,,,,,0.000000
261,,,,,,,,,0.000000
262,,,,,,,,,0.000000
263,,,,,,,,,0.000000
264,,,,,,,,,0.000000
265,,,,,,,,,0.000000
266,,,,,,,,,0.000000
267,,,,,,,,,0.000000
268,,,,,,,,,0.000000
269,,,,,,,,,0.000000
270,,,,,,,,,0.000000
271,,,,,,,,,0.000000
272,,,,,,,,,0.000000
273,,,,,,,,,0.000000
274,,,,,,,,,0.000000
275,,,,,,,,,0.000000
276,,,,,,,,,0.000000
277,,,,,,,,,0.000000
278,,,,,,,,,0.000000
279,,,,,,,,,0.000000
280,,,,,,,,,0.000000
281,,,,,,,,,0.000000
282,,,,,,,,,0.000000
283,,,,,,,,,0.000000
284,,,,,,,,,0.000000
285,,,,,,,,,0.000000
286,,,,,,,,,0.000000
287,,,,,,,,,0.000000
288,,,,,,,,,0.00000
289,,,,,,,,,0.000000
290,,,,,,,,,0.000000
291,,,,,,,,,0.000000
292,,,,,,,,,0.000000
293,,,,,,,,,0.000000
294,,,,,,,,,0.000000
295,,,,,,,,,0.000000
296,,,,,,,,,0.000000
297,,,,,,,,,0.000000
298,,,,,,,,,0.000000
299,,,,,,,,,0.000000
300,,,,,,,,,0.000000
301,,,,,,,,,0.000000
302,,,,,,,,,0.000000
303,,,,,,,,,0.000000
304,,,,,,,,,0.000000
305,,,,,,,,,0.000000
306,,,,,,,,,0.000000
307,,,,,,,,,0.000000
308,,,,,,,,,0.000000
309,,,,,,,,,0.000000
310,,,,,,,,,0.000000
311,,,,,,,,,0.000000
312,,,,,,,,,0.000000
313,,,,,,,,,0.000000
314,,,,,,,,,0.000000
315,,,,,,,,,0.000000
316,,,,,,,,,0.000000
317,,,,,,,,,0.000000
318,,,,,,,,,0.000000
319,,,,,,,,,0.000000
320,,,,,,,,,0.000000
321,,,,,,,,,0.000000
322,,,,,,,,,0.000000
323,,,,,,,,,0.000000
324,,,,,,,,,0.000000
325,,,,,,,,,0.000000
326,,,,,,,,,0.000000
327,,,,,,,,,0.000000
328,,,,,,,,,0.000000
329,,,,,,,,,0.000000
330,,,,,,,,,0.000000
331,,,,,,,,,0.000000
332,,,,,,,,,0.000000
333,,,,,,,,,0.000000
334,,,,,,,,,0.000000
335,,,,,,,,,0.000000
336,,,,,,,,,0.000000
337,,,,,,,,,0.000000
338,,,,,,,,,0.000000
339,,,,,,,,,0.000000
340,,,,,,,,,0.000000
341,,,,,,,,,0.000000
342,,,,,,,,,0.000000
343,,,,,,,,,0.000000
344,,,,,,,,,0.000000
345,,,,,,,,,0.000000
346,,,,,,,,,0.000000
347,,,,,,,,,0.000000
348,,,,,,,,,0.000000
349,,,,,,,,,0.000000
350,,,,,,,,,0.000000
351,,,,,,,,,0.000000
352,,,,,,,,,0.000000
353,,,,,,,,,0.000000
354,,,,,,,,,0.000000
355,,,,,,,,,0.000000
356,,,,,,,,,0.000000
357,,,,,,,,,0.000000
358,,,,,,,,,0.000000
359,,,,,,,,,0.000000
360,,0.498351,0.723601,0.755052,1.406710,0.745706,0.862917,0.676484,0.00000
361,,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000
362,,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000
363,,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0.000000
364,,0.752361,1.209382,0.625019,0.980880,0.626374,0.714308,0.471704,0.000000
365,,0.302543,0.758450,0.742545,1.356912,0.741693,0.848623,0.652537,0.000000
366,,0.655187,0.713636,0.759126,1.423480,0.762750,0.867572,0.684549,0.000000
367,,0.747920,7.128600,0.216069,0.243434,0.236178,0.243077,0.110792,0.000000
368,,0.325322,1.675347,0.541120,0.778966,0.551175,0.618423,0.374603,0.000000
369,,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0.000000
370,,0.180328,0.830052,0.726807,1.297576,0.761850,0.830636,0.624002,0.000000
371,,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0.000000
372,,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.714800,0.000000
373,,2.306052,0.847446,0.713180,1.248899,0.710609,0.815062,0.600593,0.000000
374,,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0.000000
375,,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,0.000000
376,,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,0.000000
377,,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,0.000000
378,,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.506520,0.000000
379,,0.700946,0.645963,0.787801,1.550230,0.793153,0.900344,0.745503,0.000000
380,,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0.000000
381,,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,0.000000
382,,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,0.000000
383,,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,0.000000
384,,0.599920,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0.000000
385,,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0.000000
386,,1.176930,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0.000000
387,,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.725790,0.000000
388,,1.015207,0.677647,0.775695,1.494749,0.789900,0.886509,0.718822,0.000000
389,,1.271181,0.834720,0.705742,1.223298,0.669583,0.806562,0.588282,0.000000
390,,1.105321,0.672091,0.777305,1.501950,0.784593,0.888348,0.722285,0.000000
391,,990.780254,0.154254,0.996258,5.588120,0.846828,0.996517,0.676934,0.000000
392,,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,0.000000
393,,0.366471,0.710242,0.764360,1.445449,0.770671,0.873554,0.695114,0.000000
394,,0.672603,0.665155,0.779888,1.513618,0.776091,0.891300,0.727896,0.000000
395,,0.507410,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,0.000000
396,,0.850704,0.687343,0.768489,1.463130,0.770071,0.878274,0.703617,0.000000
397,,0.782956,0.706056,0.764000,1.443922,0.756322,0.873142,0.694380,0.000000
398,,0.938932,0.761619,0.738439,1.341086,0.717721,0.843930,0.644926,0.000000
399,,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0.000000
400,,0.035194,2.691914,0.420080,0.544866,0.429715,0.472590,0.247979,0.000000
401,,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,0.000000
402,,0.252467,0.998898,0.665668,1.095620,0.640649,0.760763,0.526882,0.000000
403,,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0.000000
404,,1.994987,0.639054,0.792490,1.572577,0.793978,0.905703,0.756250,0.000000
405,,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0.000000
406,,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,0.000000
407,,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0.000000
408,,0.815073,0.764665,0.737757,1.338482,0.705927,0.843150,0.643674,0.000000
409,,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,0.000000
410,,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,0.000000
411,,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,0.000000
412,,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,0.000000
413,,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.714550,0.000000
414,,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,0.000000
415,,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,0.000000
416,,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,0.000000
417,,0.786300,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,0.000000
418,,0.556311,0.932454,0.691060,1.174608,0.681847,0.789783,0.564867,0.000000
419,,1.451914,0.616999,0.802926,1.624175,0.815801,0.917630,0.781063,0.000000
420,,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,0.000000
421,,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,0.000000
422,,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,0.000000
423,,0.638085,0.713778,0.757116,1.415170,0.749488,0.865275,0.680553,0.000000
424,,1.538482,0.792970,0.728547,1.303966,0.708345,0.832625,0.627075,0.000000
425,,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,0.000000
426,,0.399254,2.307808,0.458070,0.612619,0.471648,0.523509,0.294608,0.000000
427,,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,0.000000
428,,0.289363,0.708775,0.762939,1.439438,0.757313,0.871930,0.692223,0.000000
429,,0.299214,0.924350,0.691404,1.175722,0.674770,0.790176,0.565403,0.000000
430,,1.449856,0.673657,0.774217,1.488181,0.758289,0.884820,0.715664,0.000000
431,,0.190993,0.765839,0.742138,1.355330,0.731288,0.848158,0.651776,0.000000
432,8,0.498351,0.723601,0.755052,1.406710,0.745706,0.862917,0.676484,0.00000
433,8,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000
434,8,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000
435,8,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0.000000
436,8,0.752361,1.209382,0.625019,0.980880,0.626374,0.714308,0.471704,0.000000
437,8,0.302543,0.758450,0.742545,1.356912,0.741693,0.848623,0.652537,0.000000
438,8,0.655187,0.713636,0.759126,1.423480,0.762750,0.867572,0.684549,0.000000
439,9,0.747920,7.128600,0.216069,0.243434,0.236178,0.243077,0.110792,0.000000
440,8,0.325322,1.675347,0.541120,0.778966,0.551175,0.618423,0.374603,0.000000
441,8,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0.000000
442,8,0.180328,0.830052,0.726807,1.297576,0.761850,0.830636,0.624002,0.000000
443,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0.000000
444,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.714800,0.000000
445,8,2.306052,0.847446,0.713180,1.248899,0.710609,0.815062,0.600593,0.000000
446,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0.000000
447,8,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,0.000000
448,8,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,0.000000
449,8,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,0.000000
450,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.506520,0.000000
451,8,0.700946,0.645963,0.787801,1.550230,0.793153,0.900344,0.745503,0.000000
452,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0.000000
453,8,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,0.000000
454,8,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,0.000000
455,8,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,0.000000
456,8,0.599920,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0.000000
457,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0.000000
458,8,1.176930,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0.000000
459,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.725790,0.000000
460,8,1.015207,0.677647,0.775695,1.494749,0.789900,0.886509,0.718822,0.000000
461,8,1.271181,0.834720,0.705742,1.223298,0.669583,0.806562,0.588282,0.000000
462,8,1.105321,0.672091,0.777305,1.501950,0.784593,0.888348,0.722285,0.000000
463,3847,990.780254,0.154254,0.996258,5.588120,0.846828,0.996517,0.676934,0.000000
464,8,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,0.000000
465,8,0.366471,0.710242,0.764360,1.445449,0.770671,0.873554,0.695114,0.000000
466,8,0.672603,0.665155,0.779888,1.513618,0.776091,0.891300,0.727896,0.000000
467,8,0.507410,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,0.000000
468,8,0.850704,0.687343,0.768489,1.463130,0.770071,0.878274,0.703617,0.000000
469,8,0.782956,0.706056,0.764000,1.443922,0.756322,0.873142,0.694380,0.000000
470,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.843930,0.644926,0.000000
471,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0.000000
472,9,0.035194,2.691914,0.420080,0.544866,0.429715,0.472590,0.247979,0.000000
473,9,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,0.000000
474,8,0.252467,0.998898,0.665668,1.095620,0.640649,0.760763,0.526882,0.000000
475,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0.000000
476,8,1.994987,0.639054,0.792490,1.572577,0.793978,0.905703,0.756250,0.000000
477,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0.000000
478,9,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,0.000000
479,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0.000000
480,8,0.815073,0.764665,0.737757,1.338482,0.705927,0.843150,0.643674,0.000000
481,8,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,0.000000
482,8,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,0.000000
483,8,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,0.000000
484,8,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,0.000000
485,8,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.714550,0.000000
486,8,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,0.000000
487,8,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,0.000000
488,8,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,0.000000
489,8,0.786300,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,0.000000
490,8,0.556311,0.932454,0.691060,1.174608,0.681847,0.789783,0.564867,0.000000
491,8,1.451914,0.616999,0.802926,1.624175,0.815801,0.917630,0.781063,0.000000
492,9,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,0.000000
493,8,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,0.000000
494,8,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,0.000000
495,8,0.638085,0.713778,0.757116,1.415170,0.749488,0.865275,0.680553,0.000000
496,8,1.538482,0.792970,0.728547,1.303966,0.708345,0.832625,0.627075,0.000000
497,8,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,0.000000
498,8,0.399254,2.307808,0.458070,0.612619,0.471648,0.523509,0.294608,0.000000
499,8,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,0.000000
500,8,0.289363,0.708775,0.762939,1.439438,0.757313,0.871930,0.692223,0.000000
